GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,Display Value,Numeric,Low,High,Comments
MDG_0000000026,PUBLISHED,2011,AFR,CAF,981 [ 589 - 1 630 ],981,589,1630,NA
MDG_0000000026,PUBLISHED,2010,AFR,TCD,1 240 [ 985 - 1 590 ],1240,985,1590,NA
MDG_0000000026,PUBLISHED,2017,AFR,TCD,1 140 [ 847 - 1 590 ],1140,847,1590,NA
MDG_0000000026,PUBLISHED,2015,AFR,CAF,912 [ 523 - 1 580 ],912,523,1580,NA
MDG_0000000026,PUBLISHED,2016,AFR,TCD,1 140 [ 860 - 1 570 ],1140,860,1570,NA
MDG_0000000026,PUBLISHED,2003,EMR,AFG,1 240 [ 909 - 1 540 ],1240,909,1540,NA
MDG_0000000026,PUBLISHED,2001,AFR,NGA,1 200 [ 923 - 1 520 ],1200,923,1520,NA
MDG_0000000026,PUBLISHED,2004,EMR,AFG,1 180 [ 878 - 1 460 ],1180,878,1460,NA
MDG_0000000026,PUBLISHED,2002,AFR,ERI,1 130 [ 896 - 1 440 ],1130,896,1440,NA
MDG_0000000026,PUBLISHED,2004,AFR,NGA,1 130 [ 897 - 1 400 ],1130,897,1400,NA
MDG_0000000026,PUBLISHED,2006,EMR,AFG,1 120 [ 861 - 1 380 ],1120,861,1380,NA
MDG_0000000026,PUBLISHED,2017,AFR,NGA,917 [ 658 - 1 320 ],917,658,1320,NA
MDG_0000000026,PUBLISHED,2003,AFR,GIN,1 080 [ 897 - 1 300 ],1080,897,1300,NA
MDG_0000000026,PUBLISHED,2012,AFR,NGA,963 [ 736 - 1 260 ],963,736,1260,NA
MDG_0000000026,PUBLISHED,2000,AFR,ETH,1 030 [ 839 - 1 250 ],1030,839,1250,NA
MDG_0000000026,PUBLISHED,2000,AFR,GMB,932 [ 688 - 1 250 ],932,688,1250,NA
MDG_0000000026,PUBLISHED,2008,AFR,NGA,996 [ 792 - 1 240 ],996,792,1240,NA
MDG_0000000026,PUBLISHED,2002,AFR,BDI,925 [ 711 - 1 210 ],925,711,1210,NA
MDG_0000000026,PUBLISHED,2004,AFR,ERI,938 [ 737 - 1 200 ],938,737,1200,NA
MDG_0000000026,PUBLISHED,2002,AFR,RWA,961 [ 801 - 1 150 ],961,801,1150,NA
MDG_0000000026,PUBLISHED,2002,AFR,GMB,876 [ 653 - 1 150 ],876,653,1150,NA
MDG_0000000026,PUBLISHED,2016,AFR,MRT,777 [ 543 - 1 130 ],777,543,1130,NA
MDG_0000000026,PUBLISHED,2004,AFR,ETH,929 [ 777 - 1 110 ],929,777,1110,NA
MDG_0000000026,PUBLISHED,2003,AFR,GMB,843 [ 635 - 1 100 ],843,635,1100,NA
MDG_0000000026,PUBLISHED,2013,AFR,MRT,805 [ 588 - 1 100 ],805,588,1100,NA
MDG_0000000026,PUBLISHED,2000,AFR,CMR,886 [ 724 - 1 080 ],886,724,1080,NA
MDG_0000000026,PUBLISHED,2005,AFR,MRT,826 [ 632 - 1 080 ],826,632,1080,NA
MDG_0000000026,PUBLISHED,2014,EMR,AFG,786 [ 592 - 1 080 ],786,592,1080,NA
MDG_0000000026,PUBLISHED,2008,AFR,MRT,819 [ 624 - 1 070 ],819,624,1070,NA
MDG_0000000026,PUBLISHED,2003,AFR,RWA,870 [ 723 - 1 040 ],870,723,1040,NA
MDG_0000000026,PUBLISHED,2000,AFR,TZA,854 [ 709 - 1 030 ],854,709,1030,NA
MDG_0000000026,PUBLISHED,2005,AFR,BDI,814 [ 641 - 1 030 ],814,641,1030,NA
MDG_0000000026,PUBLISHED,2000,AFR,MOZ,798 [ 631 - 1 010 ],798,631,1010,NA
MDG_0000000026,PUBLISHED,2014,AFR,GNB,711 [ 501 - 1 010 ],711,501,1010,NA
MDG_0000000026,PUBLISHED,2017,AFR,GNB,667 [ 457 - 995 ],667,457,995,NA
MDG_0000000026,PUBLISHED,2000,AFR,NER,813 [ 661 - 992 ],813,661,992,NA
MDG_0000000026,PUBLISHED,2000,AFR,MLI,836 [ 702 - 991 ],836,702,991,NA
MDG_0000000026,PUBLISHED,2001,AFR,NER,803 [ 656 - 982 ],803,656,982,NA
MDG_0000000026,PUBLISHED,2002,AFR,COG,769 [ 604 - 974 ],769,604,974,NA
MDG_0000000026,PUBLISHED,2000,EMR,DJI,507 [ 280 - 957 ],507,280,957,NA
MDG_0000000026,PUBLISHED,2003,AFR,COG,757 [ 595 - 953 ],757,595,953,NA
MDG_0000000026,PUBLISHED,2011,AFR,CIV,703 [ 526 - 945 ],703,526,945,NA
MDG_0000000026,PUBLISHED,2004,AFR,NER,770 [ 624 - 944 ],770,624,944,NA
MDG_0000000026,PUBLISHED,2001,AFR,MOZ,745 [ 594 - 940 ],745,594,940,NA
MDG_0000000026,PUBLISHED,2002,AFR,COD,734 [ 567 - 939 ],734,567,939,NA
MDG_0000000026,PUBLISHED,2001,SEAR,TLS,720 [ 556 - 929 ],720,556,929,NA
MDG_0000000026,PUBLISHED,2007,AFR,LBR,754 [ 612 - 928 ],754,612,928,NA
MDG_0000000026,PUBLISHED,2008,AFR,LBR,738 [ 594 - 916 ],738,594,916,NA
MDG_0000000026,PUBLISHED,2000,AFR,MWI,749 [ 618 - 913 ],749,618,913,NA
MDG_0000000026,PUBLISHED,2004,AFR,RWA,758 [ 628 - 909 ],758,628,909,NA
MDG_0000000026,PUBLISHED,2002,AFR,MLI,764 [ 641 - 907 ],764,641,907,NA
MDG_0000000026,PUBLISHED,2007,AFR,CIV,698 [ 544 - 898 ],698,544,898,NA
MDG_0000000026,PUBLISHED,2017,AFR,CIV,617 [ 426 - 896 ],617,426,896,NA
MDG_0000000026,PUBLISHED,2007,AFR,ETH,731 [ 608 - 889 ],731,608,889,NA
MDG_0000000026,PUBLISHED,2008,AFR,NER,709 [ 569 - 888 ],709,569,888,NA
MDG_0000000026,PUBLISHED,2002,AFR,MOZ,700 [ 559 - 879 ],700,559,879,NA
MDG_0000000026,PUBLISHED,2007,AFR,GMB,690 [ 532 - 877 ],690,532,877,NA
MDG_0000000026,PUBLISHED,2013,AFR,MLI,663 [ 520 - 865 ],663,520,865,NA
MDG_0000000026,PUBLISHED,2005,AFR,TZA,721 [ 606 - 863 ],721,606,863,NA
MDG_0000000026,PUBLISHED,2014,AFR,MLI,642 [ 497 - 848 ],642,497,848,NA
MDG_0000000026,PUBLISHED,2010,AFR,NER,663 [ 521 - 847 ],663,521,847,NA
MDG_0000000026,PUBLISHED,2010,AFR,GMB,661 [ 517 - 840 ],661,517,840,NA
MDG_0000000026,PUBLISHED,2004,AFR,COD,661 [ 521 - 838 ],661,521,838,NA
MDG_0000000026,PUBLISHED,2007,AFR,ERI,635 [ 490 - 831 ],635,490,831,NA
MDG_0000000026,PUBLISHED,2002,AFR,KEN,692 [ 579 - 829 ],692,579,829,NA
MDG_0000000026,PUBLISHED,2016,AFR,GIN,621 [ 476 - 826 ],621,476,826,NA
MDG_0000000026,PUBLISHED,2003,AFR,MOZ,657 [ 527 - 822 ],657,527,822,NA
MDG_0000000026,PUBLISHED,2016,AFR,GMB,611 [ 456 - 816 ],611,456,816,NA
MDG_0000000026,PUBLISHED,2007,AFR,LSO,652 [ 526 - 812 ],652,526,812,NA
MDG_0000000026,PUBLISHED,2016,AFR,MLI,590 [ 446 - 807 ],590,446,807,NA
MDG_0000000026,PUBLISHED,2012,AFR,NER,616 [ 470 - 806 ],616,470,806,NA
MDG_0000000026,PUBLISHED,2008,AFR,CMR,618 [ 489 - 798 ],618,489,798,NA
MDG_0000000026,PUBLISHED,2014,AFR,CMR,564 [ 416 - 796 ],564,416,796,NA
MDG_0000000026,PUBLISHED,2009,AFR,ETH,638 [ 522 - 793 ],638,522,793,NA
MDG_0000000026,PUBLISHED,2016,AFR,LSO,559 [ 406 - 793 ],559,406,793,NA
MDG_0000000026,PUBLISHED,2017,AFR,CMR,529 [ 376 - 790 ],529,376,790,NA
MDG_0000000026,PUBLISHED,2013,AFR,NER,594 [ 449 - 789 ],594,449,789,NA
MDG_0000000026,PUBLISHED,2012,AFR,LSO,586 [ 443 - 783 ],586,443,783,NA
MDG_0000000026,PUBLISHED,2006,AFR,COG,623 [ 488 - 782 ],623,488,782,NA
MDG_0000000026,PUBLISHED,2011,AFR,TZA,628 [ 510 - 778 ],628,510,778,NA
MDG_0000000026,PUBLISHED,2014,AFR,NER,573 [ 427 - 777 ],573,427,777,NA
MDG_0000000026,PUBLISHED,2002,EMR,SDN,614 [ 491 - 770 ],614,491,770,NA
MDG_0000000026,PUBLISHED,2004,AFR,MOZ,615 [ 493 - 769 ],615,493,769,NA
MDG_0000000026,PUBLISHED,2012,AFR,BDI,608 [ 483 - 765 ],608,483,765,NA
MDG_0000000026,PUBLISHED,2013,AFR,ERI,540 [ 388 - 762 ],540,388,762,NA
MDG_0000000026,PUBLISHED,2000,AFR,LSO,614 [ 498 - 755 ],614,498,755,NA
MDG_0000000026,PUBLISHED,2015,AFR,ERI,518 [ 363 - 752 ],518,363,752,NA
MDG_0000000026,PUBLISHED,2005,AFR,MWI,610 [ 495 - 750 ],610,495,750,NA
MDG_0000000026,PUBLISHED,2005,AFR,KEN,618 [ 515 - 745 ],618,515,745,NA
MDG_0000000026,PUBLISHED,2003,AFR,SWZ,538 [ 381 - 745 ],538,381,745,NA
MDG_0000000026,PUBLISHED,2000,AFR,SWZ,521 [ 361 - 735 ],521,361,735,NA
MDG_0000000026,PUBLISHED,2010,AMR,HTI,506 [ 349 - 734 ],506,349,734,NA
MDG_0000000026,PUBLISHED,2005,AFR,AGO,519 [ 373 - 731 ],519,373,731,NA
MDG_0000000026,PUBLISHED,2013,AFR,SWZ,432 [ 266 - 729 ],432,266,729,NA
MDG_0000000026,PUBLISHED,2007,AFR,COD,578 [ 458 - 725 ],578,458,725,NA
MDG_0000000026,PUBLISHED,2016,AFR,TZA,539 [ 416 - 721 ],539,416,721,NA
MDG_0000000026,PUBLISHED,2012,AFR,SWZ,435 [ 272 - 718 ],435,272,718,NA
MDG_0000000026,PUBLISHED,2008,AFR,SWZ,474 [ 318 - 708 ],474,318,708,NA
MDG_0000000026,PUBLISHED,2006,AFR,KEN,583 [ 484 - 706 ],583,484,706,NA
MDG_0000000026,PUBLISHED,2008,AFR,COG,552 [ 430 - 696 ],552,430,696,NA
MDG_0000000026,PUBLISHED,2000,AFR,UGA,578 [ 474 - 693 ],578,474,693,NA
MDG_0000000026,PUBLISHED,2012,AFR,COD,524 [ 401 - 692 ],524,401,692,NA
MDG_0000000026,PUBLISHED,2015,AFR,COD,490 [ 360 - 690 ],490,360,690,NA
MDG_0000000026,PUBLISHED,2000,AFR,SEN,553 [ 441 - 685 ],553,441,685,NA
MDG_0000000026,PUBLISHED,2001,AFR,MDG,552 [ 451 - 675 ],552,451,675,NA
MDG_0000000026,PUBLISHED,2001,AFR,SEN,545 [ 436 - 675 ],545,436,675,NA
MDG_0000000026,PUBLISHED,2003,AFR,MDG,543 [ 438 - 664 ],543,438,664,NA
MDG_0000000026,PUBLISHED,2004,AFR,MDG,539 [ 433 - 663 ],539,433,663,NA
MDG_0000000026,PUBLISHED,2001,AFR,UGA,550 [ 453 - 660 ],550,453,660,NA
MDG_0000000026,PUBLISHED,2011,AFR,ZWE,557 [ 468 - 658 ],557,468,658,NA
MDG_0000000026,PUBLISHED,2005,AFR,SEN,519 [ 415 - 652 ],519,415,652,NA
MDG_0000000026,PUBLISHED,2005,EMR,SDN,529 [ 434 - 651 ],529,434,651,NA
MDG_0000000026,PUBLISHED,2005,AFR,TGO,492 [ 380 - 643 ],492,380,643,NA
MDG_0000000026,PUBLISHED,2001,AFR,COM,437 [ 293 - 640 ],437,293,640,NA
MDG_0000000026,PUBLISHED,2007,AFR,MOZ,505 [ 401 - 636 ],505,401,636,NA
MDG_0000000026,PUBLISHED,2002,AFR,TGO,489 [ 379 - 636 ],489,379,636,NA
MDG_0000000026,PUBLISHED,2014,AFR,ETH,472 [ 362 - 632 ],472,362,632,NA
MDG_0000000026,PUBLISHED,2000,AFR,TGO,489 [ 379 - 631 ],489,379,631,NA
MDG_0000000026,PUBLISHED,2003,AFR,BEN,510 [ 418 - 628 ],510,418,628,NA
MDG_0000000026,PUBLISHED,2007,AFR,TGO,480 [ 367 - 628 ],480,367,628,NA
MDG_0000000026,PUBLISHED,2001,AFR,GNQ,421 [ 284 - 626 ],421,284,626,NA
MDG_0000000026,PUBLISHED,2006,EMR,SDN,508 [ 416 - 622 ],508,416,622,NA
MDG_0000000026,PUBLISHED,2006,AFR,BEN,493 [ 400 - 617 ],493,400,617,NA
MDG_0000000026,PUBLISHED,2007,AFR,BEN,486 [ 393 - 613 ],486,393,613,NA
MDG_0000000026,PUBLISHED,2002,WPR,LAO,491 [ 399 - 604 ],491,399,604,NA
MDG_0000000026,PUBLISHED,2009,AFR,TGO,458 [ 347 - 602 ],458,347,602,NA
MDG_0000000026,PUBLISHED,2010,AFR,BEN,464 [ 366 - 600 ],464,366,600,NA
MDG_0000000026,PUBLISHED,2008,AFR,MOZ,471 [ 371 - 598 ],471,371,598,NA
MDG_0000000026,PUBLISHED,2010,AFR,MDG,453 [ 343 - 591 ],453,343,591,NA
MDG_0000000026,PUBLISHED,2013,AFR,COG,449 [ 338 - 591 ],449,338,591,NA
MDG_0000000026,PUBLISHED,2016,AFR,ETH,422 [ 316 - 585 ],422,316,585,NA
MDG_0000000026,PUBLISHED,2009,AFR,KEN,472 [ 383 - 584 ],472,383,584,NA
MDG_0000000026,PUBLISHED,2016,AFR,ZWE,468 [ 372 - 580 ],468,372,580,NA
MDG_0000000026,PUBLISHED,2002,AFR,GNQ,392 [ 265 - 580 ],392,265,580,NA
MDG_0000000026,PUBLISHED,2017,AFR,ETH,401 [ 298 - 573 ],401,298,573,NA
MDG_0000000026,PUBLISHED,2011,AFR,MDG,432 [ 323 - 572 ],432,323,572,NA
MDG_0000000026,PUBLISHED,2008,EMR,SDN,454 [ 369 - 561 ],454,369,561,NA
MDG_0000000026,PUBLISHED,2003,AMR,HTI,446 [ 356 - 561 ],446,356,561,NA
MDG_0000000026,PUBLISHED,2007,AFR,COM,382 [ 254 - 560 ],382,254,560,NA
MDG_0000000026,PUBLISHED,2011,AFR,MWI,428 [ 329 - 555 ],428,329,555,NA
MDG_0000000026,PUBLISHED,2003,AFR,GNQ,370 [ 251 - 549 ],370,251,549,NA
MDG_0000000026,PUBLISHED,2000,AMR,HTI,437 [ 348 - 547 ],437,348,547,NA
MDG_0000000026,PUBLISHED,2008,AFR,COM,370 [ 245 - 545 ],370,245,545,NA
MDG_0000000026,PUBLISHED,2012,AFR,MWI,413 [ 314 - 543 ],413,314,543,NA
MDG_0000000026,PUBLISHED,2010,AFR,KEN,432 [ 349 - 540 ],432,349,540,NA
MDG_0000000026,PUBLISHED,2002,AFR,GHA,415 [ 318 - 539 ],415,318,539,NA
MDG_0000000026,PUBLISHED,2011,AFR,UGA,419 [ 334 - 532 ],419,334,532,NA
MDG_0000000026,PUBLISHED,2013,AFR,MWI,396 [ 295 - 530 ],396,295,530,NA
MDG_0000000026,PUBLISHED,2014,AFR,MDG,378 [ 271 - 525 ],378,271,525,NA
MDG_0000000026,PUBLISHED,2006,AFR,BFA,422 [ 338 - 524 ],422,338,524,NA
MDG_0000000026,PUBLISHED,2016,AFR,UGA,381 [ 285 - 522 ],381,285,522,NA
MDG_0000000026,PUBLISHED,2005,SEAR,NPL,415 [ 335 - 520 ],415,335,520,NA
MDG_0000000026,PUBLISHED,2002,SEAR,BGD,410 [ 320 - 520 ],410,320,520,NA
MDG_0000000026,PUBLISHED,2000,SEAR,BTN,423 [ 345 - 518 ],423,345,518,NA
MDG_0000000026,PUBLISHED,2015,AFR,MWI,370 [ 269 - 517 ],370,269,517,NA
MDG_0000000026,PUBLISHED,2011,AFR,MOZ,389 [ 300 - 509 ],389,300,509,NA
MDG_0000000026,PUBLISHED,2010,AFR,COM,341 [ 222 - 508 ],341,222,508,NA
MDG_0000000026,PUBLISHED,2005,AFR,ZMB,421 [ 355 - 503 ],421,355,503,NA
MDG_0000000026,PUBLISHED,2008,AFR,BFA,401 [ 315 - 502 ],401,315,502,NA
MDG_0000000026,PUBLISHED,2013,AFR,SEN,381 [ 296 - 501 ],381,296,501,NA
MDG_0000000026,PUBLISHED,2016,AFR,GNQ,301 [ 182 - 497 ],301,182,497,NA
MDG_0000000026,PUBLISHED,2006,AFR,GNQ,331 [ 223 - 496 ],331,223,496,NA
MDG_0000000026,PUBLISHED,2006,AFR,ZMB,406 [ 341 - 487 ],406,341,487,NA
MDG_0000000026,PUBLISHED,2012,AFR,BFA,369 [ 274 - 485 ],369,274,485,NA
MDG_0000000026,PUBLISHED,2014,AFR,SEN,364 [ 280 - 482 ],364,280,482,NA
MDG_0000000026,PUBLISHED,2014,AFR,GNQ,295 [ 182 - 482 ],295,182,482,NA
MDG_0000000026,PUBLISHED,2014,AFR,BFA,353 [ 253 - 479 ],353,253,479,NA
MDG_0000000026,PUBLISHED,2004,AFR,GAB,354 [ 265 - 478 ],354,265,478,NA
MDG_0000000026,PUBLISHED,2005,AFR,GHA,371 [ 288 - 474 ],371,288,474,NA
MDG_0000000026,PUBLISHED,2012,EMR,SDN,368 [ 279 - 473 ],368,279,473,NA
MDG_0000000026,PUBLISHED,2001,SEAR,BTN,384 [ 313 - 469 ],384,313,469,NA
MDG_0000000026,PUBLISHED,2007,AFR,ZMB,387 [ 321 - 468 ],387,321,468,NA
MDG_0000000026,PUBLISHED,2013,AFR,COM,302 [ 194 - 464 ],302,194,464,NA
MDG_0000000026,PUBLISHED,2014,AFR,MOZ,339 [ 255 - 461 ],339,255,461,NA
MDG_0000000026,PUBLISHED,2014,AFR,COM,293 [ 185 - 454 ],293,185,454,NA
MDG_0000000026,PUBLISHED,2010,AFR,AGO,326 [ 238 - 451 ],326,238,451,NA
MDG_0000000026,PUBLISHED,2007,AFR,GHA,349 [ 271 - 443 ],349,271,443,NA
MDG_0000000026,PUBLISHED,2014,EMR,SDN,333 [ 245 - 441 ],333,245,441,NA
MDG_0000000026,PUBLISHED,2011,AFR,GHA,339 [ 259 - 438 ],339,259,438,NA
MDG_0000000026,PUBLISHED,2004,AFR,NAM,358 [ 299 - 437 ],358,299,437,NA
MDG_0000000026,PUBLISHED,2013,AFR,GHA,331 [ 249 - 434 ],331,249,434,NA
MDG_0000000026,PUBLISHED,2005,SEAR,BGD,343 [ 272 - 433 ],343,272,433,NA
MDG_0000000026,PUBLISHED,2001,AFR,NAM,352 [ 290 - 430 ],352,290,430,NA
MDG_0000000026,PUBLISHED,2003,SEAR,BTN,348 [ 285 - 428 ],348,285,428,NA
MDG_0000000026,PUBLISHED,2012,AFR,RWA,329 [ 259 - 426 ],329,259,426,NA
MDG_0000000026,PUBLISHED,2016,AFR,GHA,314 [ 230 - 424 ],314,230,424,NA
MDG_0000000026,PUBLISHED,2001,SEAR,MMR,331 [ 263 - 415 ],331,263,415,NA
MDG_0000000026,PUBLISHED,2004,WPR,PNG,213 [ 111 - 414 ],213,111,414,NA
MDG_0000000026,PUBLISHED,2015,AFR,GAB,261 [ 176 - 408 ],261,176,408,NA
MDG_0000000026,PUBLISHED,2016,AFR,GAB,256 [ 170 - 407 ],256,170,407,NA
MDG_0000000026,PUBLISHED,2002,SEAR,MMR,323 [ 259 - 402 ],323,259,402,NA
MDG_0000000026,PUBLISHED,2006,SEAR,BGD,315 [ 252 - 399 ],315,252,399,NA
MDG_0000000026,PUBLISHED,2003,SEAR,MMR,314 [ 253 - 389 ],314,253,389,NA
MDG_0000000026,PUBLISHED,2014,AFR,RWA,291 [ 222 - 386 ],291,222,386,NA
MDG_0000000026,PUBLISHED,2007,SEAR,BGD,297 [ 239 - 377 ],297,239,377,NA
MDG_0000000026,PUBLISHED,2002,AMR,BOL,309 [ 254 - 376 ],309,254,376,NA
MDG_0000000026,PUBLISHED,2005,EMR,PAK,237 [ 153 - 371 ],237,153,371,NA
MDG_0000000026,PUBLISHED,2005,SEAR,MMR,299 [ 243 - 370 ],299,243,370,NA
MDG_0000000026,PUBLISHED,2008,AFR,NAM,284 [ 224 - 363 ],284,224,363,NA
MDG_0000000026,PUBLISHED,2006,SEAR,MMR,293 [ 237 - 362 ],293,237,362,NA
MDG_0000000026,PUBLISHED,2008,SEAR,BGD,280 [ 225 - 354 ],280,225,354,NA
MDG_0000000026,PUBLISHED,2009,AFR,NAM,276 [ 215 - 354 ],276,215,354,NA
MDG_0000000026,PUBLISHED,2016,AFR,AGO,246 [ 172 - 349 ],246,172,349,NA
MDG_0000000026,PUBLISHED,2004,EMR,PAK,243 [ 170 - 348 ],243,170,348,NA
MDG_0000000026,PUBLISHED,2017,AFR,AGO,241 [ 167 - 346 ],241,167,346,NA
MDG_0000000026,PUBLISHED,2012,SEAR,NPL,266 [ 206 - 345 ],266,206,345,NA
MDG_0000000026,PUBLISHED,2009,SEAR,MMR,274 [ 218 - 339 ],274,218,339,NA
MDG_0000000026,PUBLISHED,2016,SEAR,MMR,245 [ 182 - 338 ],245,182,338,NA
MDG_0000000026,PUBLISHED,2005,AMR,BOL,271 [ 221 - 332 ],271,221,332,NA
MDG_0000000026,PUBLISHED,2015,SEAR,MMR,246 [ 186 - 332 ],246,186,332,NA
MDG_0000000026,PUBLISHED,2011,SEAR,BTN,239 [ 179 - 331 ],239,179,331,NA
MDG_0000000026,PUBLISHED,2001,SEAR,IDN,269 [ 219 - 327 ],269,219,327,NA
MDG_0000000026,PUBLISHED,2013,SEAR,NPL,248 [ 190 - 327 ],248,190,327,NA
MDG_0000000026,PUBLISHED,2012,WPR,LAO,254 [ 202 - 324 ],254,202,324,NA
MDG_0000000026,PUBLISHED,2013,SEAR,MMR,251 [ 194 - 324 ],251,194,324,NA
MDG_0000000026,PUBLISHED,2012,AFR,NAM,240 [ 182 - 321 ],240,182,321,NA
MDG_0000000026,PUBLISHED,2003,SEAR,IDN,261 [ 213 - 319 ],261,213,319,NA
MDG_0000000026,PUBLISHED,2006,AMR,BOL,258 [ 210 - 318 ],258,210,318,NA
MDG_0000000026,PUBLISHED,2013,AFR,NAM,231 [ 174 - 313 ],231,174,313,NA
MDG_0000000026,PUBLISHED,2014,SEAR,NPL,231 [ 176 - 312 ],231,176,312,NA
MDG_0000000026,PUBLISHED,2006,SEAR,IND,270 [ 236 - 309 ],270,236,309,NA
MDG_0000000026,PUBLISHED,2014,AFR,NAM,223 [ 166 - 307 ],223,166,307,NA
MDG_0000000026,PUBLISHED,2007,SEAR,IDN,243 [ 196 - 304 ],243,196,304,NA
MDG_0000000026,PUBLISHED,2012,SEAR,BGD,238 [ 188 - 303 ],238,188,303,NA
MDG_0000000026,PUBLISHED,2002,WPR,FSM,163 [ 85 - 303 ],163,85,303,NA
MDG_0000000026,PUBLISHED,2000,AFR,BWA,262 [ 227 - 298 ],262,227,298,NA
MDG_0000000026,PUBLISHED,2009,EMR,PAK,199 [ 134 - 296 ],199,134,296,NA
MDG_0000000026,PUBLISHED,2010,SEAR,IDN,228 [ 178 - 292 ],228,178,292,NA
MDG_0000000026,PUBLISHED,2008,AMR,BOL,234 [ 188 - 291 ],234,188,291,NA
MDG_0000000026,PUBLISHED,2000,WPR,FSM,154 [ 82 - 283 ],154,82,283,NA
MDG_0000000026,PUBLISHED,2007,EMR,YEM,219 [ 168 - 281 ],219,168,281,NA
MDG_0000000026,PUBLISHED,2015,WPR,LAO,209 [ 161 - 277 ],209,161,277,NA
MDG_0000000026,PUBLISHED,2013,SEAR,IDN,207 [ 156 - 276 ],207,156,276,NA
MDG_0000000026,PUBLISHED,2008,EMR,YEM,208 [ 159 - 269 ],208,159,269,NA
MDG_0000000026,PUBLISHED,2000,AMR,GUY,231 [ 199 - 267 ],231,199,267,NA
MDG_0000000026,PUBLISHED,2016,WPR,LAO,196 [ 149 - 264 ],196,149,264,NA
MDG_0000000026,PUBLISHED,2015,EMR,YEM,169 [ 105 - 264 ],169,105,264,NA
MDG_0000000026,PUBLISHED,2005,WPR,SLB,188 [ 135 - 262 ],188,135,262,NA
MDG_0000000026,PUBLISHED,2009,EMR,YEM,200 [ 151 - 260 ],200,151,260,NA
MDG_0000000026,PUBLISHED,2001,AFR,STP,173 [ 116 - 259 ],173,116,259,NA
MDG_0000000026,PUBLISHED,2011,AMR,BOL,202 [ 158 - 257 ],202,158,257,NA
MDG_0000000026,PUBLISHED,2017,WPR,LAO,185 [ 139 - 253 ],185,139,253,NA
MDG_0000000026,PUBLISHED,2002,AFR,STP,169 [ 113 - 252 ],169,113,252,NA
MDG_0000000026,PUBLISHED,2016,EMR,YEM,165 [ 104 - 249 ],165,104,249,NA
MDG_0000000026,PUBLISHED,2001,SEAR,PRK,128 [ 64 - 249 ],128,64,249,NA
MDG_0000000026,PUBLISHED,2006,AFR,BWA,221 [ 197 - 246 ],221,197,246,NA
MDG_0000000026,PUBLISHED,2006,WPR,SLB,177 [ 128 - 246 ],177,128,246,NA
MDG_0000000026,PUBLISHED,2002,WPR,VUT,128 [ 67 - 243 ],128,67,243,NA
MDG_0000000026,PUBLISHED,2002,AMR,SUR,207 [ 180 - 242 ],207,180,242,NA
MDG_0000000026,PUBLISHED,2009,SEAR,PRK,113 [ 52 - 240 ],113,52,240,NA
MDG_0000000026,PUBLISHED,2015,WPR,KHM,178 [ 134 - 239 ],178,134,239,NA
MDG_0000000026,PUBLISHED,2007,AFR,STP,154 [ 99 - 235 ],154,99,235,NA
MDG_0000000026,PUBLISHED,2017,SEAR,BGD,173 [ 131 - 234 ],173,131,234,NA
MDG_0000000026,PUBLISHED,2016,WPR,KHM,168 [ 124 - 229 ],168,124,229,NA
MDG_0000000026,PUBLISHED,2011,SEAR,IND,197 [ 170 - 228 ],197,170,228,NA
