iso,year,start,end,obs_matdeaths,pm_obs,env,mmr_obs,shortcite,obs_selogpm,type,modelinclude,crvs_completeness,definition,sens,var_sens,sens_sq,oneminsens_sq,spec,var_spec,spec_sq,oneminspec_sq,cov_sesp,completeness_inq
CHL,2013.5,2013,2014,40,0.011927181,3353.684302,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CHL,2014.5,2014,2015,36,0.011207415,3212.159207,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CHL,2015.5,2015,2016,38,0.01165215,3261.200676,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CHL,2016.5,2016,2017,23,0.007093259,3242.515082,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
COL,2002.5,2002,2003,768,0.048647867,15786.92025,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CRI,2003.5,2003,2004,24,0.027681661,867,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.874977074
CRI,2004.5,2004,2005,22,0.022089299,995.9573542,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CRI,2005.5,2005,2006,27,0.028079464,961.5568042,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CRI,2006.5,2006,2007,28,0.026204488,1068.519245,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CRI,2007.5,2007,2008,14,0.015429969,907.3252478,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CRI,2008.5,2008,2009,25,0.026022299,960.7144928,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CRI,2009.5,2009,2010,20,0.020644811,968.7664359,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CRI,2010.5,2010,2011,16,0.017391304,920,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83800001
CRI,2011.5,2011,2012,18,0.019933555,903,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838000032
CRI,2012.5,2012,2013,22,0.020765433,1059.453008,NA,BIRMM 2014 (ISPRMM 2003-2012),NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CRI,2017.5,2017,2018,16,0.015252622,1049,NA,BIRMM 2000-2017,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.939758031
CUB,2000.5,2000,2001,58,0.016796988,3453,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999883731
CUB,2001.5,2001,2002,47,0.014190821,3312,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999972472
CUB,2002.5,2002,2003,58,0.01845958,3142,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999940135
CUB,2003.5,2003,2004,54,0.017408124,3102,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999480902
CUB,2004.5,2004,2005,49,0.016107824,3042,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999982
CUB,2005.5,2005,2006,62,0.019967794,3105,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999974282
CUB,2006.5,2006,2007,55,0.019469027,2825,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999988
CUB,2007.5,2007,2008,35,0.012224939,2863,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998594164
CUB,2008.5,2008,2009,57,0.019480519,2926,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999925277
CUB,2009.5,2009,2010,61,0.021012745,2903,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999321145
CUB,2010.5,2010,2011,55,0.018867925,2915,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998239996
CUB,2011.5,2011,2012,54,0.020126724,2683,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998073351
CUB,2012.5,2012,2013,42,0.015526802,2705,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999975617
CUB,2013.5,2013,2014,49,0.018208844,2691,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000007
CUB,2014.5,2014,2015,43,0.016615147,2588,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998379855
CUB,2015.5,2015,2016,52,0.019644881,2647,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.058908644
CUB,2016.5,2016,2017,49,0.019894438,2463,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.034836087
CUB,2017.5,2017,2018,45,0.018587361,2421,NA,WHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.060437776
DNK,1990,1985,1995,60,0.00431154,13916.14206,NA,Maternal mortality in Denmark 1985–1994,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DNK,2004.5,2002,2007,18,0.003502952,5138.5235,NA,Maternal deaths in Denmark 2002–2006,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,1999.5,1999,2000,257,0.05054641,5084.436294,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2000.5,2000,2001,115,0.021273147,5405.876222,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2001.5,2001,2002,116,0.020351973,5699.693069,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2002.5,2002,2003,159,0.026824061,5927.514089,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2003.5,2003,2004,149,0.02436851,6114.44849,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2004.5,2004,2005,166,0.026081326,6364.707134,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2005.5,2005,2006,197,0.031328004,6288.303548,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2006.5,2006,2007,174,0.028466508,6112.446275,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2007.5,2007,2008,158,0.026725847,5911.880019,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2008.5,2008,2009,199,0.035717484,5571.501106,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2009.5,2009,2010,229,0.042927909,5334.524885,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2010.5,2010,2011,198,0.038279026,5172.545367,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2011.5,2011,2012,197,0.039269731,5016.586435,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2012.5,2012,2013,188,0.038194739,4922.143858,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2013.5,2013,2014,194,0.040009716,4848.822242,NA,1999-2007 Registro de Vigilancia Epidemiologica/ 2008-2013 Registro de Estadisticas Vitales,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2014.5,2014,2015,NA,NA,2695,NA,PAHO maternal mortality database,NA,inq,FALSE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556846448
DOM,2015.5,2015,2016,196,0.041656658,4705.130202,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
DOM,2016.5,2016,2017,NA,NA,2625,NA,PAHO maternal mortality database,NA,inq,FALSE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575241766
DOM,2017.5,2017,2018,201,0.044309337,4536.289905,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ECU,2008.5,2008,2009,165,0.042536736,3879,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787930627
ECU,2009.5,2009,2010,208,0.053034166,3922,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78563233
ECU,2010.5,2010,2011,203,0.051366397,3952,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78316351
ECU,2011.5,2011,2012,241,0.060537553,3981,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.776330958
ECU,2012.5,2012,2013,204,0.053487153,3814,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772479129
ECU,2013.5,2013,2014,155,0.040864751,3793,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777000079
ECU,2014.5,2014,2015,166,0.044731878,3711,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.761972789
ECU,2015.5,2015,2016,150,0.042253521,3550,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726021774
ECU,2016.5,2016,2017,133,0.034375808,3869,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794883277
ECU,2017.5,2017,2018,143,0.039285714,3640,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.752567582
FIN,1991,1987,1995,29,0.003162486,9170,NA,Pregnancy-associated deaths in Finland 1987–1994,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2000.5,1998,2003,305,0.004884141,62447.00799,NA,"Ten years of confidential inquiries into maternal deaths in France, 1998-2007",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2000,1999,2001,171,0.006808518,25115.59852,NA,country consultation 2019,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2001.5,2001,2002,68,0.005464952,12442.9274,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2002.5,2002,2003,95,0.007761766,12239.48206,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2003.5,2003,2004,72,0.006057024,11887.02538,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2004.5,2004,2005,70,0.006158867,11365.72649,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2005.5,2005,2006,64,0.005750688,11129.10317,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2006.5,2006,2007,69,0.006402271,10777.42559,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2007.5,2007,2008,91,0.00880995,10329.22985,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2008.5,2008,2009,73,0.007017839,10402.06206,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2009.5,2009,2010,71,0.006931297,10243.39336,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2010.5,2010,2011,85,0.008657136,9818.489498,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2011.5,2011,2012,69,0.007205809,9575.607708,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FRA,2012.5,2012,2013,71,0.007773409,9133.702264,NA,ENCMM 2010-2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,1986.5,1985,1988,202,0.005786473,34909,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2009-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,1989.5,1988,1991,218,0.006229105,34997,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2009-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,1992.5,1991,1994,226,0.00649612,34790,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2009-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,1995.5,1994,1997,205,0.005815273,35252,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2009-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,1998.5,1997,2000,213,0.006261937,34015.03418,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2009-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,2001.5,2000,2003,223,0.006610128,33736.1117,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2009-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,2004.5,2003,2006,240,0.007171519,33465.71338,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2009-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,2007.5,2006,2009,261,0.007940146,32870.93357,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2009-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GBR,2010.5,2009,2012,240,0.007555046,31766.84754,NA,"Saving Lives, Improving Mothers’ Care - Confidential Enquiries into Maternal Deaths and Morbidity 2013-2015",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
