"WB_Group_Code","WB_Group_Name","date","source_id","source_name","value"
"CEB","Central Europe and the Baltics",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",70.98
"CEB","Central Europe and the Baltics",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",92.27
"CEB","Central Europe and the Baltics",2018,"IQ.SPI.OVRL","SPI Overall Score",83.21
"CEB","Central Europe and the Baltics",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",95.45
"CEB","Central Europe and the Baltics",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",87.9
"CEB","Central Europe and the Baltics",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",67.2
"CEB","Central Europe and the Baltics",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",71.39
"CEB","Central Europe and the Baltics",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",94.09
"CEB","Central Europe and the Baltics",2019,"IQ.SPI.OVRL","SPI Overall Score",83.31
"CEB","Central Europe and the Baltics",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",95.45
"CEB","Central Europe and the Baltics",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",87.9
"CEB","Central Europe and the Baltics",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",65.9
"CEB","Central Europe and the Baltics",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",71.39
"CEB","Central Europe and the Baltics",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",95.91
"CEB","Central Europe and the Baltics",2020,"IQ.SPI.OVRL","SPI Overall Score",84.89
"CEB","Central Europe and the Baltics",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",97.27
"CEB","Central Europe and the Baltics",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",88.83
"CEB","Central Europe and the Baltics",2020,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",70.26
"CEB","Central Europe and the Baltics",2020,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",71.29
"CEB","Central Europe and the Baltics",2020,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",96.82
"CSS","Caribbean small states",2016,"IQ.SPI.OVRL","SPI Overall Score",41.72
"CSS","Caribbean small states",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",55.38
"CSS","Caribbean small states",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",12.43
"CSS","Caribbean small states",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",48.66
"CSS","Caribbean small states",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",44.43
"CSS","Caribbean small states",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",32.69
"CSS","Caribbean small states",2017,"IQ.SPI.OVRL","SPI Overall Score",43.16
"CSS","Caribbean small states",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",51.54
"CSS","Caribbean small states",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",31.62
"CSS","Caribbean small states",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",48.43
"CSS","Caribbean small states",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",43.64
"CSS","Caribbean small states",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",28.08
"CSS","Caribbean small states",2018,"IQ.SPI.OVRL","SPI Overall Score",50.73
"CSS","Caribbean small states",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",56.15
"CSS","Caribbean small states",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",61.96
"CSS","Caribbean small states",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",46.69
"CSS","Caribbean small states",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",43.96
"CSS","Caribbean small states",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",29.62
"CSS","Caribbean small states",2019,"IQ.SPI.OVRL","SPI Overall Score",49.09
"CSS","Caribbean small states",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",56.15
"CSS","Caribbean small states",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",53.63
"CSS","Caribbean small states",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",44.15
"CSS","Caribbean small states",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",43.64
"CSS","Caribbean small states",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",32.31
"CSS","Caribbean small states",2020,"IQ.SPI.OVRL","SPI Overall Score",50.44
"CSS","Caribbean small states",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",67.69
"CSS","Caribbean small states",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",50.52
"CSS","Caribbean small states",2020,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",53.95
"CSS","Caribbean small states",2020,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",49.15
"CSS","Caribbean small states",2020,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",33.46
"EAP","East Asia & Pacific (excluding high income)",2016,"IQ.SPI.OVRL","SPI Overall Score",48.35
"EAP","East Asia & Pacific (excluding high income)",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",64.99
"EAP","East Asia & Pacific (excluding high income)",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",38.02
"EAP","East Asia & Pacific (excluding high income)",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",56.46
"EAP","East Asia & Pacific (excluding high income)",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",41.59
"EAP","East Asia & Pacific (excluding high income)",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",30
"EAP","East Asia & Pacific (excluding high income)",2017,"IQ.SPI.OVRL","SPI Overall Score",51.55
"EAP","East Asia & Pacific (excluding high income)",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",66.96
"EAP","East Asia & Pacific (excluding high income)",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",49.98
"EAP","East Asia & Pacific (excluding high income)",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",57.15
"EAP","East Asia & Pacific (excluding high income)",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",40.8
"EAP","East Asia & Pacific (excluding high income)",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",32.86
"EAP","East Asia & Pacific (excluding high income)",2018,"IQ.SPI.OVRL","SPI Overall Score",53.84
"EAP","East Asia & Pacific (excluding high income)",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",67.57
"EAP","East Asia & Pacific (excluding high income)",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",59.17
"EAP","East Asia & Pacific (excluding high income)",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",57.04
"EAP","East Asia & Pacific (excluding high income)",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",40.54
"EAP","East Asia & Pacific (excluding high income)",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",35
"EAP","East Asia & Pacific (excluding high income)",2019,"IQ.SPI.OVRL","SPI Overall Score",54.09
"EAP","East Asia & Pacific (excluding high income)",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",68.79
"EAP","East Asia & Pacific (excluding high income)",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",60.05
"EAP","East Asia & Pacific (excluding high income)",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",55.17
"EAP","East Asia & Pacific (excluding high income)",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",41.15
"EAP","East Asia & Pacific (excluding high income)",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",36.19
"EAP","East Asia & Pacific (excluding high income)",2020,"IQ.SPI.OVRL","SPI Overall Score",57.71
"EAP","East Asia & Pacific (excluding high income)",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",68.11
"EAP","East Asia & Pacific (excluding high income)",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",66.43
"EAP","East Asia & Pacific (excluding high income)",2020,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",65.47
"EAP","East Asia & Pacific (excluding high income)",2020,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",42.47
"EAP","East Asia & Pacific (excluding high income)",2020,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",36.19
"EAR","Early-demographic dividend",2016,"IQ.SPI.OVRL","SPI Overall Score",50.24
"EAR","Early-demographic dividend",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",73.06
"EAR","Early-demographic dividend",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",37.9
"EAR","Early-demographic dividend",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",60.18
"EAR","Early-demographic dividend",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",42.97
"EAR","Early-demographic dividend",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",33.52
"EAR","Early-demographic dividend",2017,"IQ.SPI.OVRL","SPI Overall Score",53.21
"EAR","Early-demographic dividend",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",75.8
"EAR","Early-demographic dividend",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",50.57
"EAR","Early-demographic dividend",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",61.61
"EAR","Early-demographic dividend",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",42.14
"EAR","Early-demographic dividend",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",34.6
"EAR","Early-demographic dividend",2018,"IQ.SPI.OVRL","SPI Overall Score",55.43
"EAR","Early-demographic dividend",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",76.61
"EAR","Early-demographic dividend",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",60.55
"EAR","Early-demographic dividend",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",61.07
"EAR","Early-demographic dividend",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",42.42
"EAR","Early-demographic dividend",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",35.32
"EAR","Early-demographic dividend",2019,"IQ.SPI.OVRL","SPI Overall Score",55.67
"EAR","Early-demographic dividend",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",76.88
"EAR","Early-demographic dividend",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",59.99
"EAR","Early-demographic dividend",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",60
"EAR","Early-demographic dividend",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",42.36
"EAR","Early-demographic dividend",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",38.06
"EAR","Early-demographic dividend",2020,"IQ.SPI.OVRL","SPI Overall Score",58.42
"EAR","Early-demographic dividend",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",75.53
"EAR","Early-demographic dividend",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",62.12
"EAR","Early-demographic dividend",2020,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",68.62
"EAR","Early-demographic dividend",2020,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",45.47
"EAR","Early-demographic dividend",2020,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",39.76
"EAS","East Asia & Pacific",2016,"IQ.SPI.OVRL","SPI Overall Score",54.38
"EAS","East Asia & Pacific",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",68.91
"EAS","East Asia & Pacific",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",44.32
"EAS","East Asia & Pacific",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",49.24
"EAS","East Asia & Pacific",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",47.54
"EAS","East Asia & Pacific",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",38.04
"EAS","East Asia & Pacific",2017,"IQ.SPI.OVRL","SPI Overall Score",57.19
"EAS","East Asia & Pacific",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",69.28
"EAS","East Asia & Pacific",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",54.36
"EAS","East Asia & Pacific",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",50.62
"EAS","East Asia & Pacific",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",46.49
"EAS","East Asia & Pacific",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",40.86
"EAS","East Asia & Pacific",2018,"IQ.SPI.OVRL","SPI Overall Score",59.96
"EAS","East Asia & Pacific",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",69.64
"EAS","East Asia & Pacific",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",66.36
"EAS","East Asia & Pacific",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",50.29
"EAS","East Asia & Pacific",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",46.4
"EAS","East Asia & Pacific",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",42.76
"EAS","East Asia & Pacific",2019,"IQ.SPI.OVRL","SPI Overall Score",60.43
"EAS","East Asia & Pacific",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",70.9
"EAS","East Asia & Pacific",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",67.05
"EAS","East Asia & Pacific",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",49.16
"EAS","East Asia & Pacific",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",47.3
"EAS","East Asia & Pacific",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",45.34
"EAS","East Asia & Pacific",2020,"IQ.SPI.OVRL","SPI Overall Score",62.75
"EAS","East Asia & Pacific",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",71.75
"EAS","East Asia & Pacific",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",71.17
"EAS","East Asia & Pacific",2020,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",58.06
"EAS","East Asia & Pacific",2020,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",49.02
"EAS","East Asia & Pacific",2020,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",44.66
"ECA","Europe & Central Asia (excluding high income)",2016,"IQ.SPI.OVRL","SPI Overall Score",63.27
"ECA","Europe & Central Asia (excluding high income)",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",86.33
"ECA","Europe & Central Asia (excluding high income)",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",46.08
"ECA","Europe & Central Asia (excluding high income)",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",62.56
"ECA","Europe & Central Asia (excluding high income)",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",53.96
"ECA","Europe & Central Asia (excluding high income)",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",63.95
"ECA","Europe & Central Asia (excluding high income)",2017,"IQ.SPI.OVRL","SPI Overall Score",65.8
"ECA","Europe & Central Asia (excluding high income)",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",89
"ECA","Europe & Central Asia (excluding high income)",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",51.44
"ECA","Europe & Central Asia (excluding high income)",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",64.9
"ECA","Europe & Central Asia (excluding high income)",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",52.13
"ECA","Europe & Central Asia (excluding high income)",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",67.25
"ECA","Europe & Central Asia (excluding high income)",2018,"IQ.SPI.OVRL","SPI Overall Score",69.6
"ECA","Europe & Central Asia (excluding high income)",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",89.5
"ECA","Europe & Central Asia (excluding high income)",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",68.22
"ECA","Europe & Central Asia (excluding high income)",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",65.75
"ECA","Europe & Central Asia (excluding high income)",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",52.83
"ECA","Europe & Central Asia (excluding high income)",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",68.25
"ECA","Europe & Central Asia (excluding high income)",2019,"IQ.SPI.OVRL","SPI Overall Score",70.91
"ECA","Europe & Central Asia (excluding high income)",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",89.5
"ECA","Europe & Central Asia (excluding high income)",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",69.05
"ECA","Europe & Central Asia (excluding high income)",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",65.1
"ECA","Europe & Central Asia (excluding high income)",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",53.4
"ECA","Europe & Central Asia (excluding high income)",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",74
"ECA","Europe & Central Asia (excluding high income)",2020,"IQ.SPI.OVRL","SPI Overall Score",74.73
"ECA","Europe & Central Asia (excluding high income)",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",89.5
"ECA","Europe & Central Asia (excluding high income)",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",72.42
"ECA","Europe & Central Asia (excluding high income)",2020,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",73.36
"ECA","Europe & Central Asia (excluding high income)",2020,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",57.91
"ECA","Europe & Central Asia (excluding high income)",2020,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",76.75
"ECS","Europe & Central Asia",2016,"IQ.SPI.OVRL","SPI Overall Score",73.86
"ECS","Europe & Central Asia",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",86.67
"ECS","Europe & Central Asia",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",63.37
"ECS","Europe & Central Asia",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",56.55
"ECS","Europe & Central Asia",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",65.19
"ECS","Europe & Central Asia",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",82.29
"ECS","Europe & Central Asia",2017,"IQ.SPI.OVRL","SPI Overall Score",75.33
"ECS","Europe & Central Asia",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",87.76
"ECS","Europe & Central Asia",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",65.95
"ECS","Europe & Central Asia",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",60.77
"ECS","Europe & Central Asia",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",63.31
"ECS","Europe & Central Asia",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",83.3
"ECS","Europe & Central Asia",2018,"IQ.SPI.OVRL","SPI Overall Score",78.86
"ECS","Europe & Central Asia",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",88.28
"ECS","Europe & Central Asia",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",81.3
"ECS","Europe & Central Asia",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",61.25
"ECS","Europe & Central Asia",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",64.13
"ECS","Europe & Central Asia",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",84.1
"ECS","Europe & Central Asia",2019,"IQ.SPI.OVRL","SPI Overall Score",79.41
"ECS","Europe & Central Asia",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",88.28
"ECS","Europe & Central Asia",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",81.64
"ECS","Europe & Central Asia",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",60.5
"ECS","Europe & Central Asia",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",64.34
"ECS","Europe & Central Asia",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",87.3
"ECS","Europe & Central Asia",2020,"IQ.SPI.OVRL","SPI Overall Score",81.7
"ECS","Europe & Central Asia",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",91.21
"ECS","Europe & Central Asia",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",82.83
"ECS","Europe & Central Asia",2020,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",65.78
"ECS","Europe & Central Asia",2020,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",66.31
"ECS","Europe & Central Asia",2020,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",86.96
"EMU","Euro area",2016,"IQ.SPI.OVRL","SPI Overall Score",81.61
"EMU","Euro area",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",98.42
"EMU","Euro area",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",77.98
"EMU","Euro area",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",62.92
"EMU","Euro area",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",72.67
"EMU","Euro area",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",96.05
"EMU","Euro area",2017,"IQ.SPI.OVRL","SPI Overall Score",82.62
"EMU","Euro area",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",98.42
"EMU","Euro area",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",79.35
"EMU","Euro area",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",68.93
"EMU","Euro area",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",70.35
"EMU","Euro area",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",96.05
"EMU","Euro area",2018,"IQ.SPI.OVRL","SPI Overall Score",85.28
"EMU","Euro area",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",98.42
"EMU","Euro area",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",91.85
"EMU","Euro area",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",69.14
"EMU","Euro area",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",70.7
"EMU","Euro area",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",96.32
"EMU","Euro area",2019,"IQ.SPI.OVRL","SPI Overall Score",85.33
"EMU","Euro area",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",98.42
"EMU","Euro area",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",91.85
"EMU","Euro area",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",67.87
"EMU","Euro area",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",70.87
"EMU","Euro area",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",97.63
"EMU","Euro area",2020,"IQ.SPI.OVRL","SPI Overall Score",86.14
"EMU","Euro area",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",98.95
"EMU","Euro area",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",91.77
