Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,2-alpha code,WB-2 code,Table Name,Short Name
BGD,People's Republic of Bangladesh,Lower middle income,South Asia,IDA,,Bangladeshi taka,2011,"Multiple Indicator Cluster Survey, 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2016,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2008,2011,2015,BD,BD,Bangladesh,Bangladesh
BRB,Barbados,High income,Latin America & Caribbean,,,Barbados dollar,2020 (expected),"Multiple Indicator Cluster Survey, 2012",,2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,Yes,,1997,2018,BB,BB,Barbados,Barbados
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia,IBRD,,Belarusian rubel,2019,"Multiple Indicator Cluster Survey, 2019","Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Original chained constant price data are rescaled.,2018,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Estimate,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,,2014,2018,BY,BY,Belarus,Belarus
BEL,Kingdom of Belgium,High income,Europe & Central Asia,,Euro area,Euro,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,2010,2014,2018,BE,BE,Belgium,Belgium
BLZ,Belize,Upper middle income,Latin America & Caribbean,IBRD,,Belize dollar,2020 (expected),"Multiple Indicator Cluster Survey, 2015/16",,2014,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Labor force survey (LFS), 1999",,2011,1992,2018,BZ,BZ,Belize,Belize
BEN,Republic of Benin,Lower middle income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2013,"Demographic and Health Survey, 2017/18",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,,1981,2018,BJ,BJ,Benin,Benin
BMU,The Bermudas,High income,North America,,,Bermuda dollar,2016,,,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,,General trade system,,,,Yes,,,2018,BM,BM,Bermuda,Bermuda
BTN,Kingdom of Bhutan,Lower middle income,South Asia,IDA,,Bhutanese ngultrum,2017,"Multiple Indicator Cluster Survey, 2010",,2017,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2017",,"2009. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",,2012,BT,BT,Bhutan,Bhutan
BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean,IBRD,HIPC,Bolivian Boliviano,2012,"Demographic and Health Survey, 2008",,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2013,2010,2018,BO,BO,Bolivia,Bolivia
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,IBRD,,Bosnia and Herzegovina convertible mark,2013,"Multiple Indicator Cluster Survey, 2011/12",,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2015",Yes,,2011,2018,BA,BA,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa,IBRD,,Botswana pula,2011,Family Health Survey 2007-2008,,2016,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015/16",,2015,2013,2018,BW,BW,Botswana,Botswana
BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean,IBRD,,Brazilian real,2020 (expected),"National Health Survey, 2013",,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Preliminary,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Integrated household survey (IHS), 2016",Yes,2006,2013,2018,BR,BR,Brazil,Brazil
VGB,British Virgin Islands,High income,Latin America & Caribbean,,,U.S. dollar,2020 (expected),"STEPS Risk Factor Survey, 2010",,,,,,"2017, 2011",,,,,,,Yes,,,,VG,VG,British Virgin Islands,British Virgin Islands
BRN,Brunei Darussalam,High income,East Asia & Pacific,,,Brunei dollar,2011,,,2010,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),,Yes,,,2018,BN,BN,Brunei Darussalam,Brunei
BGR,Republic of Bulgaria,Upper middle income,Europe & Central Asia,IBRD,,Bulgarian lev,2011,Multitopic Household Survey 2007,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,2014,2018,BG,BG,Bulgaria,Bulgaria
BFA,Burkina Faso,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2019,"Malaria Indicator Survey, 2017/18",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,2006-2010,1983,2018,BF,BF,Burkina Faso,Burkina Faso
BDI,Republic of Burundi,Low income,Sub-Saharan Africa,IDA,HIPC,Burundi franc,2008,"Demographic and Health Survey, 2016/17","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,,2012,2018,BI,BI,Burundi,Burundi
CPV,Republic of Cabo Verde,Lower middle income,Sub-Saharan Africa,Blend,,Cabo Verde escudo,2020 (expected),"Demographic and Health Survey, 2005",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Income survey (IS), 2015",Yes,2015,,2018,CV,CV,Cabo Verde,Cabo Verde
KHM,Kingdom of Cambodia,Lower middle income,East Asia & Pacific,IDA,,Cambodian riel,2019,"Demographic and Health Survey, 2020","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2012",,2013,2000,2016,KH,KH,Cambodia,Cambodia
CMR,Republic of Cameroon,Lower middle income,Sub-Saharan Africa,Blend,HIPC,Central African CFA franc,2020 (expected),"Malaria Indicator Survey, 2020/21",,2016,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2014",,,2002,2017,CM,CM,Cameroon,Cameroon
CAN,Canada,High income,North America,,,Canadian dollar,2016,,Fiscal year end: March 31; reporting period for national accounts data: CY.,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Labor force survey (LFS), 2013",Yes,2016,2014,2018,CA,CA,Canada,Canada
CYM,Cayman Islands,High income,Latin America & Caribbean,,,Cayman Islands dollar,2020 (expected),,,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",,,,,,,Yes,,,2015,KY,KY,Cayman Islands,Cayman Islands
CAF,Central African Republic,Low income,Sub-Saharan Africa,IDA,HIPC,Central African CFA franc,2003,"Multiple Indicator Cluster Survey, 2018/19",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2008",,,1993,2017,CF,CF,Central African Republic,Central African Republic
TCD,Republic of Chad,Low income,Sub-Saharan Africa,IDA,HIPC,Central African CFA franc,2009,"Multiple Indicator Cluster Survey, 2019",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Preliminary,,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2011",,,,1995,TD,TD,Chad,Chad
CHI,Channel Islands,High income,Europe & Central Asia,,,Pound sterling,Guernsey: 2015; Jersey: 2011.,,,,,,,,,,,,,,Yes. Vital registration for Guernsey and Jersey.,,,,,JG,Channel Islands,Channel Islands
CHL,Republic of Chile,High income,Latin America & Caribbean,IBRD,,Chilean peso,2017,,,Original chained constant price data are rescaled.,2018,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,General trade system,,Special Data Dissemination Standard Plus (SDDS Plus),"Integrated household survey (IHS), 2017",Yes,2007,2013,2018,CL,CL,Chile,Chile
CHN,People's Republic of China,Upper middle income,East Asia & Pacific,IBRD,,Chinese yuan,2020 (expected),"National Sample Survey on Population Changes, 2014","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),"2017, 2011",BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2015",,2016,2007,2018,CN,CN,China,China
COL,Republic of Colombia,Upper middle income,Latin America & Caribbean,IBRD,,Colombian peso,2018,"Demographic and Health Survey, 2015",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2011, and Rolling surveys (annual estimation) after 2016",BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",,2015,2012,2018,CO,CO,Colombia,Colombia
COM,Union of the Comoros,Lower middle income,Sub-Saharan Africa,IDA,HIPC,Comorian franc,2017,"Demographic and Health Survey, 2012",,2007,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2013",,,,2013,KM,KM,Comoros,Comoros
COD,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,IDA,HIPC,Congolese franc,,"Multiple Indicator Cluster Survey, 2017/18","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"1-2-3 survey (1-2-3), 2012/13",,,,,CD,ZR,"Congo, Dem. Rep.",Dem. Rep. Congo
COG,Republic of Congo,Lower middle income,Sub-Saharan Africa,Blend,HIPC,Central African CFA franc,2020 (expected),"Multiple Indicator Cluster Survey, 2014/15",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",,2014-2015,2009,2017,CG,CG,"Congo, Rep.",Congo
CRI,Republic of Costa Rica,Upper middle income,Latin America & Caribbean,IBRD,,Costa Rican colon,2011,"Multiple Indicator Cluster Survey, 2018",,Original chained constant price data are rescaled.,2017,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2011, and Rolling surveys (annual estimation) after 2016",BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,2014,2013,2018,CR,CR,Costa Rica,Costa Rica
CIV,Republic of Côte d'Ivoire,Lower middle income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2020 (expected),"Multiple Indicator Cluster Survey, 2016",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015",,2014-2015,1997,2018,CI,CI,Côte d'Ivoire,Côte d'Ivoire
HRV,Republic of Croatia,High income,Europe & Central Asia,IBRD,,Euro,2011,"World Health Survey, 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2023: 1 euro = 7.53450 Croatian kuna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,"2010. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2018,HR,HR,Croatia,Croatia
CUB,Republic of Cuba,Upper middle income,Latin America & Caribbean,,,Cuban peso,2012,"Multiple Indicator Cluster Survey, 2019",,1997,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),2011,,,,,,,Yes,,1989,2006,CU,CU,Cuba,Cuba
CUW,Curaçao,High income,Latin America & Caribbean,,,Netherlands Antillean guilder,2011,,,2011,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,,,,,,Yes,,,,CW,CW,Curaçao,Curaçao
CYP,Republic of Cyprus,High income,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,2010,2014,2018,CY,CY,Cyprus,Cyprus
CZE,Czech Republic,High income,Europe & Central Asia,,,Czech koruna,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003",,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2013,2018,CZ,CZ,Czechia,Czechia
DNK,Kingdom of Denmark,High income,Europe & Central Asia,,,Danish krone,2011. Population figures compiled from administrative registers.,,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,DK,DK,Denmark,Denmark
DJI,Republic of Djibouti,Lower middle income,Middle East & North Africa,IDA,,Djibouti franc,2020 (expected),"Multiple Indicator Cluster Survey, 2006",,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2017",,,,2009,DJ,DJ,Djibouti,Djibouti
DMA,Commonwealth of Dominica,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2011,,,2006,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,Yes,2015,,2012,DM,DM,Dominica,Dominica
