ref_area, ref_area.label, ref_area.sort
ALB,Albania,90
DZA,Algeria,91
ASM,American Samoa,92
AND,Andorra,93
AGO,Angola,94
AIA,Anguilla,95
ATG,Antigua and Barbuda,96
ARG,Argentina,97
ARM,Armenia,98
ABW,Aruba,99
AUS,Australia,100
AUT,Austria,101
AZE,Azerbaijan,102
BHS,Bahamas,103
BHR,Bahrain,104
BGD,Bangladesh,105
BRB,Barbados,106
BLR,Belarus,107
BEL,Belgium,108
BLZ,Belize,109
BEN,Benin,110
BMU,Bermuda,111
BTN,Bhutan,112
BOL,Bolivia,113
BIH,Bosnia and Herzegovina,114
BWA,Botswana,115
BRA,Brazil,116
VGB,British Virgin Islands,117
BRN,Brunei Darussalam,118
BGR,Bulgaria,119
BFA,Burkina Faso,120
BDI,Burundi,121
KHM,Cambodia,122
CMR,Cameroon,123
CAN,Canada,124
CPV,Cape Verde,125
CYM,Cayman Islands,126
CAF,Central African Republic,127
TCD,Chad,128
CHA,Channel Islands,129
CHL,Chile,130
CHN,China,131
COL,Colombia,132
COM,Comoros,133
COG,Congo,134
COD,"Congo, Democratic Republic of the",135
COK,Cook Islands,136
CRI,Costa Rica,137
HRV,Croatia,138
CUB,Cuba,139
CUW,Curaçao,140
CYP,Cyprus,141
CZE,Czechia,142
CIV,Côte d'Ivoire,143
DNK,Denmark,144
DJI,Djibouti,145
DMA,Dominica,146
DOM,Dominican Republic,147
ECU,Ecuador,148
EGY,Egypt,149
SLV,El Salvador,150
GNQ,Equatorial Guinea,151
ERI,Eritrea,152
EST,Estonia,153
SWZ,Eswatini,154
ETH,Ethiopia,155
FRO,Faeroe Islands,156
FLK,Falkland Islands (Malvinas),157
FJI,Fiji,158
FIN,Finland,159
FRA,France,160
GUF,French Guiana,161
PYF,French Polynesia,162
GAB,Gabon,163
GMB,Gambia,164
GEO,Georgia,165
DEU,Germany,166
GHA,Ghana,167
GIB,Gibraltar,168
GRC,Greece,169
GRL,Greenland,170
GRD,Grenada,171
GLP,Guadeloupe,172
GUM,Guam,173
GTM,Guatemala,174
GGY,Guernsey,175
GIN,Guinea,176
GNB,Guinea-Bissau,177
GUY,Guyana,178
HTI,Haiti,179
HND,Honduras,180
HKG,"Hong Kong, China",181
HUN,Hungary,182
ISL,Iceland,183
IND,India,184
IDN,Indonesia,185
IRN,"Iran, Islamic Republic of",186
IRQ,Iraq,187
IRL,Ireland,188
IMN,Isle of Man,189
ISR,Israel,190
ITA,Italy,191
JAM,Jamaica,192
JPN,Japan,193
JEY,Jersey,194
JOR,Jordan,195
KAZ,Kazakhstan,196
KEN,Kenya,197
KIR,Kiribati,198
PRK,"Korea, Democratic People's Republic of",199
KOR,"Korea, Republic of",200
KOS,Kosovo,201
KWT,Kuwait,202
KGZ,Kyrgyzstan,203
LAO,Lao People's Democratic Republic,204
LVA,Latvia,205
LBN,Lebanon,206
LSO,Lesotho,207
LBR,Liberia,208
LBY,Libya,209
LIE,Liechtenstein,210
LTU,Lithuania,211
LUX,Luxembourg,212
MAC,"Macau, China",213
MDG,Madagascar,214
MWI,Malawi,215
MYS,Malaysia,216
MDV,Maldives,217
MLI,Mali,218
MLT,Malta,219
MHL,Marshall Islands,220
MTQ,Martinique,221
MRT,Mauritania,222
MUS,Mauritius,223
MEX,Mexico,224
FSM,"Micronesia, Federated States of",225
MDA,"Moldova, Republic of",226
MCO,Monaco,227
MNG,Mongolia,228
MNE,Montenegro,229
MSR,Montserrat,230
MAR,Morocco,231
MOZ,Mozambique,232
MMR,Myanmar,233
NAM,Namibia,234
NRU,Nauru,235
NPL,Nepal,236
NLD,Netherlands,237
ANT,Netherlands Antilles,238
NCL,New Caledonia,239
NZL,New Zealand,240
NIC,Nicaragua,241
NER,Niger,242
NGA,Nigeria,243
NIU,Niue,244
NFK,Norfolk Island,245
MKD,North Macedonia,246
MNP,Northern Mariana Islands,247
NOR,Norway,248
PSE,Occupied Palestinian Territory,249
OMN,Oman,250
PAK,Pakistan,251
PLW,Palau,252
PAN,Panama,253
PNG,Papua New Guinea,254
PRY,Paraguay,255
PER,Peru,256
PHL,Philippines,257
POL,Poland,258
PRT,Portugal,259
PRI,Puerto Rico,260
QAT,Qatar,261
ROU,Romania,262
RUS,Russian Federation,263
RWA,Rwanda,264
REU,Réunion,265
SHN,Saint Helena,266
KNA,Saint Kitts and Nevis,267
LCA,Saint Lucia,268
SPM,Saint Pierre and Miquelon,269
VCT,Saint Vincent and the Grenadines,270
WSM,Samoa,271
SMR,San Marino,272
STP,Sao Tome and Principe,273
SAU,Saudi Arabia,274
SEN,Senegal,275
SRB,Serbia,276
SYC,Seychelles,277
SLE,Sierra Leone,278
SGP,Singapore,279
SVK,Slovakia,280
SVN,Slovenia,281
SLB,Solomon Islands,282
SOM,Somalia,283
ZAF,South Africa,284
SSD,South Sudan,285
ESP,Spain,286
LKA,Sri Lanka,287
SDN,Sudan,288
SUR,Suriname,289
SWE,Sweden,290
CHE,Switzerland,291
SYR,Syrian Arab Republic,292
TWN,"Taiwan, China",293
TJK,Tajikistan,294
TZA,"Tanzania, United Republic of",295
THA,Thailand,296
TLS,Timor-Leste,297
TGO,Togo,298
TKL,Tokelau,299
TON,Tonga,300
TTO,Trinidad and Tobago,301
TUN,Tunisia,302
TUR,Turkey,303
TKM,Turkmenistan,304
TCA,Turks and Caicos Islands,305
TUV,Tuvalu,306
UGA,Uganda,307
UKR,Ukraine,308
ARE,United Arab Emirates,309
GBR,United Kingdom,310
USA,United States,311
VIR,United States Virgin Islands,312
URY,Uruguay,313
UZB,Uzbekistan,314
VUT,Vanuatu,315
VEN,"Venezuela, Bolivarian Republic of",316
VNM,Viet Nam,317
WLF,Wallis and Futuna Islands,318
ESH,Western Sahara,319
YEM,Yemen,320
ZMB,Zambia,321
ZWE,Zimbabwe,322
