Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
"ARM","Armenia","Armenia","Republic of Armenia","AM","Armenian dram",,"Europe & Central Asia","Upper middle income","AM","Original chained constant price data are rescaled.","2012","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2016","Yes","2014",,"2018",
"ASM","American Samoa","American Samoa","American Samoa","AS","U.S. dollar",,"East Asia & Pacific","High income","AS","Original chained constant price data are rescaled.","2012","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,,,,,,"2020 (expected)",,,"Yes","2008",,,
"ATG","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","AG","East Caribbean dollar",,"Latin America & Caribbean","High income","AG","2018",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011",,,"Yes","2007",,"2018",
"AUS","Australia","Australia","Commonwealth of Australia","AU","Australian dollar",,"East Asia & Pacific","High income","AU","Original chained constant price data are rescaled.","2023","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2016",,"Expenditure survey/budget survey (ES/BS), 2010","Yes","2015-2016","2013","2018",
"AUT","Austria","Austria","Republic of Austria","AT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","AT","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011. Population figures compiled from administrative registers.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"AZE","Azerbaijan","Azerbaijan","Republic of Azerbaijan","AZ","New Azeri manat",,"Europe & Central Asia","Upper middle income","AZ","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2019","Demographic and Health Survey, 2006","Living Standards Measurement Study Survey (LSMS), 2012","Yes","2015","2013","2018",
"BDI","Burundi","Burundi","Republic of Burundi","BI","Burundi franc","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Low income","BI","2005",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2008","Demographic and Health Survey, 2016/17","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,,"2012","2018",
"BEL","Belgium","Belgium","Kingdom of Belgium","BE","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","BE","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"BEN","Benin","Benin","Republic of Benin","BJ","West African CFA franc",,"Sub-Saharan Africa","Lower middle income","BJ","2015",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2013","Demographic and Health Survey, 2017/18","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,,"1981","2018",
"BFA","Burkina Faso","Burkina Faso","Burkina Faso","BF","West African CFA franc",,"Sub-Saharan Africa","Low income","BF","2015",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2019","Malaria Indicator Survey, 2017/18","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,"2006-2010","1983","2018",
"BGD","Bangladesh","Bangladesh","People's Republic of Bangladesh","BD","Bangladeshi taka","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","South Asia","Lower middle income","BD","2016",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",,"2008","2011","2015",
"BGR","Bulgaria","Bulgaria","Republic of Bulgaria","BG","Bulgarian lev",,"Europe & Central Asia","High income","BG","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011","Multitopic Household Survey 2007","Expenditure survey/budget survey (ES/BS), 2014","Yes","2010","2014","2018",
"BHR","Bahrain","Bahrain","Kingdom of Bahrain","BH","Bahraini dinar",,"Middle East & North Africa","High income","BH","2010",,"Value added at producer prices (VAP)",,,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected). Population figures compiled from administrative registers.","Multiple Indicator Cluster Survey, 2000",,"Yes","2010","2013","2018",
"BHS","The Bahamas","Bahamas, The","Commonwealth of The Bahamas","BS","Bahamian dollar",,"Latin America & Caribbean","High income","BS","2018",,"Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)",,,,,"1998","2015",
"BIH","Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina","BA","Bosnia and Herzegovina convertible mark",,"Europe & Central Asia","Upper middle income","BA","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2013","Multiple Indicator Cluster Survey, 2011/12","Expenditure survey/budget survey (ES/BS), 2015","Yes",,"2011","2018",
"BLR","Belarus","Belarus","Republic of Belarus","BY","Belarusian rubel","Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)","Europe & Central Asia","Upper middle income","BY","Original chained constant price data are rescaled.","2018","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Estimate","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2019","Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2017","Yes",,"2014","2018",
"BLZ","Belize","Belize","Belize","BZ","Belize dollar",,"Latin America & Caribbean","Upper middle income","BZ","2014",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2015/16","Labor force survey (LFS), 1999",,"2011","1992","2018",
"BMU","Bermuda","Bermuda","The Bermudas","BM","Bermuda dollar",,"North America","High income","BM","2013",,"Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system",,,"2016",,,"Yes",,,"2018",
"BOL","Bolivia","Bolivia","Plurinational State of Bolivia","BO","Bolivian Boliviano",,"Latin America & Caribbean","Lower middle income","BO","1990",,"Value added at basic prices (VAB)","IBRD","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2012","Demographic and Health Survey, 2008","Integrated household survey (IHS), 2016",,"2013","2010","2018",
"BRA","Brazil","Brazil","Federative Republic of Brazil","BR","Brazilian real",,"Latin America & Caribbean","Upper middle income","BR","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Preliminary","Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2020 (expected)","National Health Survey, 2013","Integrated household survey (IHS), 2016","Yes","2006","2013","2018",
"BRB","Barbados","Barbados","Barbados","BB","Barbados dollar",,"Latin America & Caribbean","High income","BB","2016",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2012",,"Yes",,"1997","2018",
"BRN","Brunei","Brunei Darussalam","Brunei Darussalam","BN","Brunei dollar",,"East Asia & Pacific","High income","BN","2010",,"Value added at producer prices (VAP)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2011",,,"Yes",,,"2018",
"BTN","Bhutan","Bhutan","Kingdom of Bhutan","BT","Bhutanese ngultrum",,"South Asia","Lower middle income","BT","2017",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,"Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2017","Multiple Indicator Cluster Survey, 2010","Integrated household survey (IHS), 2017",,"2009. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",,"2012",
"BWA","Botswana","Botswana","Republic of Botswana","BW","Botswana pula",,"Sub-Saharan Africa","Upper middle income","BW","2016",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Family Health Survey 2007-2008","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015/16",,"2015","2013","2018",
"CAF","Central African Republic","Central African Republic","Central African Republic","CF","Central African CFA franc",,"Sub-Saharan Africa","Low income","CF","2005",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2003","Multiple Indicator Cluster Survey, 2018/19","Priority survey (PS), 2008",,,"1993","2017",
"CAN","Canada","Canada","Canada","CA","Canadian dollar","Fiscal year end: March 31; reporting period for national accounts data: CY.","North America","High income","CA","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2016",,"Labor force survey (LFS), 2013","Yes","2016","2014","2018",
"CEB","Central Europe and the Baltics","Central Europe and the Baltics","Central Europe and the Baltics","B8",,"Central Europe and the Baltics aggregate.",,,"B8",,,,,,,,,,,,,,,,,,,,,
"CHE","Switzerland","Switzerland","Switzerland","CH","Swiss franc",,"Europe & Central Asia","High income","CH","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015","Yes","2010","2013","2018",
"CHI","Channel Islands","Channel Islands","Channel Islands",,"Pound sterling",,"Europe & Central Asia","High income","JG","Original chained constant price data are rescaled.","2022","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,,,,,,"Guernsey: 2015; Jersey: 2011.",,,"Yes. Vital registration for Guernsey and Jersey.",,,,
"CHL","Chile","Chile","Republic of Chile","CL","Chilean peso",,"Latin America & Caribbean","High income","CL","Original chained constant price data are rescaled.","2018","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system",,"Special Data Dissemination Standard Plus (SDDS Plus)","2017",,"Integrated household survey (IHS), 2017","Yes","2007","2013","2018",
"CHN","China","China","People's Republic of China","CN","Chinese yuan","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","East Asia & Pacific","Upper middle income","CN","2020",,"Value added at producer prices (VAP)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Preliminary","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","National Sample Survey on Population Changes, 2014","Integrated household survey (IHS), 2015",,"2016","2007","2018",
"CIV","Côte d'Ivoire","Côte d'Ivoire","Republic of Côte d'Ivoire","CI","West African CFA franc",,"Sub-Saharan Africa","Lower middle income","CI","2015",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2015",,"2014-2015","1997","2018",
"CMR","Cameroon","Cameroon","Republic of Cameroon","CM","Central African CFA franc",,"Sub-Saharan Africa","Lower middle income","CM","2016",,"Value added at basic prices (VAB)","Blend","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Malaria Indicator Survey, 2020/21","Priority survey (PS), 2014",,,"2002","2017",
"COD","Dem. Rep. Congo","Congo, Dem. Rep.","Democratic Republic of the Congo","CD","Congolese franc","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Low income","ZR","2005",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)",,"Multiple Indicator Cluster Survey, 2017/18","1-2-3 survey (1-2-3), 2012/13",,,,,
"COG","Congo","Congo, Rep.","Republic of Congo","CG","Central African CFA franc",,"Sub-Saharan Africa","Lower middle income","CG","2005",,"Value added at basic prices (VAB)","Blend","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2014/15","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",,"2014-2015","2009","2017",
"COL","Colombia","Colombia","Republic of Colombia","CO","Colombian peso",,"Latin America & Caribbean","Upper middle income","CO","2015",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2018","Demographic and Health Survey, 2015","Integrated household survey (IHS), 2017",,"2015","2012","2018",
"COM","Comoros","Comoros","Union of the Comoros","KM","Comorian franc",,"Sub-Saharan Africa","Lower middle income","KM","2007",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual","General trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2017","Demographic and Health Survey, 2012","Integrated household survey (IHS), 2013",,,,"2013",
"CPV","Cabo Verde","Cabo Verde","Republic of Cabo Verde","CV","Cabo Verde escudo",,"Sub-Saharan Africa","Lower middle income","CV","2015",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Demographic and Health Survey, 2005","Income survey (IS), 2015","Yes","2015",,"2018",
"CRI","Costa Rica","Costa Rica","Republic of Costa Rica","CR","Costa Rican colon",,"Latin America & Caribbean","Upper middle income","CR","Original chained constant price data are rescaled.","2017","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017","Yes","2014","2013","2018",
"CSS","Caribbean small states","Caribbean small states","Caribbean small states","S3",,"Caribbean small states aggregate.",,,"S3",,,,,,,,,,,,,,,,,,,,,
"CUB","Cuba","Cuba","Republic of Cuba","CU","Cuban peso",,"Latin America & Caribbean","Upper middle income","CU","1997",,"Value added at basic prices (VAB)",,,"Country uses the 1993 System of National Accounts methodology",,,,,,,,"2012","Multiple Indicator Cluster Survey, 2019",,"Yes",,"1989","2006",
"CUW","Curaçao","Curaçao","Curaçao","CW","Netherlands Antillean guilder",,"Latin America & Caribbean","High income","CW","2011",,"Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,,,,"2011",,,"Yes",,,,
"CYM","Cayman Islands","Cayman Islands","Cayman Islands","KY","Cayman Islands dollar",,"Latin America & Caribbean","High income","KY","2015",,"Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,,,,,,"2020 (expected)",,,"Yes",,,"2015",
"CYP","Cyprus","Cyprus","Republic of Cyprus","CY","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","CY","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"CZE","Czechia","Czechia","Czech Republic","CZ","Czech koruna",,"Europe & Central Asia","High income","CZ","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015","Yes","2010","2013","2018",
"DEU","Germany","Germany","Federal Republic of Germany","DE","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","DE","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011. Population figures compiled from administrative registers and sample surveys while data on housing characteristics are collected through full field enumeration.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"DJI","Djibouti","Djibouti","Republic of Djibouti","DJ","Djibouti franc",,"Middle East & North Africa","Lower middle income","DJ","2013",,"Value added at basic prices (VAB)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual",,,"Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2006","Priority survey (PS), 2017",,,,"2009",
"DMA","Dominica","Dominica","Commonwealth of Dominica","DM","East Caribbean dollar",,"Latin America & Caribbean","Upper middle income","DM","2006",,"Value added at basic prices (VAB)","Blend",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011",,,"Yes","2015",,"2012",
"DNK","Denmark","Denmark","Kingdom of Denmark","DK","Danish krone",,"Europe & Central Asia","High income","DK","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011. Population figures compiled from administrative registers.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
