pillar,pillar_name,pillar_description,pillar_id,dimension,dimension_name,dimension_description,dimension_id,indicator,indicator name,indicator_description,indicator_id,indicator_scoring,indicator_abv
2,Pillar 2: Data Services,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of Official Statistics.",SPI.INDEX.PIL2,2,Dimension 2.2: Online access,"ODIN Open Data Openness score (Crowell et al). This is a well-established data source with good country coverage, which scores countries based on whether indicators are available online in a format that is machine readable, in a non-proprietary format, downloadable, with metadata available and terms of use. Scores range from 0-1. For more details, consult the ODIN technical documentation.",SPI.DIM2.2.INDEX,1,Indicator 2.2.1: ODIN Open Data Openness score,ODW Openness score,SPI.D2.2.Openness.subscore,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",Openness.subscore
2,Pillar 2: Data Services,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of F13+F14",SPI.INDEX.PIL2,2,Dimension 2.2: Online access,"ODIN Open Data Openness score (Crowell et al). This is a well-established data source with good country coverage, which scores countries based on whether indicators are available online in a format that is machine readable, in a non-proprietary format, downloadable, with metadata available and terms of use. Scores range from 0-1. For more details, consult the ODIN technical documentation.",SPI.DIM2.2.INDEX,2,Indicator 2.2.2: Machine Readability Score,Machine Readability Score,SPI.D2.2.Machine.readable,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",Machine.readable
2,Pillar 2: Data Services,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of Official Statistics.",SPI.INDEX.PIL2,2,Dimension 2.2: Online access,"ODIN Open Data Openness score (Crowell et al). This is a well-established data source with good country coverage, which scores countries based on whether indicators are available online in a format that is machine readable, in a non-proprietary format, downloadable, with metadata available and terms of use. Scores range from 0-1. For more details, consult the ODIN technical documentation.",SPI.DIM2.2.INDEX,3,Indicator 2.2.3: Non-Proprietary format Score,Non-Proprietary format Score,SPI.D2.2.Non.proprietary,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",Non.proprietary
2,Pillar 2: Data Services,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of Official Statistics.",SPI.INDEX.PIL2,2,Dimension 2.2: Online access,"ODIN Open Data Openness score (Crowell et al). This is a well-established data source with good country coverage, which scores countries based on whether indicators are available online in a format that is machine readable, in a non-proprietary format, downloadable, with metadata available and terms of use. Scores range from 0-1. For more details, consult the ODIN technical documentation.",SPI.DIM2.2.INDEX,4,Indicator 2.2.4: Download Options Score,Download Options Score,SPI.D2.2.Download.options,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",Download.options
2,Pillar 2: Data Services,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of Official Statistics.",SPI.INDEX.PIL2,2,Dimension 2.2: Online access,"ODIN Open Data Openness score (Crowell et al). This is a well-established data source with good country coverage, which scores countries based on whether indicators are available online in a format that is machine readable, in a non-proprietary format, downloadable, with metadata available and terms of use. Scores range from 0-1. For more details, consult the ODIN technical documentation.",SPI.DIM2.2.INDEX,5,Indicator 2.2.5: Metadata Available Score,Metadata Available Score,SPI.D2.2.Metadata.available,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",Metadata.available
2,Pillar 2: Data Services,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of Official Statistics.",SPI.INDEX.PIL2,2,Dimension 2.2: Online access,"ODIN Open Data Openness score (Crowell et al). This is a well-established data source with good country coverage, which scores countries based on whether indicators are available online in a format that is machine readable, in a non-proprietary format, downloadable, with metadata available and terms of use. Scores range from 0-1. For more details, consult the ODIN technical documentation.",SPI.DIM2.2.INDEX,6,Indicator 2.2.6: Terms of Use Score,Terms of Use Score,SPI.D2.2.Terms.of.use,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",Terms.of.use
2,Pillar 2: Data Services,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of Official Statistics.",SPI.INDEX.PIL2,3,Dimension 2.3: Advisory/ Analytical Services,Not included because of lack of established methodology. This could be a new indicator of the number of non-recurring products on NSO website (ad hoc/experimental rather than regular releases). The indicator is the number of products found. No established source exists for this indicator.,SPI.DIM2.3.INDEX,1,Indicator 2.3.1: NSO Website,New indicator of number of non-recurring products on NSO website (ad hoc/experimental rather than regular releases). The indicator is the number of products found.,SPI.D2.3.DSAS,No established methodology.,DSAS
2,Pillar 2: Data Services,"The data services pillar overall score is a composite indicator based on four dimensions of data services: (i) the quality of data releases, (ii) the richness and openness of online access, (iii) the effectiveness of advisory and analytical services related to statistics, and (iv) the availability and use of data access services such as secure microdata access. Advisory and analytical services might incorporate elements related to data stewardship services including input to national data strategies, advice on data ethics and calling out misuse of data in accordance with the Fundamental Principles of Official Statistics.",SPI.INDEX.PIL2,4,Dimension 2.4: Data access services,"NADA metadata. This indicator checks whether NADA microdata cataloging is available for surveys produced by NSO. NADA is an open source microdata cataloging system, compliant with the Data Documentation Initiative (DDI) and Dublin Cores RDF metadata standards. Source: NSO websites.",SPI.DIM2.4.INDEX,1,Indicator 2.4.1: NADA metadata,NADA/NSO websites.  Statistical systems must be open and transparent about their methods and procedures and provide access to adequate metadata â€“ detailed descriptions of the methods and procedures used to produce the data.,SPI.D2.4.NADA,"1 Point. Yes, available. 0 Points. No",NADA
3,Pillar 3: Data Products,"The data products overall score is a composite score measureing whether the country is able to produce relevant indicators, primarily related to SDGs. The data products (internal process) pillar is segmented by four topics and organized into (i) social, (ii) economic, (iii) environmental, and (iv) institutional dimensions using the typology of the Sustainable Development Goals (SDGs). This approach anchors the national statistical system’s performance around the essential data required to support the achievement of the 2030 global goals, and enables comparisons across countries so that a global view can be generated while enabling country specific emphasis to reflect the user needs of that country.",SPI.INDEX.PIL3,1,Dimension 3.1: Social Statistics,"Availability of indicators for the Sustainable Development Goals 1-6, measured by an average score. The primary data source is the UN SDG database. While this is a database with comprehensive coverage that all countries have signed up to, many countries are not yet submitting all their available national data. For this reason, scores for some countries thus may not fully capture their performance in calculating the indicators. For OECD countries, we supplement the UN SDG database with comparable data submitted to the OECD following the methodology in Measuring Distance to the SDG Targets 2019: An Assessment of Where OECD Countries Stand.",SPI.DIM3.1.INDEX,1,Indicator 3.1.1: GOAL 1: No Poverty,SDG Goal 1 data availability.  Source: UN Global SDG Indicators Database,SPI.D3.1.POV,Fraction of Indicators in Goal 1 with value produced by countries statistical system,POV
3,Pillar 3: Data Products,"The data products overall score is a composite score measureing whether the country is able to produce relevant indicators, primarily related to SDGs. The data products (internal process) pillar is segmented by four topics and organized into (i) social, (ii) economic, (iii) environmental, and (iv) institutional dimensions using the typology of the Sustainable Development Goals (SDGs). This approach anchors the national statistical system’s performance around the essential data required to support the achievement of the 2030 global goals, and enables comparisons across countries so that a global view can be generated while enabling country specific emphasis to reflect the user needs of that country.",SPI.INDEX.PIL3,1,Dimension 3.1: Social Statistics,"Availability of indicators for the Sustainable Development Goals 1-6, measured by an average score. The primary data source is the UN SDG database. While this is a database with comprehensive coverage that all countries have signed up to, many countries are not yet submitting all their available national data. For this reason, scores for some countries thus may not fully capture their performance in calculating the indicators. For OECD countries, we supplement the UN SDG database with comparable data submitted to the OECD following the methodology in Measuring Distance to the SDG Targets 2019: An Assessment of Where OECD Countries Stand.",SPI.DIM3.1.INDEX,2,Indicator 3.1.2: GOAL 2: Zero Hunger,SDG Goal 2 data availability.  Source: UN Global SDG Indicators Database,SPI.D3.1.HNGR,Fraction of Indicators in Goal 2 with value produced by countries statistical system,HNGR
3,Pillar 3: Data Products,"The data products overall score is a composite score measureing whether the country is able to produce relevant indicators, primarily related to SDGs. The data products (internal process) pillar is segmented by four topics and organized into (i) social, (ii) economic, (iii) environmental, and (iv) institutional dimensions using the typology of the Sustainable Development Goals (SDGs). This approach anchors the national statistical system’s performance around the essential data required to support the achievement of the 2030 global goals, and enables comparisons across countries so that a global view can be generated while enabling country specific emphasis to reflect the user needs of that country.",SPI.INDEX.PIL3,1,Dimension 3.1: Social Statistics,"Availability of indicators for the Sustainable Development Goals 1-6, measured by an average score. The primary data source is the UN SDG database. While this is a database with comprehensive coverage that all countries have signed up to, many countries are not yet submitting all their available national data. For this reason, scores for some countries thus may not fully capture their performance in calculating the indicators. For OECD countries, we supplement the UN SDG database with comparable data submitted to the OECD following the methodology in Measuring Distance to the SDG Targets 2019: An Assessment of Where OECD Countries Stand.",SPI.DIM3.1.INDEX,3,Indicator 3.1.3: GOAL 3: Good Health and Well-being,SDG Goal 3 data availability.  Source: UN Global SDG Indicators Database,SPI.D3.1.HLTH,Fraction of Indicators in Goal 3 with value produced by countries statistical system,HLTH
3,Pillar 3: Data Products,"The data products overall score is a composite score measureing whether the country is able to produce relevant indicators, primarily related to SDGs. The data products (internal process) pillar is segmented by four topics and organized into (i) social, (ii) economic, (iii) environmental, and (iv) institutional dimensions using the typology of the Sustainable Development Goals (SDGs). This approach anchors the national statistical system’s performance around the essential data required to support the achievement of the 2030 global goals, and enables comparisons across countries so that a global view can be generated while enabling country specific emphasis to reflect the user needs of that country.",SPI.INDEX.PIL3,1,Dimension 3.1: Social Statistics,"Availability of indicators for the Sustainable Development Goals 1-6, measured by an average score. The primary data source is the UN SDG database. While this is a database with comprehensive coverage that all countries have signed up to, many countries are not yet submitting all their available national data. For this reason, scores for some countries thus may not fully capture their performance in calculating the indicators. For OECD countries, we supplement the UN SDG database with comparable data submitted to the OECD following the methodology in Measuring Distance to the SDG Targets 2019: An Assessment of Where OECD Countries Stand.",SPI.DIM3.1.INDEX,4,Indicator 3.1.4: GOAL 4: Quality Education,SDG Goal 4 data availability.  Source: UN Global SDG Indicators Database,SPI.D3.1.EDUC,Fraction of Indicators in Goal 4 with value produced by countries statistical system,EDUC
3,Pillar 3: Data Products,"The data products overall score is a composite score measureing whether the country is able to produce relevant indicators, primarily related to SDGs. The data products (internal process) pillar is segmented by four topics and organized into (i) social, (ii) economic, (iii) environmental, and (iv) institutional dimensions using the typology of the Sustainable Development Goals (SDGs). This approach anchors the national statistical system’s performance around the essential data required to support the achievement of the 2030 global goals, and enables comparisons across countries so that a global view can be generated while enabling country specific emphasis to reflect the user needs of that country.",SPI.INDEX.PIL3,1,Dimension 3.1: Social Statistics,"Availability of indicators for the Sustainable Development Goals 1-6, measured by an average score. The primary data source is the UN SDG database. While this is a database with comprehensive coverage that all countries have signed up to, many countries are not yet submitting all their available national data. For this reason, scores for some countries thus may not fully capture their performance in calculating the indicators. For OECD countries, we supplement the UN SDG database with comparable data submitted to the OECD following the methodology in Measuring Distance to the SDG Targets 2019: An Assessment of Where OECD Countries Stand.",SPI.DIM3.1.INDEX,5,Indicator 3.1.5: GOAL 5: Gender Equality,SDG Goal 5 data availability.  Source: UN Global SDG Indicators Database,SPI.D3.1.GEND,Fraction of Indicators in Goal 5 with value produced by countries statistical system,GEND
3,Pillar 3: Data Products,"The data products overall score is a composite score measureing whether the country is able to produce relevant indicators, primarily related to SDGs. The data products (internal process) pillar is segmented by four topics and organized into (i) social, (ii) economic, (iii) environmental, and (iv) institutional dimensions using the typology of the Sustainable Development Goals (SDGs). This approach anchors the national statistical system’s performance around the essential data required to support the achievement of the 2030 global goals, and enables comparisons across countries so that a global view can be generated while enabling country specific emphasis to reflect the user needs of that country.",SPI.INDEX.PIL3,1,Dimension 3.1: Social Statistics,"Availability of indicators for the Sustainable Development Goals 1-6, measured by an average score. The primary data source is the UN SDG database. While this is a database with comprehensive coverage that all countries have signed up to, many countries are not yet submitting all their available national data. For this reason, scores for some countries thus may not fully capture their performance in calculating the indicators. For OECD countries, we supplement the UN SDG database with comparable data submitted to the OECD following the methodology in Measuring Distance to the SDG Targets 2019: An Assessment of Where OECD Countries Stand.",SPI.DIM3.1.INDEX,6,Indicator 3.1.6: GOAL 6: Clean Water and Sanitation,SDG Goal 6 data availability.  Source: UN Global SDG Indicators Database,SPI.D3.1.WTRS,Fraction of Indicators in Goal 6 with value produced by countries statistical system,WTRS
3,Pillar 3: Data Products,"The data products overall score is a composite score measureing whether the country is able to produce relevant indicators, primarily related to SDGs. The data products (internal process) pillar is segmented by four topics and organized into (i) social, (ii) economic, (iii) environmental, and (iv) institutional dimensions using the typology of the Sustainable Development Goals (SDGs). This approach anchors the national statistical system’s performance around the essential data required to support the achievement of the 2030 global goals, and enables comparisons across countries so that a global view can be generated while enabling country specific emphasis to reflect the user needs of that country.",SPI.INDEX.PIL3,2,Dimension 3.2: Economic Statistics,"Availability of Goal 7-12 indicators, measured by an average score. The primary data source is the UN SDG database. While this is a database with comprehensive coverage that all countries have signed up to, many countries are not yet submitting all their available national data. For this reason, scores for some countries thus may not fully capture their performance in calculating the indicators. For OECD countries, we supplement the UN SDG database with comparable data submitted to the OECD following the methodology in Measuring Distance to the SDG Targets 2019: An Assessment of Where OECD Countries Stand.",SPI.DIM3.2.INDEX,1,Indicator 3.2.1: GOAL 7: Affordable and Clean Energy,SDG Goal 7 data availability.  Source: UN Global SDG Indicators Database,SPI.D3.2.ENRG,Fraction of Indicators in Goal 7 with value produced by countries statistical system,ENRG
