Year,Region,Region code,Country,Country code,Data category,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readability,Non-proprietary,Download options,Metadata availability,Terms of use,Openness subscore,Overall score
2024,Eastern Africa,AFE,Ethiopia,ETH,Environment subscore,50,40,40,16.7,25,37.5,60,80,50,20,0,42,40
2024,Eastern Africa,AFE,Ethiopia,ETH,All categories,68.6,43.8,47.1,27.3,16.8,44.6,41.4,93.3,49.3,32.6,0,43.3,43.9
2024,Eastern Africa,AFE,Kenya,KEN,Population and vital statistics,100,100,50,100,50,80,50,100,50,50,50,60,70
2024,Eastern Africa,AFE,Kenya,KEN,Education facilities,50,50,50,0,0,30,50,100,0,50,50,50,40
2024,Eastern Africa,AFE,Kenya,KEN,Education outcomes,50,50,50,0,0,30,50,100,50,50,50,60,45
2024,Eastern Africa,AFE,Kenya,KEN,Health facilities,100,100,50,0,0,50,100,100,50,50,100,80,65
2024,Eastern Africa,AFE,Kenya,KEN,Health outcomes,100,50,50,50,0,50,50,100,50,50,0,50,50
2024,Eastern Africa,AFE,Kenya,KEN,Reproductive health,100,50,50,50,0,50,50,100,50,50,50,60,55
2024,Eastern Africa,AFE,Kenya,KEN,Food security and nutrition,100,50,0,50,-,50,50,100,0,50,0,40,44.4
2024,Eastern Africa,AFE,Kenya,KEN,Gender statistics,100,50,50,50,0,50,50,100,50,50,0,50,50
2024,Eastern Africa,AFE,Kenya,KEN,Crime and justice,100,100,100,100,50,90,50,100,50,50,0,50,70
2024,Eastern Africa,AFE,Kenya,KEN,Poverty and income,100,100,50,0,0,50,50,100,50,50,0,50,50
2024,Eastern Africa,AFE,Kenya,KEN,Social statistics subscore,90,70,50,40,11.1,53.1,55,100,40,50,30,55,54
2024,Eastern Africa,AFE,Kenya,KEN,National accounts,50,50,50,0,-,37.5,50,100,50,50,50,60,50
2024,Eastern Africa,AFE,Kenya,KEN,Labor,100,50,50,0,0,40,50,100,50,50,0,50,45
2024,Eastern Africa,AFE,Kenya,KEN,Price indexes,100,100,100,0,-,75,100,100,100,50,100,90,83.3
2024,Eastern Africa,AFE,Kenya,KEN,Government finance,100,100,100,0,-,75,100,100,50,50,100,80,77.8
2024,Eastern Africa,AFE,Kenya,KEN,Money and banking,100,100,100,-,-,100,50,100,50,50,50,60,75
2024,Eastern Africa,AFE,Kenya,KEN,International trade,100,100,100,-,-,100,100,100,100,50,100,90,93.8
2024,Eastern Africa,AFE,Kenya,KEN,Balance of payments,100,100,100,-,-,100,100,100,100,50,100,90,93.8
2024,Eastern Africa,AFE,Kenya,KEN,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Eastern Africa,AFE,Kenya,KEN,Economic and financial statistics subscore,92.9,85.7,85.7,0,0,71.2,78.6,100,71.4,50,71.4,74.3,73
2024,Eastern Africa,AFE,Kenya,KEN,Agriculture and land use,50,50,50,50,0,40,0,100,50,50,100,60,50
2024,Eastern Africa,AFE,Kenya,KEN,Resource use,100,100,100,0,-,75,50,100,50,50,0,50,61.1
2024,Eastern Africa,AFE,Kenya,KEN,Energy,50,50,50,-,-,50,50,100,50,50,50,60,56.2
2024,Eastern Africa,AFE,Kenya,KEN,Pollution,100,100,50,-,-,83.3,100,100,50,50,0,60,68.8
2024,Eastern Africa,AFE,Kenya,KEN,Built environment,100,50,50,50,50,60,50,100,50,50,0,50,55
2024,Eastern Africa,AFE,Kenya,KEN,Environment subscore,80,70,60,33.3,25,60,50,100,50,50,30,56,57.8
2024,Eastern Africa,AFE,Kenya,KEN,All categories,87.6,75.2,65.2,27.6,13.9,60.6,61.2,100,53.8,50,43.8,61.8,61.2
2024,Eastern Africa,AFE,Madagascar,MDG,Population and vital statistics,50,50,50,50,0,40,0,100,50,50,0,40,40
2024,Eastern Africa,AFE,Madagascar,MDG,Education facilities,50,50,0,50,0,30,100,100,0,50,0,50,40
2024,Eastern Africa,AFE,Madagascar,MDG,Education outcomes,100,50,0,100,0,50,100,100,0,50,0,50,50
2024,Eastern Africa,AFE,Madagascar,MDG,Health facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Madagascar,MDG,Health outcomes,50,50,0,50,0,30,0,100,0,50,0,30,30
2024,Eastern Africa,AFE,Madagascar,MDG,Reproductive health,100,50,0,50,0,40,0,100,50,100,0,50,45
2024,Eastern Africa,AFE,Madagascar,MDG,Food security and nutrition,100,50,0,100,-,62.5,0,100,0,100,0,40,50
2024,Eastern Africa,AFE,Madagascar,MDG,Gender statistics,50,0,0,50,0,20,0,100,50,100,0,50,35
2024,Eastern Africa,AFE,Madagascar,MDG,Crime and justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Madagascar,MDG,Poverty and income,50,0,0,50,0,20,0,100,50,50,0,40,30
2024,Eastern Africa,AFE,Madagascar,MDG,Social statistics subscore,55,30,5,50,0,28.6,20,80,20,55,0,35,31.8
2024,Eastern Africa,AFE,Madagascar,MDG,National accounts,50,50,50,0,-,37.5,50,100,50,50,0,50,44.4
2024,Eastern Africa,AFE,Madagascar,MDG,Labor,100,0,0,100,0,40,0,100,50,50,0,40,40
2024,Eastern Africa,AFE,Madagascar,MDG,Price indexes,50,50,50,0,-,37.5,100,100,50,50,0,60,50
2024,Eastern Africa,AFE,Madagascar,MDG,Government finance,100,50,50,0,-,50,0,100,0,50,0,30,38.9
2024,Eastern Africa,AFE,Madagascar,MDG,Money and banking,100,50,50,-,-,66.7,50,100,0,50,0,40,50
2024,Eastern Africa,AFE,Madagascar,MDG,International trade,50,50,0,-,-,33.3,50,100,0,50,0,40,37.5
2024,Eastern Africa,AFE,Madagascar,MDG,Balance of payments,100,50,50,-,-,66.7,0,100,50,50,0,40,50
2024,Eastern Africa,AFE,Madagascar,MDG,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Eastern Africa,AFE,Madagascar,MDG,Economic and financial statistics subscore,78.6,42.9,35.7,25,0,46.2,35.7,100,28.6,50,0,42.9,44.3
2024,Eastern Africa,AFE,Madagascar,MDG,Agriculture and land use,50,0,0,0,0,10,0,100,50,50,0,40,25
2024,Eastern Africa,AFE,Madagascar,MDG,Resource use,50,50,50,0,-,37.5,50,100,50,50,0,50,44.4
2024,Eastern Africa,AFE,Madagascar,MDG,Energy,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Madagascar,MDG,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Madagascar,MDG,Built environment,100,0,0,100,0,40,0,100,50,100,0,50,45
2024,Eastern Africa,AFE,Madagascar,MDG,Environment subscore,40,10,10,33.3,0,20,10,60,30,40,0,28,24.4
2024,Eastern Africa,AFE,Madagascar,MDG,All categories,57.9,27.6,16.9,38.8,0,31,21.9,80,26.2,48.3,0,35.3,33.3
2024,Eastern Africa,AFE,Malawi,MWI,Population and vital statistics,50,50,0,50,0,30,100,100,50,50,100,80,55
2024,Eastern Africa,AFE,Malawi,MWI,Education facilities,50,50,50,0,0,30,0,100,50,50,50,50,40
2024,Eastern Africa,AFE,Malawi,MWI,Education outcomes,50,50,50,0,0,30,0,100,50,50,50,50,40
2024,Eastern Africa,AFE,Malawi,MWI,Health facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Malawi,MWI,Health outcomes,50,50,50,50,50,50,0,100,50,50,50,50,50
2024,Eastern Africa,AFE,Malawi,MWI,Reproductive health,100,50,0,50,50,50,0,100,50,50,50,50,50
2024,Eastern Africa,AFE,Malawi,MWI,Food security and nutrition,100,50,0,100,-,62.5,0,100,0,50,50,40,50
2024,Eastern Africa,AFE,Malawi,MWI,Gender statistics,50,50,0,50,50,40,0,100,50,50,50,50,45
2024,Eastern Africa,AFE,Malawi,MWI,Crime and justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Malawi,MWI,Poverty and income,100,0,0,100,0,40,0,100,50,50,50,50,45
2024,Eastern Africa,AFE,Malawi,MWI,Social statistics subscore,55,35,15,40,16.7,32.6,10,80,35,40,45,42,37.4
2024,Eastern Africa,AFE,Malawi,MWI,National accounts,50,50,50,0,-,37.5,0,100,50,50,50,50,44.4
2024,Eastern Africa,AFE,Malawi,MWI,Labor,100,0,0,50,50,40,0,100,50,50,50,50,45
2024,Eastern Africa,AFE,Malawi,MWI,Price indexes,50,50,50,50,-,50,50,100,50,50,50,60,55.6
2024,Eastern Africa,AFE,Malawi,MWI,Government finance,100,50,100,0,-,62.5,0,100,50,50,50,50,55.6
2024,Eastern Africa,AFE,Malawi,MWI,Money and banking,50,50,50,-,-,50,0,100,50,50,50,50,50
2024,Eastern Africa,AFE,Malawi,MWI,International trade,50,50,50,-,-,50,0,100,50,50,50,50,50
2024,Eastern Africa,AFE,Malawi,MWI,Balance of payments,100,100,50,-,-,83.3,0,100,50,50,50,50,62.5
2024,Eastern Africa,AFE,Malawi,MWI,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Eastern Africa,AFE,Malawi,MWI,Economic and financial statistics subscore,71.4,50,50,25,50,51.9,7.1,100,50,50,50,51.4,51.6
2024,Eastern Africa,AFE,Malawi,MWI,Agriculture and land use,50,50,50,0,0,30,0,100,0,50,50,40,35
2024,Eastern Africa,AFE,Malawi,MWI,Resource use,50,0,50,0,-,25,0,100,50,50,50,50,38.9
2024,Eastern Africa,AFE,Malawi,MWI,Energy,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Malawi,MWI,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Malawi,MWI,Built environment,100,50,0,100,0,50,0,100,0,50,50,40,45
2024,Eastern Africa,AFE,Malawi,MWI,Environment subscore,40,20,20,33.3,0,25,0,60,10,30,30,26,25.6
2024,Eastern Africa,AFE,Malawi,MWI,All categories,55.5,35,28.3,34.2,15.3,35.9,5.7,80,31.7,40,41.7,39.8,38
2024,Eastern Africa,AFE,Mauritius,MUS,Population and vital statistics,100,100,100,50,0,70,100,100,50,50,50,70,70
2024,Eastern Africa,AFE,Mauritius,MUS,Education facilities,50,50,50,0,0,30,100,100,0,50,50,60,45
2024,Eastern Africa,AFE,Mauritius,MUS,Education outcomes,50,50,50,0,0,30,100,100,50,50,50,70,50
2024,Eastern Africa,AFE,Mauritius,MUS,Health facilities,100,50,50,0,0,40,50,100,50,50,50,60,50
2024,Eastern Africa,AFE,Mauritius,MUS,Health outcomes,50,50,50,0,0,30,0,100,50,50,0,40,35
2024,Eastern Africa,AFE,Mauritius,MUS,Reproductive health,100,50,50,0,0,40,50,100,50,50,50,60,50
2024,Eastern Africa,AFE,Mauritius,MUS,Food security and nutrition,50,50,0,0,-,25,0,100,50,50,0,40,33.3
2024,Eastern Africa,AFE,Mauritius,MUS,Gender statistics,50,50,50,0,0,30,100,50,50,50,50,60,45
2024,Eastern Africa,AFE,Mauritius,MUS,Crime and justice,50,50,50,0,0,30,100,50,0,50,50,50,40
2024,Eastern Africa,AFE,Mauritius,MUS,Poverty and income,100,0,0,0,0,20,0,100,50,50,50,50,35
2024,Eastern Africa,AFE,Mauritius,MUS,Social statistics subscore,70,50,45,5,0,34.7,60,90,40,50,40,56,45.5
2024,Eastern Africa,AFE,Mauritius,MUS,National accounts,50,50,50,0,-,37.5,100,100,50,100,50,80,61.1
2024,Eastern Africa,AFE,Mauritius,MUS,Labor,100,100,100,0,0,60,100,50,50,50,50,60,60
2024,Eastern Africa,AFE,Mauritius,MUS,Price indexes,100,100,100,0,-,75,100,100,50,50,50,70,72.2
2024,Eastern Africa,AFE,Mauritius,MUS,Government finance,100,100,100,0,-,75,100,0,50,50,50,50,61.1
2024,Eastern Africa,AFE,Mauritius,MUS,Money and banking,100,50,50,-,-,66.7,50,100,50,50,50,60,62.5
2024,Eastern Africa,AFE,Mauritius,MUS,International trade,100,100,100,-,-,100,100,100,50,50,50,70,81.2
2024,Eastern Africa,AFE,Mauritius,MUS,Balance of payments,100,50,100,-,-,83.3,100,100,50,50,50,70,75
2024,Eastern Africa,AFE,Mauritius,MUS,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Eastern Africa,AFE,Mauritius,MUS,Economic and financial statistics subscore,92.9,78.6,85.7,0,0,69.2,92.9,78.6,50,57.1,50,65.7,67.2
2024,Eastern Africa,AFE,Mauritius,MUS,Agriculture and land use,100,50,50,50,0,50,100,50,50,50,50,60,55
2024,Eastern Africa,AFE,Mauritius,MUS,Resource use,100,100,100,0,-,75,100,100,50,50,50,70,72.2
2024,Eastern Africa,AFE,Mauritius,MUS,Energy,100,100,100,-,-,100,100,0,50,50,50,50,68.8
2024,Eastern Africa,AFE,Mauritius,MUS,Pollution,100,50,50,-,-,66.7,100,100,50,50,50,70,68.8
2024,Eastern Africa,AFE,Mauritius,MUS,Built environment,100,50,0,100,100,70,100,100,50,50,50,70,70
2024,Eastern Africa,AFE,Mauritius,MUS,Environment subscore,100,70,60,50,50,70,100,70,50,50,50,64,66.7
2024,Eastern Africa,AFE,Mauritius,MUS,All categories,87.6,66.2,63.6,16.1,13.9,56.1,84.3,79.5,46.7,52.4,46.7,61.9,59.2
2024,Eastern Africa,AFE,Mozambique,MOZ,Population and vital statistics,100,100,50,50,0,60,50,100,50,50,50,60,60
2024,Eastern Africa,AFE,Mozambique,MOZ,Education facilities,50,50,50,50,0,40,50,100,50,50,50,60,50
2024,Eastern Africa,AFE,Mozambique,MOZ,Education outcomes,50,50,50,50,50,50,100,100,100,50,100,90,70
2024,Eastern Africa,AFE,Mozambique,MOZ,Health facilities,100,100,50,50,0,60,50,100,50,50,50,60,60
2024,Eastern Africa,AFE,Mozambique,MOZ,Health outcomes,50,50,50,0,0,30,100,100,100,50,100,90,60
2024,Eastern Africa,AFE,Mozambique,MOZ,Reproductive health,100,50,50,100,0,60,50,50,50,50,0,40,50
2024,Eastern Africa,AFE,Mozambique,MOZ,Food security and nutrition,100,50,0,0,-,37.5,0,100,50,100,0,50,44.4
2024,Eastern Africa,AFE,Mozambique,MOZ,Gender statistics,100,50,50,50,0,50,0,100,50,50,0,40,45
2024,Eastern Africa,AFE,Mozambique,MOZ,Crime and justice,50,50,50,50,0,40,0,100,0,50,0,30,35
2024,Eastern Africa,AFE,Mozambique,MOZ,Poverty and income,50,0,0,50,0,20,0,100,50,50,0,40,30
2024,Eastern Africa,AFE,Mozambique,MOZ,Social statistics subscore,75,55,40,45,5.6,44.9,40,95,55,55,35,56,50.5
2024,Eastern Africa,AFE,Mozambique,MOZ,National accounts,50,50,50,0,-,37.5,100,0,50,50,0,40,38.9
2024,Eastern Africa,AFE,Mozambique,MOZ,Labor,100,50,0,100,0,50,0,100,0,50,0,30,40
2024,Eastern Africa,AFE,Mozambique,MOZ,Price indexes,50,50,50,50,-,50,100,100,50,50,50,70,61.1
