FREQ,REF_AREA,INDICATOR,UNIT_MULT,TIME_FORMAT,TIME_PERIOD,OBS_VALUE
Q,AM,NGDP_XDC,6,P3M,2017-Q1,971041
Q,AM,NGDP_XDC,6,P3M,2017-Q2,1212700.8
Q,AM,NGDP_XDC,6,P3M,2017-Q3,1587405.4
Q,AM,NGDP_XDC,6,P3M,2017-Q4,1793346.1
Q,AM,NGDP_XDC,6,P3M,2018-Q1,1116167.2
Q,AM,NGDP_XDC,6,P3M,2018-Q2,1360822.7
Q,AM,NGDP_XDC,6,P3M,2018-Q3,1682865.4
Q,AM,NGDP_XDC,6,P3M,2018-Q4,1845202.8
Q,AM,NGDP_XDC,6,P3M,2019-Q1,1245303.2
Q,AM,NGDP_XDC,6,P3M,2019-Q2,1487174.8
Q,AM,NGDP_XDC,6,P3M,2019-Q3,1827853.9
Q,AM,NGDP_XDC,6,P3M,2019-Q4,1991517.8
Q,BE,NGDP_XDC,6,P3M,2009-Q1,83524
Q,BE,NGDP_XDC,6,P3M,2009-Q2,86426
Q,BE,NGDP_XDC,6,P3M,2009-Q3,84648
Q,BE,NGDP_XDC,6,P3M,2009-Q4,91875
Q,BE,NGDP_XDC,6,P3M,2010-Q1,86559
Q,BE,NGDP_XDC,6,P3M,2010-Q2,91498
Q,BE,NGDP_XDC,6,P3M,2010-Q3,88635
Q,BE,NGDP_XDC,6,P3M,2010-Q4,96448
Q,BE,NGDP_XDC,6,P3M,2011-Q1,90847
Q,BE,NGDP_XDC,6,P3M,2011-Q2,94533
Q,BE,NGDP_XDC,6,P3M,2011-Q3,91288
Q,BE,NGDP_XDC,6,P3M,2011-Q4,99300
Q,BE,NGDP_XDC,6,P3M,2012-Q1,93770
Q,BE,NGDP_XDC,6,P3M,2012-Q2,97361
Q,BE,NGDP_XDC,6,P3M,2012-Q3,93638
Q,BE,NGDP_XDC,6,P3M,2012-Q4,101406
Q,BE,NGDP_XDC,6,P3M,2013-Q1,94778
Q,BE,NGDP_XDC,6,P3M,2013-Q2,99134
Q,BE,NGDP_XDC,6,P3M,2013-Q3,95256
Q,BE,NGDP_XDC,6,P3M,2013-Q4,103712
Q,BE,NGDP_XDC,6,P3M,2014-Q1,97159
Q,BE,NGDP_XDC,6,P3M,2014-Q2,100995
Q,BE,NGDP_XDC,6,P3M,2014-Q3,98215
Q,BE,NGDP_XDC,6,P3M,2014-Q4,106635
Q,BE,NGDP_XDC,6,P3M,2015-Q1,100109
Q,BE,NGDP_XDC,6,P3M,2015-Q2,104882
Q,BE,NGDP_XDC,6,P3M,2015-Q3,101419
Q,BE,NGDP_XDC,6,P3M,2015-Q4,110292
Q,BE,NGDP_XDC,6,P3M,2016-Q1,102346
Q,BE,NGDP_XDC,6,P3M,2016-Q2,108946
Q,BE,NGDP_XDC,6,P3M,2016-Q3,104775
Q,BE,NGDP_XDC,6,P3M,2016-Q4,114164
Q,BE,NGDP_XDC,6,P3M,2017-Q1,107411
Q,BE,NGDP_XDC,6,P3M,2017-Q2,112629
Q,BE,NGDP_XDC,6,P3M,2017-Q3,107836
Q,BE,NGDP_XDC,6,P3M,2017-Q4,118081
Q,BE,NGDP_XDC,6,P3M,2018-Q1,110159
Q,BE,NGDP_XDC,6,P3M,2018-Q2,115940
Q,BE,NGDP_XDC,6,P3M,2018-Q3,110936
Q,BE,NGDP_XDC,6,P3M,2018-Q4,122496
Q,BE,NGDP_XDC,6,P3M,2019-Q1,113551
Q,BE,NGDP_XDC,6,P3M,2019-Q2,119225
Q,BE,NGDP_XDC,6,P3M,2019-Q3,114424
Q,BE,NGDP_XDC,6,P3M,2019-Q4,125885
Q,MO,NGDP_XDC,6,P3M,2009-Q1,40110
Q,MO,NGDP_XDC,6,P3M,2009-Q2,38943
Q,MO,NGDP_XDC,6,P3M,2009-Q3,42734
Q,MO,NGDP_XDC,6,P3M,2009-Q4,49680
Q,MO,NGDP_XDC,6,P3M,2010-Q1,48653
Q,MO,NGDP_XDC,6,P3M,2010-Q2,53391
Q,MO,NGDP_XDC,6,P3M,2010-Q3,56870
Q,MO,NGDP_XDC,6,P3M,2010-Q4,66138
Q,MO,NGDP_XDC,6,P3M,2011-Q1,62729
Q,MO,NGDP_XDC,6,P3M,2011-Q2,71264
Q,MO,NGDP_XDC,6,P3M,2011-Q3,75867
Q,MO,NGDP_XDC,6,P3M,2011-Q4,84487
Q,MO,NGDP_XDC,6,P3M,2012-Q1,79219
Q,MO,NGDP_XDC,6,P3M,2012-Q2,82728
Q,MO,NGDP_XDC,6,P3M,2012-Q3,85297
Q,MO,NGDP_XDC,6,P3M,2012-Q4,96574
Q,MO,NGDP_XDC,6,P3M,2013-Q1,94508
Q,MO,NGDP_XDC,6,P3M,2013-Q2,97063
Q,MO,NGDP_XDC,6,P3M,2013-Q3,101895
Q,MO,NGDP_XDC,6,P3M,2013-Q4,118399
Q,MO,NGDP_XDC,6,P3M,2014-Q1,115196
Q,MO,NGDP_XDC,6,P3M,2014-Q2,112519
Q,MO,NGDP_XDC,6,P3M,2014-Q3,106976
Q,MO,NGDP_XDC,6,P3M,2014-Q4,107379
Q,MO,NGDP_XDC,6,P3M,2015-Q1,94215
Q,MO,NGDP_XDC,6,P3M,2015-Q2,88973
Q,MO,NGDP_XDC,6,P3M,2015-Q3,86994
Q,MO,NGDP_XDC,6,P3M,2015-Q4,92032
Q,MO,NGDP_XDC,6,P3M,2016-Q1,85515
Q,MO,NGDP_XDC,6,P3M,2016-Q2,84180
Q,MO,NGDP_XDC,6,P3M,2016-Q3,91455
Q,MO,NGDP_XDC,6,P3M,2016-Q4,101418
Q,MO,NGDP_XDC,6,P3M,2017-Q1,96004
Q,MO,NGDP_XDC,6,P3M,2017-Q2,96673
Q,MO,NGDP_XDC,6,P3M,2017-Q3,101438
Q,MO,NGDP_XDC,6,P3M,2017-Q4,113214
Q,MO,NGDP_XDC,6,P3M,2018-Q1,108939
Q,MO,NGDP_XDC,6,P3M,2018-Q2,107048
Q,MO,NGDP_XDC,6,P3M,2018-Q3,108143
Q,MO,NGDP_XDC,6,P3M,2018-Q4,120536
Q,MO,NGDP_XDC,6,P3M,2019-Q1,108184
Q,MO,NGDP_XDC,6,P3M,2019-Q2,107123
Q,MO,NGDP_XDC,6,P3M,2019-Q3,105766
Q,AZ,NGDP_XDC,6,P3M,2009-Q1,6964.8
Q,AZ,NGDP_XDC,6,P3M,2009-Q2,8431.6
Q,AZ,NGDP_XDC,6,P3M,2009-Q3,9922.3
Q,AZ,NGDP_XDC,6,P3M,2009-Q4,10282.8
Q,AZ,NGDP_XDC,6,P3M,2010-Q1,9629.5
Q,AZ,NGDP_XDC,6,P3M,2010-Q2,10771.8
Q,AZ,NGDP_XDC,6,P3M,2010-Q3,10672.2
Q,AZ,NGDP_XDC,6,P3M,2010-Q4,11391.5
Q,AZ,NGDP_XDC,6,P3M,2011-Q1,10751.8
Q,AZ,NGDP_XDC,6,P3M,2011-Q2,12326.1
Q,AZ,NGDP_XDC,6,P3M,2011-Q3,12721.1
Q,AZ,NGDP_XDC,6,P3M,2011-Q4,16283
Q,AZ,NGDP_XDC,6,P3M,2012-Q1,12964.6
Q,AZ,NGDP_XDC,6,P3M,2012-Q2,13090.3
Q,AZ,NGDP_XDC,6,P3M,2012-Q3,14235.1
Q,AZ,NGDP_XDC,6,P3M,2012-Q4,14453.7
Q,AZ,NGDP_XDC,6,P3M,2013-Q1,12917.5
Q,AZ,NGDP_XDC,6,P3M,2013-Q2,13919.2
Q,AZ,NGDP_XDC,6,P3M,2013-Q3,15466
Q,AZ,NGDP_XDC,6,P3M,2013-Q4,15879.3
Q,AZ,NGDP_XDC,6,P3M,2014-Q1,13143.1
Q,AZ,NGDP_XDC,6,P3M,2014-Q2,15317.4
Q,AZ,NGDP_XDC,6,P3M,2014-Q3,15886.9
Q,AZ,NGDP_XDC,6,P3M,2014-Q4,14666.7
Q,AZ,NGDP_XDC,6,P3M,2015-Q1,11604.3
Q,AZ,NGDP_XDC,6,P3M,2015-Q2,14170.4
Q,AZ,NGDP_XDC,6,P3M,2015-Q3,14096
Q,AZ,NGDP_XDC,6,P3M,2015-Q4,14509.3
Q,AZ,NGDP_XDC,6,P3M,2016-Q1,12510
Q,AZ,NGDP_XDC,6,P3M,2016-Q2,15161.6
Q,AZ,NGDP_XDC,6,P3M,2016-Q3,15970.5
Q,AZ,NGDP_XDC,6,P3M,2016-Q4,16751.5
Q,HK,NGDP_XDC,6,P3M,2009-Q1,389033
Q,HK,NGDP_XDC,6,P3M,2009-Q2,396706
Q,HK,NGDP_XDC,6,P3M,2009-Q3,421283
Q,HK,NGDP_XDC,6,P3M,2009-Q4,452223
Q,HK,NGDP_XDC,6,P3M,2010-Q1,422783
Q,HK,NGDP_XDC,6,P3M,2010-Q2,412768
Q,HK,NGDP_XDC,6,P3M,2010-Q3,456830
Q,HK,NGDP_XDC,6,P3M,2010-Q4,483951
Q,HK,NGDP_XDC,6,P3M,2011-Q1,463467
Q,HK,NGDP_XDC,6,P3M,2011-Q2,456607
Q,HK,NGDP_XDC,6,P3M,2011-Q3,495500
Q,HK,NGDP_XDC,6,P3M,2011-Q4,518856
Q,HK,NGDP_XDC,6,P3M,2012-Q1,483654
Q,HK,NGDP_XDC,6,P3M,2012-Q2,473958
Q,HK,NGDP_XDC,6,P3M,2012-Q3,523740
Q,HK,NGDP_XDC,6,P3M,2012-Q4,555707
Q,HK,NGDP_XDC,6,P3M,2013-Q1,509631
Q,HK,NGDP_XDC,6,P3M,2013-Q2,492375
Q,HK,NGDP_XDC,6,P3M,2013-Q3,551059
Q,HK,NGDP_XDC,6,P3M,2013-Q4,585240
Q,HK,NGDP_XDC,6,P3M,2014-Q1,535907
Q,HK,NGDP_XDC,6,P3M,2014-Q2,526194
Q,HK,NGDP_XDC,6,P3M,2014-Q3,580793
Q,HK,NGDP_XDC,6,P3M,2014-Q4,617111
Q,HK,NGDP_XDC,6,P3M,2015-Q1,572160
Q,HK,NGDP_XDC,6,P3M,2015-Q2,565750
Q,HK,NGDP_XDC,6,P3M,2015-Q3,614251
Q,HK,NGDP_XDC,6,P3M,2015-Q4,646119
Q,HK,NGDP_XDC,6,P3M,2016-Q1,590556
Q,HK,NGDP_XDC,6,P3M,2016-Q2,585135
Q,HK,NGDP_XDC,6,P3M,2016-Q3,636333
Q,HK,NGDP_XDC,6,P3M,2016-Q4,678414
Q,HK,NGDP_XDC,6,P3M,2017-Q1,631418
Q,HK,NGDP_XDC,6,P3M,2017-Q2,628277
Q,HK,NGDP_XDC,6,P3M,2017-Q3,679352
Q,HK,NGDP_XDC,6,P3M,2017-Q4,720337
Q,HK,NGDP_XDC,6,P3M,2018-Q1,684555
Q,HK,NGDP_XDC,6,P3M,2018-Q2,673777
Q,HK,NGDP_XDC,6,P3M,2018-Q3,723248
Q,HK,NGDP_XDC,6,P3M,2018-Q4,753551
Q,HK,NGDP_XDC,6,P3M,2019-Q1,708442
Q,HK,NGDP_XDC,6,P3M,2019-Q2,695852
Q,HK,NGDP_XDC,6,P3M,2019-Q3,719521
Q,HK,NGDP_XDC,6,P3M,2019-Q4,744356
Q,BH,NGDP_XDC,6,P3M,2011-Q1,2586.81665096676
Q,BH,NGDP_XDC,6,P3M,2011-Q2,2713.93852318593
Q,BH,NGDP_XDC,6,P3M,2011-Q3,2739.22696734832
Q,BH,NGDP_XDC,6,P3M,2011-Q4,2780.00638339481
Q,BH,NGDP_XDC,6,P3M,2012-Q1,2886.61080466361
Q,BH,NGDP_XDC,6,P3M,2012-Q2,2803.98219156273
Q,BH,NGDP_XDC,6,P3M,2012-Q3,2898.03512366263
Q,BH,NGDP_XDC,6,P3M,2012-Q4,2973.11153370887
Q,BH,NGDP_XDC,6,P3M,2013-Q1,3013.37288263159
Q,BH,NGDP_XDC,6,P3M,2013-Q2,2972.20011329063
Q,BH,NGDP_XDC,6,P3M,2013-Q3,3102.76496262359
Q,BH,NGDP_XDC,6,P3M,2013-Q4,3146.49949315247
Q,BH,NGDP_XDC,6,P3M,2014-Q1,3047.035
Q,BH,NGDP_XDC,6,P3M,2014-Q2,3172.765
Q,BH,NGDP_XDC,6,P3M,2014-Q3,3236.6825
Q,BH,NGDP_XDC,6,P3M,2014-Q4,3097.2877085272
Q,BH,NGDP_XDC,6,P3M,2015-Q1,2860.83404503127
Q,BH,NGDP_XDC,6,P3M,2015-Q2,3002.9266237589
Q,BH,NGDP_XDC,6,P3M,2015-Q3,2962.78604455149
Q,BH,NGDP_XDC,6,P3M,2015-Q4,2876.75600782303
Q,BH,NGDP_XDC,6,P3M,2016-Q1,2852.35789432476
Q,BH,NGDP_XDC,6,P3M,2016-Q2,2998.27425064931
Q,BH,NGDP_XDC,6,P3M,2016-Q3,3066.97518965634
Q,BH,NGDP_XDC,6,P3M,2016-Q4,3061.15499116641
Q,AU,NGDP_XDC,6,P3M,2009-Q1,302558
Q,AU,NGDP_XDC,6,P3M,2009-Q2,311542
Q,AU,NGDP_XDC,6,P3M,2009-Q3,313504
Q,AU,NGDP_XDC,6,P3M,2009-Q4,334032
Q,AU,NGDP_XDC,6,P3M,2010-Q1,314013
Q,AU,NGDP_XDC,6,P3M,2010-Q2,339662
Q,AU,NGDP_XDC,6,P3M,2010-Q3,344661
Q,AU,NGDP_XDC,6,P3M,2010-Q4,364790
Q,AU,NGDP_XDC,6,P3M,2011-Q1,340886
Q,AU,NGDP_XDC,6,P3M,2011-Q2,366285
Q,AU,NGDP_XDC,6,P3M,2011-Q3,372438
Q,AU,NGDP_XDC,6,P3M,2011-Q4,387952
Q,AU,NGDP_XDC,6,P3M,2012-Q1,358171
Q,AU,NGDP_XDC,6,P3M,2012-Q2,380897
Q,AU,NGDP_XDC,6,P3M,2012-Q3,379771
Q,AU,NGDP_XDC,6,P3M,2012-Q4,396407
Q,AU,NGDP_XDC,6,P3M,2013-Q1,369422
Q,AU,NGDP_XDC,6,P3M,2013-Q2,390707
Q,AU,NGDP_XDC,6,P3M,2013-Q3,392506
Q,AU,NGDP_XDC,6,P3M,2013-Q4,415620
Q,AU,NGDP_XDC,6,P3M,2014-Q1,386766
Q,AU,NGDP_XDC,6,P3M,2014-Q2,403637
Q,AU,NGDP_XDC,6,P3M,2014-Q3,402050
Q,AU,NGDP_XDC,6,P3M,2014-Q4,421518
Q,AU,NGDP_XDC,6,P3M,2015-Q1,392269
Q,AU,NGDP_XDC,6,P3M,2015-Q2,408765
Q,AU,NGDP_XDC,6,P3M,2015-Q3,411315
Q,AU,NGDP_XDC,6,P3M,2015-Q4,428085
Q,AU,NGDP_XDC,6,P3M,2016-Q1,398628
Q,AU,NGDP_XDC,6,P3M,2016-Q2,422686
Q,AU,NGDP_XDC,6,P3M,2016-Q3,424755
Q,AU,NGDP_XDC,6,P3M,2016-Q4,457419
Q,AU,NGDP_XDC,6,P3M,2017-Q1,430989
Q,AU,NGDP_XDC,6,P3M,2017-Q2,450463
Q,AU,NGDP_XDC,6,P3M,2017-Q3,453095
Q,AU,NGDP_XDC,6,P3M,2017-Q4,473972
Q,AU,NGDP_XDC,6,P3M,2018-Q1,448304
Q,AU,NGDP_XDC,6,P3M,2018-Q2,474510
Q,AU,NGDP_XDC,6,P3M,2018-Q3,476946
Q,AU,NGDP_XDC,6,P3M,2018-Q4,500448
Q,AU,NGDP_XDC,6,P3M,2019-Q1,471065
Q,AU,NGDP_XDC,6,P3M,2019-Q2,499996
Q,AU,NGDP_XDC,6,P3M,2019-Q3,503233
Q,AU,NGDP_XDC,6,P3M,2019-Q4,520580
Q,BW,NGDP_XDC,6,P3M,2009-Q1,16596
Q,BW,NGDP_XDC,6,P3M,2009-Q2,18731.6
Q,BW,NGDP_XDC,6,P3M,2009-Q3,18472
Q,BW,NGDP_XDC,6,P3M,2009-Q4,19662.8
Q,BW,NGDP_XDC,6,P3M,2010-Q1,19617.6
Q,BW,NGDP_XDC,6,P3M,2010-Q2,20914.5
Q,BW,NGDP_XDC,6,P3M,2010-Q3,23106.9
Q,BW,NGDP_XDC,6,P3M,2010-Q4,23228.4
Q,BW,NGDP_XDC,6,P3M,2011-Q1,24480
Q,BW,NGDP_XDC,6,P3M,2011-Q2,26640.7
Q,BW,NGDP_XDC,6,P3M,2011-Q3,27181.7
Q,BW,NGDP_XDC,6,P3M,2011-Q4,28940.6
Q,BW,NGDP_XDC,6,P3M,2012-Q1,26947.3
Q,BW,NGDP_XDC,6,P3M,2012-Q2,28531.9
Q,BW,NGDP_XDC,6,P3M,2012-Q3,27985.7
Q,BW,NGDP_XDC,6,P3M,2012-Q4,29239.8
Q,BW,NGDP_XDC,6,P3M,2013-Q1,28429.3
Q,BW,NGDP_XDC,6,P3M,2013-Q2,32466
Q,BW,NGDP_XDC,6,P3M,2013-Q3,31665.6
Q,BW,NGDP_XDC,6,P3M,2013-Q4,32597.5
Q,BW,NGDP_XDC,6,P3M,2014-Q1,34491.5
Q,BW,NGDP_XDC,6,P3M,2014-Q2,37703.6
Q,BW,NGDP_XDC,6,P3M,2014-Q3,36156.2
Q,BW,NGDP_XDC,6,P3M,2014-Q4,37517.1
Q,BW,NGDP_XDC,6,P3M,2015-Q1,36649.7
Q,BW,NGDP_XDC,6,P3M,2015-Q2,37398.9
Q,BW,NGDP_XDC,6,P3M,2015-Q3,24394.4903106689
Q,BW,NGDP_XDC,6,P3M,2015-Q4,25087.8370269775
Q,BW,NGDP_XDC,6,P3M,2016-Q1,23571.7672119141
Q,BW,NGDP_XDC,6,P3M,2016-Q2,23702.5650062561
Q,BW,NGDP_XDC,6,P3M,2016-Q3,21692.6964569092
Q,BW,NGDP_XDC,6,P3M,2016-Q4,23936.7987060547
Q,BW,NGDP_XDC,6,P3M,2017-Q1,20331.2859692574
Q,BW,NGDP_XDC,6,P3M,2017-Q2,22479.7359924316
Q,BW,NGDP_XDC,6,P3M,2017-Q3,21902.2973556519
Q,BW,NGDP_XDC,6,P3M,2017-Q4,21902.2973556519
Q,BG,NGDP_XDC,6,P3M,2009-Q1,15548.626
Q,BG,NGDP_XDC,6,P3M,2009-Q2,18308.007
Q,BG,NGDP_XDC,6,P3M,2009-Q3,19687.376
Q,BG,NGDP_XDC,6,P3M,2009-Q4,19603.239
Q,BG,NGDP_XDC,6,P3M,2010-Q1,14999.794
Q,BG,NGDP_XDC,6,P3M,2010-Q2,18001.773
Q,BG,NGDP_XDC,6,P3M,2010-Q3,20220.399
Q,BG,NGDP_XDC,6,P3M,2010-Q4,21184.747
Q,BG,NGDP_XDC,6,P3M,2011-Q1,17278.524
Q,BG,NGDP_XDC,6,P3M,2011-Q2,20242.316
Q,BG,NGDP_XDC,6,P3M,2011-Q3,22203.308
Q,BG,NGDP_XDC,6,P3M,2011-Q4,20957.77
Q,BG,NGDP_XDC,6,P3M,2012-Q1,16978.076
Q,BG,NGDP_XDC,6,P3M,2012-Q2,20240.706
Q,BG,NGDP_XDC,6,P3M,2012-Q3,22563.449
Q,BG,NGDP_XDC,6,P3M,2012-Q4,22426.791
Q,BG,NGDP_XDC,6,P3M,2013-Q1,17247.007
Q,BG,NGDP_XDC,6,P3M,2013-Q2,19914.979
Q,BG,NGDP_XDC,6,P3M,2013-Q3,21976.004
Q,BG,NGDP_XDC,6,P3M,2013-Q4,22781.404
Q,BG,NGDP_XDC,6,P3M,2014-Q1,16871.277
Q,BG,NGDP_XDC,6,P3M,2014-Q2,20141.271
Q,BG,NGDP_XDC,6,P3M,2014-Q3,23280.96
Q,BG,NGDP_XDC,6,P3M,2014-Q4,23563.665
Q,BG,NGDP_XDC,6,P3M,2015-Q1,18238.709
Q,BG,NGDP_XDC,6,P3M,2015-Q2,22112.204
Q,BG,NGDP_XDC,6,P3M,2015-Q3,24065.507
Q,BG,NGDP_XDC,6,P3M,2015-Q4,24916.394
Q,BG,NGDP_XDC,6,P3M,2016-Q1,19622.267
Q,BG,NGDP_XDC,6,P3M,2016-Q2,22927.427
Q,BG,NGDP_XDC,6,P3M,2016-Q3,25820.445
