country,year,document,language,name,SDG,freq_of_terms,freq_of_numbers
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 3,7,0.42857142857142855
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 4,99,0.43434343434343436
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 6,2,1
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 8,14,0.5
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 9,37,0.4594594594594595
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 1,56,0.5714285714285714
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 10,20,0.7
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 11,10,0.9
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 13,36,0.7777777777777778
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 16,28,0.35714285714285715
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 17,29,0.4827586206896552
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 2,9,0.6666666666666666
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 3,116,0.7413793103448276
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 4,69,0.5942028985507246
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 5,28,0.7857142857142857
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 6,4,0.5
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 8,69,0.6956521739130435
Argentina,2017,VNR_Argentina2017.pdf,es,VNR_Argentina2017.pdf,SDG 9,177,0.6101694915254238
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 1,103,0.5339805825242718
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 10,27,0.6296296296296297
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 11,30,0.43333333333333335
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 12,2,1
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 13,48,0.375
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 16,125,0.232
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 17,101,0.43564356435643564
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 2,17,0.7058823529411765
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 3,155,0.4064516129032258
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 4,136,0.47058823529411764
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 5,67,0.43283582089552236
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 6,20,0.5
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 7,5,0.2
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 8,124,0.47580645161290325
Argentina,2020,VNR_Argentina2020.pdf,es,VNR_Argentina2020.pdf,SDG 9,357,0.3585434173669468
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 1,52,0.5576923076923077
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 10,4,0.75
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 11,9,0.7777777777777778
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 12,2,1
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 13,48,0.6041666666666666
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 15,2,0.5
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 16,28,0.35714285714285715
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 17,29,0.3793103448275862
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 2,8,0.5
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 3,61,0.6721311475409836
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 4,42,0.35714285714285715
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 5,27,0.5555555555555556
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 6,15,0.8666666666666667
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 7,2,0.5
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 8,39,0.7435897435897436
Armenia,2018,VNR_Armenia2018.pdf,en,VNR_Armenia2018.pdf,SDG 9,65,0.4
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 1,24,0.7083333333333334
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 10,1,1
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 11,1,1
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 12,2,0.5
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 13,28,0.4642857142857143
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 15,3,0.6666666666666666
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 16,36,0.6111111111111112
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 17,23,0.6956521739130435
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 2,3,0
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 3,19,0.5789473684210527
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 4,48,0.5833333333333334
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 5,18,0.7777777777777778
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 6,7,0.5714285714285714
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 7,1,0
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 8,18,0.6666666666666666
Armenia,2020,VNR_Armenia2020.pdf,en,VNR_Armenia2020.pdf,SDG 9,71,0.5915492957746479
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 1,39,0.4358974358974359
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 10,3,0.3333333333333333
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 11,17,0.29411764705882354
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 12,4,0.25
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 13,74,0.21621621621621623
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 14,2,0
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 15,4,0.25
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 16,52,0.2692307692307692
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 17,56,0.30357142857142855
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 2,7,0.42857142857142855
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 3,78,0.2564102564102564
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 4,69,0.36231884057971014
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 5,31,0.4838709677419355
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 6,5,0.4
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 7,2,1
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 8,51,0.37254901960784315
Australia,2018,VNR_Australia2018.pdf,en,VNR_Australia2018.pdf,SDG 9,133,0.39849624060150374
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 1,59,0.4745762711864407
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 11,13,0.46153846153846156
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 12,1,0
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 13,88,0.42045454545454547
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 15,5,1
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 16,42,0.35714285714285715
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 17,18,0.2777777777777778
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 2,11,0.36363636363636365
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 3,96,0.2916666666666667
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 4,93,0.45161290322580644
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 5,57,0.3684210526315789
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 6,18,0.7777777777777778
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 7,1,1
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 8,47,0.6595744680851063
Austria,2020,VNR_Austria2020.pdf,en,VNR_Austria2020.pdf,SDG 9,88,0.23863636363636365
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 1,34,0.5882352941176471
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 10,2,0.5
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 11,5,1
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 13,34,0.4411764705882353
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 15,3,0.6666666666666666
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 16,25,0.36
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 17,29,0.6896551724137931
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 2,3,0.3333333333333333
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 3,80,0.7375
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 4,29,0.5517241379310345
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 5,31,0.7096774193548387
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 6,4,0.5
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 8,42,0.6904761904761905
Azerbaijan,2017,VNR_Azerbaijan2017.pdf,en,VNR_Azerbaijan2017.pdf,SDG 9,70,0.6285714285714286
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 1,18,0.7222222222222222
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 10,1,0
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 11,9,0.4444444444444444
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 12,2,0.5
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 13,40,0.45
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 16,44,0.6590909090909091
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 17,32,0.59375
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 2,2,0.5
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 3,10,0.8
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 4,112,0.7857142857142857
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 5,19,0.5789473684210527
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 6,3,1
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 7,2,0.5
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 8,38,0.7368421052631579
Azerbaijan,2019,VNR_Azerbaijan2019.pdf,en,VNR_Azerbaijan2019.pdf,SDG 9,112,0.5892857142857143
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 1,46,0.6739130434782609
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 10,2,0
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 11,5,0.4
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 12,5,0.6
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 13,83,0.5662650602409639
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 14,8,1
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 15,2,0
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 16,39,0.41025641025641024
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 17,55,0.4909090909090909
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 2,7,0.5714285714285714
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 3,63,0.49206349206349204
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 4,93,0.6236559139784946
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 5,22,0.5
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 6,4,0.5
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 8,73,0.6027397260273972
"Bahamas, The",2018,"VNR_Bahamas, The2018.pdf",en,"VNR_Bahamas, The2018.pdf",SDG 9,129,0.4108527131782946
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 1,25,0.52
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 10,4,0.75
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 11,17,0.35294117647058826
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 12,11,0.2727272727272727
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 13,77,0.33766233766233766
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 14,2,0.5
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 15,5,0.4
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 16,35,0.3142857142857143
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 17,17,0.5294117647058824
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 2,5,0.6
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 3,55,0.5454545454545454
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 4,77,0.4155844155844156
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 5,12,0.5
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 6,12,0.75
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 8,18,0.5555555555555556
Bahrain,2018,VNR_Bahrain2018.pdf,en,VNR_Bahrain2018.pdf,SDG 9,120,0.4
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 1,52,0.3269230769230769
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 10,5,0.2
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 11,6,0.16666666666666666
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 13,26,0.2692307692307692
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 14,2,0.5
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 15,1,1
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 16,5,0.2
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 17,32,0.4375
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 2,18,0.6111111111111112
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 3,68,0.5
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 4,19,0.3157894736842105
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 5,14,0.7857142857142857
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 6,5,0.8
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 7,1,1
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 8,38,0.5526315789473685
Bangladesh,2017,VNR_Bangladesh2017.pdf,en,VNR_Bangladesh2017.pdf,SDG 9,76,0.40789473684210525
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 1,131,0.3893129770992366
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 10,19,0.47368421052631576
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 11,21,0.38095238095238093
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 12,7,0.42857142857142855
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 13,92,0.391304347826087
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 14,5,0.8
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 15,9,0.5555555555555556
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 16,75,0.37333333333333335
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 17,91,0.4175824175824176
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 2,36,0.6111111111111112
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 3,174,0.41379310344827586
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 4,185,0.4
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 5,56,0.5178571428571429
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 6,40,0.575
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 7,3,0.6666666666666666
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 8,167,0.49101796407185627
Bangladesh,2020,VNR_Bangladesh2020.pdf,en,VNR_Bangladesh2020.pdf,SDG 9,278,0.4460431654676259
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 1,1,0
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 12,1,1
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 17,12,0.4166666666666667
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 3,26,0.34615384615384615
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 4,13,0.46153846153846156
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 5,109,0.3486238532110092
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 6,2,0.5
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 8,3,0.6666666666666666
Belarus,2017,VNR_Belarus2017.pdf,ru,VNR_Belarus2017.pdf,SDG 9,8,0.125
Belgium,2017,VNR_Belgium2017.pdf,en,VNR_Belgium2017.pdf,SDG 1,65,0.6923076923076923
Belgium,2017,VNR_Belgium2017.pdf,en,VNR_Belgium2017.pdf,SDG 10,15,0.6666666666666666
Belgium,2017,VNR_Belgium2017.pdf,en,VNR_Belgium2017.pdf,SDG 11,8,0.5
