"country","indicator_date","nada_dates","nada_title"
"Honduras",2017,"2017","Good Growth Plan, 2014-2017"
"Hungary",2019,"2019","Good Growth Plan, 2014-2019"
"India",2019,"2019","Good Growth Plan, 2014-2019"
"Indonesia",2019,"2019","Good Growth Plan, 2014-2019"
"Italy",2019,"2019","Good Growth Plan, 2014-2019"
"Japan",2019,"2019","Good Growth Plan, 2014-2019"
"Jordan",2015,"2015","Good Growth Plan, 2014-2015"
"Kenya",2019,"2019","Good Growth Plan, 2014-2019"
"Latvia",2003,"2003, 2005, 2007","Farm Structure Survey 2003; Farm Structure Survey 2005; Farm Structure Survey 2007"
"Latvia",2005,"2003, 2005, 2007","Farm Structure Survey 2003; Farm Structure Survey 2005; Farm Structure Survey 2007"
"Latvia",2007,"2003, 2005, 2007","Farm Structure Survey 2003; Farm Structure Survey 2005; Farm Structure Survey 2007"
"Lithuania",2007,"2007","Farm Structure Survey 2007"
"Malaysia",2019,"2019","Good Growth Plan, 2014-2019"
"Mali",2005,"2005, 2008","Recensement Général de l'Agriculture 2004-2005, Volet Recensement des Exploitations Sédentaires; Enquête Agricole de Conjoncture 2007-2008"
"Mali",2008,"2005, 2008","Recensement Général de l'Agriculture 2004-2005, Volet Recensement des Exploitations Sédentaires; Enquête Agricole de Conjoncture 2007-2008"
"Mexico",2012,"2012, 2014, 2017, 2019","National Agricultural Survey 2012; National Agricultural Survey 2014; National Agricultural Survey 2017; Good Growth Plan, 2014-2019"
"Mexico",2014,"2012, 2014, 2017, 2019","National Agricultural Survey 2012; National Agricultural Survey 2014; National Agricultural Survey 2017; Good Growth Plan, 2014-2019"
"Mexico",2017,"2012, 2014, 2017, 2019","National Agricultural Survey 2012; National Agricultural Survey 2014; National Agricultural Survey 2017; Good Growth Plan, 2014-2019"
"Mexico",2019,"2012, 2014, 2017, 2019","National Agricultural Survey 2012; National Agricultural Survey 2014; National Agricultural Survey 2017; Good Growth Plan, 2014-2019"
"Mongolia",2019,"2019","Pastoralists-driven Data Management System in Mongolia, 2018-2019."
"Morocco",2019,"2019","Good Growth Plan, 2014-2019"
"Mozambique",2002,"2002, 2005, 2006","Trabalho de Inquérito Agricola 2002; Trabalho de Inquérito Agrícola 2005; Trabalho de Inquérito Agrícola 2006"
"Mozambique",2005,"2002, 2005, 2006","Trabalho de Inquérito Agricola 2002; Trabalho de Inquérito Agrícola 2005; Trabalho de Inquérito Agrícola 2006"
"Mozambique",2006,"2002, 2005, 2006","Trabalho de Inquérito Agricola 2002; Trabalho de Inquérito Agrícola 2005; Trabalho de Inquérito Agrícola 2006"
"Myanmar",1993,"1993","Census of Agriculture 1993"
"Nepal",0,"0","Fishery Survey 2015"
"Netherlands",2019,"2019","Good Growth Plan, 2014-2019"
"Nigeria",2005,"2005, 2006, 2007, 2019","National Survey of Agricultural Export Commodities 2005, Second Round; National Survey of Agricultural Export Commodities 2006, Third Round; National Agricultural Sample Survey, Fish Farming 2006, Third edition; Good Growth Plan, 2018-2019"
"Nigeria",2006,"2005, 2006, 2007, 2019","National Survey of Agricultural Export Commodities 2005, Second Round; National Survey of Agricultural Export Commodities 2006, Third Round; National Agricultural Sample Survey, Fish Farming 2006, Third edition; Good Growth Plan, 2018-2019"
"Nigeria",2007,"2005, 2006, 2007, 2019","National Survey of Agricultural Export Commodities 2005, Second Round; National Survey of Agricultural Export Commodities 2006, Third Round; National Agricultural Sample Survey, Fish Farming 2006, Third edition; Good Growth Plan, 2018-2019"
"Nigeria",2019,"2005, 2006, 2007, 2019","National Survey of Agricultural Export Commodities 2005, Second Round; National Survey of Agricultural Export Commodities 2006, Third Round; National Agricultural Sample Survey, Fish Farming 2006, Third edition; Good Growth Plan, 2018-2019"
"Pakistan",2018,"2018","Good Growth Plan, 2014-2018"
"Paraguay",2019,"2019","Good Growth Plan, 2014-2019"
"Peru",2014,"2014, 2015, 2016, 2017, 2019","Encuesta Nacional Agropecuaria 2014; Encuesta Nacional Agropecuaria 2015; Encuesta Nacional Agropecuaria 2016; Encuesta Nacional Agropecuaria 2017; Good Growth Plan, 2014-2019"
"Peru",2015,"2014, 2015, 2016, 2017, 2019","Encuesta Nacional Agropecuaria 2014; Encuesta Nacional Agropecuaria 2015; Encuesta Nacional Agropecuaria 2016; Encuesta Nacional Agropecuaria 2017; Good Growth Plan, 2014-2019"
"Peru",2016,"2014, 2015, 2016, 2017, 2019","Encuesta Nacional Agropecuaria 2014; Encuesta Nacional Agropecuaria 2015; Encuesta Nacional Agropecuaria 2016; Encuesta Nacional Agropecuaria 2017; Good Growth Plan, 2014-2019"
"Peru",2017,"2014, 2015, 2016, 2017, 2019","Encuesta Nacional Agropecuaria 2014; Encuesta Nacional Agropecuaria 2015; Encuesta Nacional Agropecuaria 2016; Encuesta Nacional Agropecuaria 2017; Good Growth Plan, 2014-2019"
"Peru",2019,"2014, 2015, 2016, 2017, 2019","Encuesta Nacional Agropecuaria 2014; Encuesta Nacional Agropecuaria 2015; Encuesta Nacional Agropecuaria 2016; Encuesta Nacional Agropecuaria 2017; Good Growth Plan, 2014-2019"
"Philippines",2005,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2006,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2007,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2008,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2009,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2010,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2014,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2015,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2016,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2017,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Philippines",2019,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2019","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Aquaculture Production Survey 2009; Corn Production Survey 2009; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Commercial Livestock and Poultry Survey 2016, Swine; Crops Production Survey 2017; Good Growth Plan, 2014-2019"
"Russian Federation",2019,"2019","Good Growth Plan, 2014-2019"
"Rwanda",2013,"2013, 2014, 2015, 2016, 2017, 2018, 2019","Seasonal Agriculture Survey 2013; Seasonal Agriculture Survey 2014; Seasonal Agriculture Survey 2015; Seasonal Agriculture Survey 2015-2016; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2018; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2014,"2013, 2014, 2015, 2016, 2017, 2018, 2019","Seasonal Agriculture Survey 2013; Seasonal Agriculture Survey 2014; Seasonal Agriculture Survey 2015; Seasonal Agriculture Survey 2015-2016; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2018; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2015,"2013, 2014, 2015, 2016, 2017, 2018, 2019","Seasonal Agriculture Survey 2013; Seasonal Agriculture Survey 2014; Seasonal Agriculture Survey 2015; Seasonal Agriculture Survey 2015-2016; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2018; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2016,"2013, 2014, 2015, 2016, 2017, 2018, 2019","Seasonal Agriculture Survey 2013; Seasonal Agriculture Survey 2014; Seasonal Agriculture Survey 2015; Seasonal Agriculture Survey 2015-2016; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2018; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2017,"2013, 2014, 2015, 2016, 2017, 2018, 2019","Seasonal Agriculture Survey 2013; Seasonal Agriculture Survey 2014; Seasonal Agriculture Survey 2015; Seasonal Agriculture Survey 2015-2016; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2018; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2018,"2013, 2014, 2015, 2016, 2017, 2018, 2019","Seasonal Agriculture Survey 2013; Seasonal Agriculture Survey 2014; Seasonal Agriculture Survey 2015; Seasonal Agriculture Survey 2015-2016; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2018; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2019,"2013, 2014, 2015, 2016, 2017, 2018, 2019","Seasonal Agriculture Survey 2013; Seasonal Agriculture Survey 2014; Seasonal Agriculture Survey 2015; Seasonal Agriculture Survey 2015-2016; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2018; Rwanda Seasonal Agriculture Survey 2019"
"Senegal",2006,"2006, 2007, 2011, 2017, 2018, 2019, 2020","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Good Growth Plan, 2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2007,"2006, 2007, 2011, 2017, 2018, 2019, 2020","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Good Growth Plan, 2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2011,"2006, 2007, 2011, 2017, 2018, 2019, 2020","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Good Growth Plan, 2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2017,"2006, 2007, 2011, 2017, 2018, 2019, 2020","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Good Growth Plan, 2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2018,"2006, 2007, 2011, 2017, 2018, 2019, 2020","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Good Growth Plan, 2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2019,"2006, 2007, 2011, 2017, 2018, 2019, 2020","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Good Growth Plan, 2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2020,"2006, 2007, 2011, 2017, 2018, 2019, 2020","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Good Growth Plan, 2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"South Africa",2015,"2015","Good Growth Plan, 2014-2015"
"Spain",2019,"2019","Good Growth Plan, 2014-2019"
"Sudan",2019,"2019","Good Growth Plan, 2018-2019"
"Tanzania",2016,"2016","Annual Agricultural Sample Survey 2014-2015"
"Thailand",2019,"2019","Good Growth Plan, 2014-2019"
"Tunisia",2005,"2005, 2018","Enquête sur la Structure des Exploitations Agricoles 2004-2005; Good Growth Plan, 2018"
"Tunisia",2018,"2005, 2018","Enquête sur la Structure des Exploitations Agricoles 2004-2005; Good Growth Plan, 2018"
"Ukraine",2019,"2019","Good Growth Plan, 2014-2019"
"United Kingdom Of Great Britain And Northern Ireland",2017,"2017","Good Growth Plan, 2015-2017"
"United Republic of Tanzania",2016,"2016","Annual Agricultural Sample Survey 2014-2015"
"United Republic Of Tanzania",2019,"2019","Good Growth Plan, 2015-2019"
"Viet Nam",2019,"2019","Good Growth Plan, 2014-2019"
"Zambia",2001,"2001, 2005, 2008, 2010, 2019","Post Harvest Supplemental Survey 2001; Post Harvest Survey 2003-2004, For Small and Medium Scale Holdings; Crop Forecast Survey 2007 - 2008; Crop Forecast Survey 2009 - 2010; Good Growth Plan, 2014-2019"
"Zambia",2005,"2001, 2005, 2008, 2010, 2019","Post Harvest Supplemental Survey 2001; Post Harvest Survey 2003-2004, For Small and Medium Scale Holdings; Crop Forecast Survey 2007 - 2008; Crop Forecast Survey 2009 - 2010; Good Growth Plan, 2014-2019"
"Zambia",2008,"2001, 2005, 2008, 2010, 2019","Post Harvest Supplemental Survey 2001; Post Harvest Survey 2003-2004, For Small and Medium Scale Holdings; Crop Forecast Survey 2007 - 2008; Crop Forecast Survey 2009 - 2010; Good Growth Plan, 2014-2019"
"Zambia",2010,"2001, 2005, 2008, 2010, 2019","Post Harvest Supplemental Survey 2001; Post Harvest Survey 2003-2004, For Small and Medium Scale Holdings; Crop Forecast Survey 2007 - 2008; Crop Forecast Survey 2009 - 2010; Good Growth Plan, 2014-2019"
"Zambia",2019,"2001, 2005, 2008, 2010, 2019","Post Harvest Supplemental Survey 2001; Post Harvest Survey 2003-2004, For Small and Medium Scale Holdings; Crop Forecast Survey 2007 - 2008; Crop Forecast Survey 2009 - 2010; Good Growth Plan, 2014-2019"
"Zimbabwe",2012,"2012, 2015, 2017, 2019","Agriculture and Livestock Survey 2012; Agriculture and Livestock Survey - A1 Farms 2015; Agricultural Productivity Module of the Poverty, Income, Consumption and Expenditure Survey 2017; Good Growth Plan, 2016-2019"
"Zimbabwe",2015,"2012, 2015, 2017, 2019","Agriculture and Livestock Survey 2012; Agriculture and Livestock Survey - A1 Farms 2015; Agricultural Productivity Module of the Poverty, Income, Consumption and Expenditure Survey 2017; Good Growth Plan, 2016-2019"
"Zimbabwe",2017,"2012, 2015, 2017, 2019","Agriculture and Livestock Survey 2012; Agriculture and Livestock Survey - A1 Farms 2015; Agricultural Productivity Module of the Poverty, Income, Consumption and Expenditure Survey 2017; Good Growth Plan, 2016-2019"
"Zimbabwe",2019,"2012, 2015, 2017, 2019","Agriculture and Livestock Survey 2012; Agriculture and Livestock Survey - A1 Farms 2015; Agricultural Productivity Module of the Poverty, Income, Consumption and Expenditure Survey 2017; Good Growth Plan, 2016-2019"
