"country","indicator_date","nada_dates","nada_title"
"Philippines",2006,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Philippines",2007,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Philippines",2008,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Philippines",2009,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Philippines",2010,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Philippines",2014,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Philippines",2015,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Philippines",2016,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Philippines",2017,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
"Russian Federation",2014,"2014","Good Growth Plan, 2014-2019"
"Rwanda",2012,"2012, 2013, 2014, 2015, 2016, 2017, 2018","Rwanda Seasonal Agriculture Survey 2013; Rwanda Seasonal Agriculture Survey 2014; Rwanda Seasonal Agriculture Survey 2015; Rwanda Seasonal Agriculture Survey 2016; Rwanda Seasonal Agriculture Survey 2017; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2013,"2012, 2013, 2014, 2015, 2016, 2017, 2018","Rwanda Seasonal Agriculture Survey 2013; Rwanda Seasonal Agriculture Survey 2014; Rwanda Seasonal Agriculture Survey 2015; Rwanda Seasonal Agriculture Survey 2016; Rwanda Seasonal Agriculture Survey 2017; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2014,"2012, 2013, 2014, 2015, 2016, 2017, 2018","Rwanda Seasonal Agriculture Survey 2013; Rwanda Seasonal Agriculture Survey 2014; Rwanda Seasonal Agriculture Survey 2015; Rwanda Seasonal Agriculture Survey 2016; Rwanda Seasonal Agriculture Survey 2017; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2015,"2012, 2013, 2014, 2015, 2016, 2017, 2018","Rwanda Seasonal Agriculture Survey 2013; Rwanda Seasonal Agriculture Survey 2014; Rwanda Seasonal Agriculture Survey 2015; Rwanda Seasonal Agriculture Survey 2016; Rwanda Seasonal Agriculture Survey 2017; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2016,"2012, 2013, 2014, 2015, 2016, 2017, 2018","Rwanda Seasonal Agriculture Survey 2013; Rwanda Seasonal Agriculture Survey 2014; Rwanda Seasonal Agriculture Survey 2015; Rwanda Seasonal Agriculture Survey 2016; Rwanda Seasonal Agriculture Survey 2017; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2017,"2012, 2013, 2014, 2015, 2016, 2017, 2018","Rwanda Seasonal Agriculture Survey 2013; Rwanda Seasonal Agriculture Survey 2014; Rwanda Seasonal Agriculture Survey 2015; Rwanda Seasonal Agriculture Survey 2016; Rwanda Seasonal Agriculture Survey 2017; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2019"
"Rwanda",2018,"2012, 2013, 2014, 2015, 2016, 2017, 2018","Rwanda Seasonal Agriculture Survey 2013; Rwanda Seasonal Agriculture Survey 2014; Rwanda Seasonal Agriculture Survey 2015; Rwanda Seasonal Agriculture Survey 2016; Rwanda Seasonal Agriculture Survey 2017; Agricultural Household Survey 2017; Rwanda Seasonal Agriculture Survey 2019"
"Senegal",2006,"2006, 2007, 2011, 2017, 2018, 2019","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2007,"2006, 2007, 2011, 2017, 2018, 2019","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2011,"2006, 2007, 2011, 2017, 2018, 2019","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2017,"2006, 2007, 2011, 2017, 2018, 2019","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2018,"2006, 2007, 2011, 2017, 2018, 2019","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"Senegal",2019,"2006, 2007, 2011, 2017, 2018, 2019","Annual Agricultural Survey 2006-2007; Annual Agricultural Survey 2007-2008; Annual Agricultural Survey 2011-2012; Annual Agricultural Survey 2017-2018; Annual Agricultural Survey 2018-2019; Annual Agricultural Survey 2019-2020"
"South Africa",2014,"2014","Good Growth Plan, 2014-2015"
"Spain",2014,"2014","Good Growth Plan, 2014-2019"
"Sudan",2018,"2018","Good Growth Plan, 2018-2019"
"Thailand",2014,"2014","Good Growth Plan, 2014-2019"
"Tunisia",2018,"2018","Good Growth Plan, 2018"
"Ukraine",2014,"2014","Good Growth Plan, 2014-2019"
"United Kingdom Of Great Britain And Northern Ireland",2015,"2015","Good Growth Plan, 2015-2017"
"United Republic of Tanzania",2016,"2016","Annual Agricultural Sample Survey 2014-2015"
"United Republic Of Tanzania",2015,"2015","Good Growth Plan, 2015-2019"
"Viet Nam",2014,"2014","Good Growth Plan, 2014-2019"
"Zambia",2014,"2014","Good Growth Plan, 2014-2019"
"Zimbabwe",2016,"2016","Good Growth Plan, 2016-2019"
