Indicator,Country,Year,Data Value
Use of statistics index,Libya,2019,no data
Use of statistics index,Liechtenstein,2019,no data
Use of statistics index,Lithuania,2019,no data
Use of statistics index,Low Income,2019,no data
Use of statistics index,Lower Middle Income,2019,no data
Use of statistics index,Luxembourg,2019,no data
Use of statistics index,Madagascar,2019,no data
Use of statistics index,Malawi,2019,54.97335451
Use of statistics index,Malaysia,2019,23.81115647
Use of statistics index,Maldives,2019,no data
Use of statistics index,Mali,2019,30.99336009
Use of statistics index,Malta,2019,no data
Use of statistics index,Marshall Islands,2019,no data
Use of statistics index,Martinique,2019,no data
Use of statistics index,Mauritania,2019,58.98119919
Use of statistics index,Mauritius,2019,no data
Use of statistics index,Mayotte,2019,no data
Use of statistics index,Melanesia,2019,no data
Use of statistics index,Mexico,2019,no data
Use of statistics index,Micronesia,2019,no data
Use of statistics index,Micronesia (Federated States of),2019,no data
Use of statistics index,Monaco,2019,no data
Use of statistics index,Mongolia,2019,46.152369
Use of statistics index,Montenegro,2019,no data
Use of statistics index,Montserrat,2019,no data
Use of statistics index,Morocco,2019,no data
Use of statistics index,Mozambique,2019,45.28430022
Use of statistics index,Myanmar,2019,no data
Use of statistics index,Namibia,2019,24.67217557
Use of statistics index,Nauru,2019,no data
Use of statistics index,Nepal,2019,no data
Use of statistics index,Netherlands,2019,no data
Use of statistics index,New Caledonia,2019,no data
Use of statistics index,New Zealand,2019,no data
Use of statistics index,Nicaragua,2019,18.13073835
Use of statistics index,Niger,2019,28.94520839
Use of statistics index,Nigeria,2019,40.82312997
Use of statistics index,Niue,2019,no data
Use of statistics index,Norfolk Island,2019,no data
Use of statistics index,Northern Africa,2019,no data
Use of statistics index,Northern America,2019,no data
Use of statistics index,Northern Europe,2019,33.699726
Use of statistics index,Northern Mariana Islands,2019,no data
Use of statistics index,Norway,2019,no data
Use of statistics index,Oceania,2019,no data
Use of statistics index,Oman,2019,no data
Use of statistics index,Pakistan,2019,24.13454654
Use of statistics index,Palau,2019,no data
Use of statistics index,Panama,2019,no data
Use of statistics index,Papua New Guinea,2019,26.42875524
Use of statistics index,Paraguay,2019,no data
Use of statistics index,Peru,2019,no data
Use of statistics index,Philippines,2019,18.72254996
Use of statistics index,Pitcairn,2019,no data
Use of statistics index,Poland,2019,no data
Use of statistics index,Polynesia,2019,no data
Use of statistics index,Portugal,2019,no data
Use of statistics index,Puerto Rico,2019,no data
Use of statistics index,Qatar,2019,15.31102583
Use of statistics index,Republic of Korea,2019,22.11572463
Use of statistics index,Republic of Moldova,2019,9.903476114
Use of statistics index,Romania,2019,no data
Use of statistics index,Russian Federation,2019,no data
Use of statistics index,Rwanda,2019,24.31017545
Use of statistics index,Réunion,2019,no data
Use of statistics index,SIDS,2019,no data
Use of statistics index,Saint Barthélemy,2019,no data
Use of statistics index,Saint Helena,2019,no data
Use of statistics index,Saint Kitts and Nevis,2019,no data
Use of statistics index,Saint Lucia,2019,no data
Use of statistics index,Saint Martin (French Part),2019,no data
Use of statistics index,Saint Pierre and Miquelon,2019,no data
Use of statistics index,Saint Vincent and the Grenadines,2019,no data
Use of statistics index,Samoa,2019,18.08472625
Use of statistics index,San Marino,2019,no data
Use of statistics index,Sao Tome and Principe,2019,29.30593586
Use of statistics index,Saudi Arabia,2019,50.01745077
Use of statistics index,Senegal,2019,8.315774871
Use of statistics index,Serbia,2019,no data
Use of statistics index,Seychelles,2019,10.91175519
Use of statistics index,Sierra Leone,2019,44.74936304
Use of statistics index,Singapore,2019,no data
Use of statistics index,Sint Maarten (Dutch part),2019,no data
Use of statistics index,Slovakia,2019,no data
Use of statistics index,Slovenia,2019,no data
Use of statistics index,Solomon Islands,2019,no data
Use of statistics index,Somalia,2019,no data
Use of statistics index,South Africa,2019,16.59988138
Use of statistics index,South Georgia and the South Sandwich Islands,2019,no data
Use of statistics index,South Sudan,2019,21.49951233
Use of statistics index,South-eastern Asia,2019,no data
Use of statistics index,Southern Asia,2019,no data
Use of statistics index,Southern Europe,2019,no data
Use of statistics index,Spain,2019,no data
Use of statistics index,Sri Lanka,2019,16.65607584
Use of statistics index,State of Palestine,2019,21.66455742
Use of statistics index,Sub-Saharan Africa,2019,26.87412
Use of statistics index,Sudan,2019,19.64687826
Use of statistics index,Suriname,2019,no data
Use of statistics index,Svalbard and Jan Mayen Islands,2019,no data
Use of statistics index,Sweden,2019,no data
Use of statistics index,Switzerland,2019,no data
Use of statistics index,Syrian Arab Republic,2019,no data
Use of statistics index,Tajikistan,2019,25.42202974
Use of statistics index,Thailand,2019,no data
Use of statistics index,The former Yugoslav Republic of Macedonia,2019,no data
Use of statistics index,Timor-Leste,2019,23.82498973
Use of statistics index,Togo,2019,16.11826899
Use of statistics index,Tokelau,2019,no data
Use of statistics index,Tonga,2019,25.9024844
Use of statistics index,Trinidad and Tobago,2019,19.75043522
Use of statistics index,Tunisia,2019,no data
Use of statistics index,Turkey,2019,13.38302436
Use of statistics index,Turkmenistan,2019,no data
Use of statistics index,Turks and Caicos Islands,2019,no data
Use of statistics index,Tuvalu,2019,no data
Use of statistics index,Uganda,2019,18.38979012
Use of statistics index,Ukraine,2019,no data
Use of statistics index,United Arab Emirates,2019,no data
Use of statistics index,United Kingdom of Great Britain and Northern Ireland,2019,no data
Use of statistics index,United Republic of Tanzania,2019,24.90790956
Use of statistics index,United States Minor Outlying Islands,2019,no data
Use of statistics index,United States Virgin Islands,2019,no data
Use of statistics index,United States of America,2019,no data
Use of statistics index,Upper Middle Income,2019,no data
Use of statistics index,Uruguay,2019,13.82991001
Use of statistics index,Uzbekistan,2019,no data
Use of statistics index,Vanuatu,2019,no data
Use of statistics index,Venezuela (Bolivarian Republic of),2019,no data
Use of statistics index,Viet Nam,2019,no data
Use of statistics index,Wallis and Futuna Islands,2019,no data
Use of statistics index,Western Asia,2019,24.783698
Use of statistics index,Western Europe,2019,10.625531
Use of statistics index,Western Sahara,2019,no data
Use of statistics index,World,2019,no data
Use of statistics index,Yemen,2019,no data
Use of statistics index,Zambia,2019,35.30716206
Use of statistics index,Zimbabwe,2019,14.05632933
Use of statistics index,Åland Islands,2019,no data
,,,
,,,
,,,
,,,
