Indicator,Country,Year,Data Value
UN FPOS compliance,Central Asia,2018,1
UN FPOS compliance,Chad,2018,0
UN FPOS compliance,Chile,2018,1
UN FPOS compliance,China,2018,1
UN FPOS compliance,"China, Hong Kong Special Administrative Region",2018,0
UN FPOS compliance,"China, Macao Special Administrative Region",2018,no data
UN FPOS compliance,Kosovo,2018,no data
UN FPOS compliance,Christmas Island,2018,no data
UN FPOS compliance,Cocos (Keeling) Islands,2018,no data
UN FPOS compliance,Colombia,2018,1
UN FPOS compliance,Comoros,2018,0
UN FPOS compliance,Congo,2018,no data
UN FPOS compliance,Cook Islands,2018,no data
UN FPOS compliance,Costa Rica,2018,no data
UN FPOS compliance,Croatia,2018,1
UN FPOS compliance,Cuba,2018,no data
UN FPOS compliance,Curaçao,2018,0
UN FPOS compliance,Cyprus,2018,1
UN FPOS compliance,Czechia,2018,1
UN FPOS compliance,Côte d’Ivoire,2018,no data
UN FPOS compliance,Democratic People's Republic of Korea,2018,no data
UN FPOS compliance,Democratic Republic of the Congo,2018,0
UN FPOS compliance,Denmark,2018,1
UN FPOS compliance,Djibouti,2018,0
UN FPOS compliance,Dominica,2018,no data
UN FPOS compliance,Dominican Republic,2018,no data
UN FPOS compliance,Eastern Asia,2018,no data
UN FPOS compliance,Eastern Europe,2018,0.777777791
UN FPOS compliance,Ecuador,2018,0
UN FPOS compliance,Egypt,2018,1
UN FPOS compliance,El Salvador,2018,no data
UN FPOS compliance,Equatorial Guinea,2018,no data
UN FPOS compliance,Eritrea,2018,no data
UN FPOS compliance,Estonia,2018,1
UN FPOS compliance,Eswatini,2018,0
UN FPOS compliance,Ethiopia,2018,no data
UN FPOS compliance,Europe,2018,0.864864886
UN FPOS compliance,FRAGILE,2018,no data
UN FPOS compliance,Falkland Islands (Malvinas),2018,no data
UN FPOS compliance,Faroe Islands,2018,no data
UN FPOS compliance,Fiji,2018,no data
UN FPOS compliance,Finland,2018,1
UN FPOS compliance,France,2018,1
UN FPOS compliance,French Guiana,2018,no data
UN FPOS compliance,French Polynesia,2018,no data
UN FPOS compliance,French Southern Territories,2018,no data
UN FPOS compliance,Gabon,2018,no data
UN FPOS compliance,Gambia,2018,no data
UN FPOS compliance,Georgia,2018,1
UN FPOS compliance,Germany,2018,1
UN FPOS compliance,Ghana,2018,no data
UN FPOS compliance,Gibraltar,2018,no data
UN FPOS compliance,Greece,2018,0
UN FPOS compliance,Greenland,2018,no data
UN FPOS compliance,Grenada,2018,no data
UN FPOS compliance,Guadeloupe,2018,no data
UN FPOS compliance,Guam,2018,no data
UN FPOS compliance,Guatemala,2018,no data
UN FPOS compliance,Guernsey,2018,no data
UN FPOS compliance,Guinea,2018,no data
UN FPOS compliance,Guinea-Bissau,2018,no data
UN FPOS compliance,Guyana,2018,no data
UN FPOS compliance,Haiti,2018,no data
UN FPOS compliance,Heard Island and McDonald Islands,2018,no data
UN FPOS compliance,High Income,2018,no data
UN FPOS compliance,Holy See,2018,no data
UN FPOS compliance,Honduras,2018,no data
UN FPOS compliance,Hungary,2018,1
UN FPOS compliance,Iceland,2018,0
UN FPOS compliance,India,2018,no data
UN FPOS compliance,Indonesia,2018,no data
UN FPOS compliance,Iran (Islamic Republic of),2018,no data
UN FPOS compliance,Iraq,2018,no data
UN FPOS compliance,Ireland,2018,1
UN FPOS compliance,Isle of Man,2018,no data
UN FPOS compliance,Israel,2018,1
UN FPOS compliance,Italy,2018,1
UN FPOS compliance,Jamaica,2018,0
UN FPOS compliance,Japan,2018,1
UN FPOS compliance,Jersey,2018,no data
UN FPOS compliance,Jordan,2018,no data
UN FPOS compliance,Kazakhstan,2018,no data
UN FPOS compliance,Kenya,2018,no data
UN FPOS compliance,Kiribati,2018,no data
UN FPOS compliance,Kosovo,2018,no data
UN FPOS compliance,Kuwait,2018,no data
UN FPOS compliance,Kyrgyzstan,2018,no data
UN FPOS compliance,LANDLOCKED,2018,no data
UN FPOS compliance,LDC,2018,no data
UN FPOS compliance,Lao People's Democratic Republic,2018,no data
UN FPOS compliance,Latin America and the Caribbean,2018,0.416666657
UN FPOS compliance,Latvia,2018,1
UN FPOS compliance,Lebanon,2018,no data
UN FPOS compliance,Lesotho,2018,no data
UN FPOS compliance,Liberia,2018,1
UN FPOS compliance,Libya,2018,no data
UN FPOS compliance,Liechtenstein,2018,1
UN FPOS compliance,Lithuania,2018,1
UN FPOS compliance,Low Income,2018,no data
UN FPOS compliance,Lower Middle Income,2018,no data
UN FPOS compliance,Luxembourg,2018,1
UN FPOS compliance,Madagascar,2018,no data
UN FPOS compliance,Malawi,2018,no data
UN FPOS compliance,Malaysia,2018,no data
UN FPOS compliance,Maldives,2018,1
UN FPOS compliance,Mali,2018,1
UN FPOS compliance,Malta,2018,1
UN FPOS compliance,Marshall Islands,2018,no data
UN FPOS compliance,Martinique,2018,no data
UN FPOS compliance,Mauritania,2018,1
UN FPOS compliance,Mauritius,2018,1
UN FPOS compliance,Mayotte,2018,no data
UN FPOS compliance,Melanesia,2018,no data
UN FPOS compliance,Mexico,2018,1
UN FPOS compliance,Micronesia,2018,no data
UN FPOS compliance,Micronesia (Federated States of),2018,no data
UN FPOS compliance,Monaco,2018,no data
UN FPOS compliance,Mongolia,2018,1
UN FPOS compliance,Montenegro,2018,no data
UN FPOS compliance,Montserrat,2018,no data
UN FPOS compliance,Morocco,2018,0
UN FPOS compliance,Mozambique,2018,no data
UN FPOS compliance,Myanmar,2018,no data
UN FPOS compliance,Namibia,2018,no data
UN FPOS compliance,Nauru,2018,no data
UN FPOS compliance,Nepal,2018,0
UN FPOS compliance,Netherlands,2018,1
UN FPOS compliance,New Caledonia,2018,no data
UN FPOS compliance,New Zealand,2018,1
UN FPOS compliance,Nicaragua,2018,no data
UN FPOS compliance,Niger,2018,0
UN FPOS compliance,Nigeria,2018,no data
UN FPOS compliance,Niue,2018,no data
UN FPOS compliance,Norfolk Island,2018,no data
UN FPOS compliance,Northern Africa,2018,no data
UN FPOS compliance,Northern America,2018,no data
UN FPOS compliance,Northern Europe,2018,0.899999976
UN FPOS compliance,Northern Mariana Islands,2018,no data
UN FPOS compliance,Norway,2018,1
UN FPOS compliance,Oceania,2018,no data
UN FPOS compliance,Oman,2018,no data
UN FPOS compliance,Pakistan,2018,1
UN FPOS compliance,Palau,2018,no data
UN FPOS compliance,Panama,2018,no data
UN FPOS compliance,Papua New Guinea,2018,no data
UN FPOS compliance,Paraguay,2018,no data
UN FPOS compliance,Peru,2018,no data
UN FPOS compliance,Philippines,2018,1
UN FPOS compliance,Pitcairn,2018,no data
UN FPOS compliance,Poland,2018,1
UN FPOS compliance,Polynesia,2018,no data
UN FPOS compliance,Portugal,2018,1
UN FPOS compliance,Puerto Rico,2018,1
UN FPOS compliance,Qatar,2018,no data
UN FPOS compliance,Republic of Korea,2018,1
UN FPOS compliance,Republic of Moldova,2018,no data
UN FPOS compliance,Romania,2018,1
UN FPOS compliance,Russian Federation,2018,0
UN FPOS compliance,Rwanda,2018,no data
UN FPOS compliance,Réunion,2018,no data
UN FPOS compliance,SIDS,2018,no data
UN FPOS compliance,Saint Barthélemy,2018,no data
UN FPOS compliance,Saint Helena,2018,no data
UN FPOS compliance,Saint Kitts and Nevis,2018,0
UN FPOS compliance,Saint Lucia,2018,no data
UN FPOS compliance,Saint Martin (French Part),2018,no data
UN FPOS compliance,Saint Pierre and Miquelon,2018,no data
UN FPOS compliance,Saint Vincent and the Grenadines,2018,0
UN FPOS compliance,Samoa,2018,no data
UN FPOS compliance,San Marino,2018,no data
UN FPOS compliance,Sao Tome and Principe,2018,no data
UN FPOS compliance,Saudi Arabia,2018,no data
UN FPOS compliance,Senegal,2018,1
UN FPOS compliance,Serbia,2018,no data
UN FPOS compliance,Seychelles,2018,no data
UN FPOS compliance,Sierra Leone,2018,no data
UN FPOS compliance,Singapore,2018,0
UN FPOS compliance,Sint Maarten (Dutch part),2018,no data
UN FPOS compliance,Slovakia,2018,1
UN FPOS compliance,Slovenia,2018,1
UN FPOS compliance,Solomon Islands,2018,no data
UN FPOS compliance,Somalia,2018,no data
UN FPOS compliance,South Africa,2018,1
UN FPOS compliance,South Georgia and the South Sandwich Islands,2018,no data
UN FPOS compliance,South Sudan,2018,no data
UN FPOS compliance,South-eastern Asia,2018,no data
UN FPOS compliance,Southern Asia,2018,no data
UN FPOS compliance,Southern Europe,2018,no data
UN FPOS compliance,Spain,2018,1
UN FPOS compliance,Sri Lanka,2018,no data
UN FPOS compliance,State of Palestine,2018,1
UN FPOS compliance,Sub-Saharan Africa,2018,0.5625
UN FPOS compliance,Sudan,2018,1
UN FPOS compliance,Suriname,2018,no data
UN FPOS compliance,Svalbard and Jan Mayen Islands,2018,no data
UN FPOS compliance,Sweden,2018,1
UN FPOS compliance,Switzerland,2018,1
UN FPOS compliance,Syrian Arab Republic,2018,no data
UN FPOS compliance,Tajikistan,2018,1
UN FPOS compliance,Thailand,2018,1
UN FPOS compliance,The former Yugoslav Republic of Macedonia,2018,no data
UN FPOS compliance,Timor-Leste,2018,0
UN FPOS compliance,Togo,2018,1
UN FPOS compliance,Tokelau,2018,0
UN FPOS compliance,Tonga,2018,no data
UN FPOS compliance,Trinidad and Tobago,2018,no data
UN FPOS compliance,Tunisia,2018,no data
UN FPOS compliance,Turkey,2018,1
UN FPOS compliance,Turkmenistan,2018,no data
UN FPOS compliance,Turks and Caicos Islands,2018,no data
UN FPOS compliance,Tuvalu,2018,no data
UN FPOS compliance,Uganda,2018,no data
UN FPOS compliance,Ukraine,2018,0
UN FPOS compliance,United Arab Emirates,2018,no data
UN FPOS compliance,United Kingdom of Great Britain and Northern Ireland,2018,1
UN FPOS compliance,United Republic of Tanzania,2018,no data
UN FPOS compliance,United States Minor Outlying Islands,2018,no data
UN FPOS compliance,United States Virgin Islands,2018,no data
UN FPOS compliance,United States of America,2018,1
UN FPOS compliance,Upper Middle Income,2018,no data
UN FPOS compliance,Uruguay,2018,1
UN FPOS compliance,Uzbekistan,2018,1
UN FPOS compliance,Vanuatu,2018,1
UN FPOS compliance,Venezuela (Bolivarian Republic of),2018,no data
UN FPOS compliance,Viet Nam,2018,no data
UN FPOS compliance,Wallis and Futuna Islands,2018,no data
UN FPOS compliance,Western Asia,2018,1
UN FPOS compliance,Western Europe,2018,1
UN FPOS compliance,Western Sahara,2018,no data
UN FPOS compliance,World,2018,no data
UN FPOS compliance,Yemen,2018,no data
UN FPOS compliance,Zambia,2018,no data
UN FPOS compliance,Zimbabwe,2018,1
UN FPOS compliance,Åland Islands,2018,no data
,,,
,,,
,,,
,,,
