#,Code,Country,Business Process (GSBPM),DCS data,Links,sldth
83,ITA,Italy,Yes,1,,
84,JAM,Jamaica,Yes,1,https://statinja.gov.jm/pdf/SQAF.pdf,
85,JOR,Jordan,,0,,
86,JPN,Japan,Yes,1,https://www.stat.go.jp/data/guide/hinsitu.html,
87,KAZ,Kazakhstan,Yes,1,,
88,KEN,Kenya,Yes,1,https://new.knbs.or.ke/wp-content/uploads/2023/09/Kenya-Statistical-Quality-Assurance-Framework-Booklet.pdf,
89,KGZ,Kyrgyz Republic,Yes,1,,
90,KHM,Cambodia,Yes,1,,
91,KIR,Kiribati,,0,,
92,KNA,St. Kitts and Nevis,,0,,
93,KOR,"Korea, Rep.",Yes,1,,
94,KWT,Kuwait,,0,,
95,LAO,Lao PDR,,0,,
96,LBN,Lebanon,,0,,
97,LBR,Liberia,,0,,
98,LBY,Libya,,0,,
99,LCA,St. Lucia,,0,,
100,LKA,Sri Lanka,,0,,
101,LSO,Lesotho,,0,,
102,LTU,Lithuania,Yes,1,,
103,LUX,Luxembourg,Yes,1,https://ec.europa.eu/eurostat/documents/64157/13566711/PR+Luxembourg+final+report.pdf/44699dd1-d80b-18f5-e3fa-b7b7637bab02?t=1656590064917,
104,LVA,Latvia,Yes,1,,
105,MAR,Morocco,Yes,1,https://www.isi-next.org/abstracts/submission/931/view/,
106,MDA,Moldova,Yes,1,,
107,MDG,Madagascar,,0,,
108,MDV,Maldives,,0,,
109,MEX,Mexico,Yes,1,https://en.www.inegi.org.mx/infraestructura/modelos/,
110,MHL,Marshall Islands,,0,,
111,MKD,"Macedonia, FYR",Yes,1,,
112,MLI,Mali,,0,,
113,MLT,Malta,Yes,1,https://dsbb.imf.org/sdds-plus/dqaf-base/country/MLT/category/POP00,
114,MMR,Myanmar,,0,,
115,MNE,Montenegro,Yes,1,,
116,MNG,Mongolia,Yes,1,https://unstats.un.org/unsd/methodology/dataquality/meetings/NQAF-Beijing-Jan-2022/GSBPM-Mongolia-20220107.pdf,
117,MOZ,Mozambique,,0,,
118,MRT,Mauritania,,0,,
119,MUS,Mauritius,,0,,
120,MWI,Malawi,,0,,
121,MYS,Malaysia,Yes,1,https://statsdw.dosm.gov.my/about-us/standards-and-guidelines/,
122,NAM,Namibia,,0,,
123,NER,Niger,,1,,
124,NGA,Nigeria,,0,,
125,NIC,Nicaragua,,0,,
126,NLD,Netherlands,Yes,1,,
127,NOR,Norway,Yes,1,https://www.ssb.no/en/omssb/kvalitet-i-offisiell-statistikk/prosessmodell-for-statistikkproduksjon,
128,NPL,Nepal,,0,,
129,NRU,Nauru,,0,,
130,NZL,New Zealand,Yes,1,,
131,OMN,Oman,,0,,
132,PAK,Pakistan,,0,,
133,PAN,Panama,,0,,
134,PER,Peru,,0,,
135,PHL,Philippines,,0,,
136,PLW,Palau,,0,,
137,PNG,Papua New Guinea,,0,,
138,POL,Poland,Yes,1,,
139,PRT,Portugal,Yes,1,,
140,PRY,Paraguay,,0,,
141,PSE,West Bank and Gaza,Yes,1,https://www.pcbs.gov.ps/papers/uploads/2018-213-10-32-27-European%20Conference%20on%20Quality%20in%20Official%20Statistics-paper%20final22_Basila%20%20Hiba.pdf,
142,QAT,Qatar,Yes,1,https://www.psa.gov.qa/en/media1/events/Documents/sdgworkshop/presentations/Dr_Ahmad_Hussein_presentation.pdf,
143,ROU,Romania,Yes,1,,
144,RUS,Russian Federation,Yes,1,,
145,RWA,Rwanda,,0,,
146,SAU,Saudi Arabia,Yes,1,,
147,SDN,Sudan,,0,,
148,SEN,Senegal,,0,,
149,SGP,Singapore,Yes,1,https://unstats.un.org/unsd/methodology/dataquality/meetings/NQAF-Beijing-Jan-2022/GSBPM-Singapore.pdf,
150,SLB,Solomon Islands,,0,,
151,SLE,Sierra Leone,,0,,
152,SLV,El Salvador,,0,,
153,SOM,Somalia,,0,,
154,SRB,Serbia,Yes,1,,
155,SSD,South Sudan,,0,,
156,STP,São Tomé and Principe,,0,,
157,SUR,Suriname,,0,,
158,SVK,Slovak Republic,Yes,1,,
159,SVN,Slovenia,Yes,1,,
160,SWE,Sweden,Yes,1,,
161,SWZ,Swaziland,,0,,
162,SYC,Seychelles,,0,,
163,SYR,Syrian Arab Republic,,0,,
164,TCD,Chad,,0,,
165,TGO,Togo,,0,,
166,THA,Thailand,Yes,1,https://dsbb.imf.org/sdds/dqaf-base/country/THA/category/WOE00,
167,TJK,Tajikistan,,0,,
168,TKM,Turkmenistan,,0,,
169,TLS,Timor-Leste,,0,,
170,TON,Tonga,,0,,
171,TTO,Trinidad and Tobago,,0,,
172,TUN,Tunisia,,0,,
173,TUR,Turkey,Yes,1,,
174,TUV,Tuvalu,,0,,
175,TZA,Tanzania,,0,,
176,UGA,Uganda,Yes,1,https://www.ubos.org/wp-content/uploads/publications/07_2023LORES_Metadata_Handbook-A4_FINAL_26.10.22.pdf,
177,UKR,Ukraine,Yes,1,https://su-journal.com.ua/index.php/journal/article/view/310,
178,URY,Uruguay,,0,,
179,USA,United States,Yes,1,,
180,UZB,Uzbekistan,Yes,1,https://dsbb.imf.org/e-gdds/dqaf-base/country/UZB/category/NAG00,
181,VCT,St. Vincent and the Grenadines,,0,,
182,VEN,"Venezuela, RB",,0,,
183,VNM,Vietnam,Yes,1,https://www.stat.go.jp/english/info/meetings/sbjseminar2019/pdf/vietnam.pdf,
184,VUT,Vanuatu,,0,,
185,WSM,Samoa,,0,https://www.sbs.gov.ws/introduction-to-the-principles-of-official-statistics-generic-statistical-business-process-model-for-samoa-bureau-of-statistics/,
186,XKX,Kosovo,,0,,
187,YEM,"Yemen, Rep.",,0,,
188,ZAF,South Africa,Yes,1,,
189,ZMB,Zambia,,0,https://www.linkedin.com/posts/zambia-statistics-agency-zamstats_the-generic-statistical-business-process-activity-7287435249477632000-Rm1H/,
190,ZWE,Zimbabwe,,0,,
