Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Non-proprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2018,Eastern Africa,AFE,Djibouti,DJI,Reproductive health,50,50,50,50,0,40,50,100,50,50,50,60,50
2018,Eastern Africa,AFE,Djibouti,DJI,Gender statistics ,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Poverty & income,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Social statistics subscore,33.3,22.2,22.2,11.1,0,17.8,27.8,66.7,33.3,33.3,22.2,36.7,27.2
2018,Eastern Africa,AFE,Djibouti,DJI,National accounts,50,50,50,0,0,37.5,0,100,0,50,50,40,38.9
2018,Eastern Africa,AFE,Djibouti,DJI,Labor ,100,0,0,0,0,20,0,100,50,50,50,50,35
2018,Eastern Africa,AFE,Djibouti,DJI,Price indexes,50,50,50,0,0,37.5,0,100,0,50,50,40,38.9
2018,Eastern Africa,AFE,Djibouti,DJI,Government finance,100,100,100,0,0,75,0,100,0,50,50,40,55.6
2018,Eastern Africa,AFE,Djibouti,DJI,Money & banking,50,50,50,0,0,50,0,100,0,0,50,30,37.5
2018,Eastern Africa,AFE,Djibouti,DJI,International trade,50,50,50,0,0,50,0,100,0,50,0,30,37.5
2018,Eastern Africa,AFE,Djibouti,DJI,Balance of payments,100,100,100,0,0,100,0,100,0,50,50,40,62.5
2018,Eastern Africa,AFE,Djibouti,DJI,Economic & financial statistics subscore,71.4,57.1,57.1,0,0,50,0,100,7.1,42.9,42.9,38.6,43.4
2018,Eastern Africa,AFE,Djibouti,DJI,Land use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Resource use,50,50,50,0,0,37.5,0,100,50,50,50,50,44.4
2018,Eastern Africa,AFE,Djibouti,DJI,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Built environment,100,50,0,0,0,30,0,100,0,50,50,40,35
2018,Eastern Africa,AFE,Djibouti,DJI,Environment subscore,30,20,10,0,0,13.6,0,40,10,20,20,18,16
2018,Eastern Africa,AFE,Djibouti,DJI,All Categories,44.9,33.1,29.8,4.3,0,25.5,9.3,68.9,16.8,32.1,28.4,31.1,28.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Population & vital statistics,50,50,0,50,0,30,0,100,0,100,0,40,35
2018,Eastern Africa,AFE,Ethiopia,ETH,Education facilities,50,0,50,0,0,20,0,100,50,50,0,40,30
2018,Eastern Africa,AFE,Ethiopia,ETH,Education outcomes,50,0,50,0,0,20,0,100,50,100,0,50,35
2018,Eastern Africa,AFE,Ethiopia,ETH,Health facilities,100,0,50,100,0,50,0,100,50,50,0,40,45
2018,Eastern Africa,AFE,Ethiopia,ETH,Health outcomes,50,50,0,50,0,30,0,100,50,100,0,50,40
2018,Eastern Africa,AFE,Ethiopia,ETH,Reproductive health,100,50,50,50,0,50,0,100,50,50,0,40,45
2018,Eastern Africa,AFE,Ethiopia,ETH,Gender statistics ,50,50,0,0,0,20,0,100,50,100,0,50,35
2018,Eastern Africa,AFE,Ethiopia,ETH,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Poverty & income,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Social statistics subscore,50,22.2,22.2,27.8,0,24.4,0,77.8,33.3,61.1,0,34.4,29.4
2018,Eastern Africa,AFE,Ethiopia,ETH,National accounts,50,0,50,0,0,25,0,100,50,50,0,40,33.3
2018,Eastern Africa,AFE,Ethiopia,ETH,Labor ,100,50,0,50,0,40,0,100,50,100,0,50,45
2018,Eastern Africa,AFE,Ethiopia,ETH,Price indexes,50,50,50,50,0,50,0,100,0,50,0,30,38.9
2018,Eastern Africa,AFE,Ethiopia,ETH,Government finance,100,50,50,0,0,50,0,100,50,50,0,40,44.4
2018,Eastern Africa,AFE,Ethiopia,ETH,Money & banking,100,50,50,0,0,66.7,0,100,50,50,0,40,50
2018,Eastern Africa,AFE,Ethiopia,ETH,International trade,50,50,50,0,0,50,0,100,0,50,0,30,37.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Balance of payments,100,100,100,0,0,100,0,100,0,50,0,30,56.3
2018,Eastern Africa,AFE,Ethiopia,ETH,Economic & financial statistics subscore,78.6,50,50,25,0,51.9,0,100,28.6,57.1,0,37.1,43.4
2018,Eastern Africa,AFE,Ethiopia,ETH,Land use,50,0,50,0,0,20,0,100,50,50,0,40,30
2018,Eastern Africa,AFE,Ethiopia,ETH,Resource use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Built environment,100,50,0,0,0,30,0,100,50,100,0,50,40
2018,Eastern Africa,AFE,Ethiopia,ETH,Environment subscore,30,10,10,0,0,11.4,0,40,20,30,0,18,14.9
2018,Eastern Africa,AFE,Ethiopia,ETH,All Categories,52.9,27.4,27.4,16.4,0,27.8,0,72.6,27.3,49.4,0,29.9,28.9
2018,Eastern Africa,AFE,Kenya,KEN,Population & vital statistics,50,50,50,50,50,50,0,100,0,50,0,30,40
2018,Eastern Africa,AFE,Kenya,KEN,Education facilities,50,50,50,0,0,30,0,100,0,50,0,30,30
2018,Eastern Africa,AFE,Kenya,KEN,Education outcomes,50,50,50,0,0,30,0,100,50,50,0,40,35
2018,Eastern Africa,AFE,Kenya,KEN,Health facilities,100,100,50,50,0,60,0,100,50,50,0,40,50
2018,Eastern Africa,AFE,Kenya,KEN,Health outcomes,50,50,50,50,0,40,0,100,0,100,0,40,40
2018,Eastern Africa,AFE,Kenya,KEN,Reproductive health,100,50,50,0,0,40,0,100,50,50,0,40,40
2018,Eastern Africa,AFE,Kenya,KEN,Gender statistics ,50,50,50,0,0,30,50,100,50,50,0,50,40
2018,Eastern Africa,AFE,Kenya,KEN,Crime & justice,100,100,100,50,50,80,0,100,0,50,0,30,55
2018,Eastern Africa,AFE,Kenya,KEN,Poverty & income,50,50,0,0,0,20,0,100,50,50,0,40,30
2018,Eastern Africa,AFE,Kenya,KEN,Social statistics subscore,66.7,61.1,50,22.2,11.1,42.2,5.6,100,27.8,55.6,0,37.8,40
2018,Eastern Africa,AFE,Kenya,KEN,National accounts,50,50,50,0,0,37.5,0,100,0,50,0,30,33.3
2018,Eastern Africa,AFE,Kenya,KEN,Labor ,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Kenya,KEN,Price indexes,50,50,50,0,0,37.5,0,100,0,50,0,30,33.3
2018,Eastern Africa,AFE,Kenya,KEN,Government finance,100,100,100,50,0,87.5,0,100,50,50,0,40,61.1
2018,Eastern Africa,AFE,Kenya,KEN,Money & banking,100,100,100,0,0,100,0,100,0,100,0,40,62.5
2018,Eastern Africa,AFE,Kenya,KEN,International trade,50,50,50,0,0,50,0,100,0,50,0,30,37.5
2018,Eastern Africa,AFE,Kenya,KEN,Balance of payments,100,100,100,0,0,100,0,100,0,50,0,30,56.3
2018,Eastern Africa,AFE,Kenya,KEN,Economic & financial statistics subscore,64.3,64.3,64.3,12.5,0,53.8,0,85.7,7.1,50,0,28.6,39.3
2018,Eastern Africa,AFE,Kenya,KEN,Land use,50,50,50,50,0,40,0,100,0,50,0,30,35
2018,Eastern Africa,AFE,Kenya,KEN,Resource use,100,100,100,50,0,87.5,0,100,0,50,0,30,55.6
2018,Eastern Africa,AFE,Kenya,KEN,Energy use,50,50,50,0,0,37.5,0,100,0,50,0,30,33.3
2018,Eastern Africa,AFE,Kenya,KEN,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Kenya,KEN,Built environment,100,50,50,50,0,50,50,100,50,50,0,50,50
2018,Eastern Africa,AFE,Kenya,KEN,Environment subscore,60,50,50,30,0,43.2,10,80,10,40,0,28,35.1
2018,Eastern Africa,AFE,Kenya,KEN,All Categories,63.7,58.5,54.8,23.1,7.2,45.8,5.2,88.6,15,48.5,0,31.4,38.2
2018,Eastern Africa,AFE,Madagascar,MDG,Population & vital statistics,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Education facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Education outcomes,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Health facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Health outcomes,50,50,50,0,0,30,0,100,50,50,0,40,35
2018,Eastern Africa,AFE,Madagascar,MDG,Reproductive health,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Gender statistics ,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Poverty & income,50,0,0,0,0,10,0,100,50,0,0,30,20
2018,Eastern Africa,AFE,Madagascar,MDG,Social statistics subscore,11.1,5.6,5.6,0,0,4.4,0,22.2,11.1,5.6,0,7.8,6.1
2018,Eastern Africa,AFE,Madagascar,MDG,National accounts,50,50,50,0,0,37.5,0,100,50,50,0,40,38.9
2018,Eastern Africa,AFE,Madagascar,MDG,Labor ,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Price indexes,50,50,50,0,0,37.5,0,100,0,50,0,30,33.3
2018,Eastern Africa,AFE,Madagascar,MDG,Government finance,100,100,50,0,0,62.5,0,100,0,50,0,30,44.4
2018,Eastern Africa,AFE,Madagascar,MDG,Money & banking,100,100,50,0,0,83.3,0,100,0,50,0,30,50
2018,Eastern Africa,AFE,Madagascar,MDG,International trade,100,100,50,0,0,83.3,0,100,0,50,0,30,50
2018,Eastern Africa,AFE,Madagascar,MDG,Balance of payments,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Economic & financial statistics subscore,57.1,57.1,35.7,0,0,40.4,0,71.4,7.1,35.7,0,22.9,30.3
2018,Eastern Africa,AFE,Madagascar,MDG,Land use,50,50,50,0,0,30,0,100,50,50,0,40,35
2018,Eastern Africa,AFE,Madagascar,MDG,Resource use,100,100,50,50,0,75,0,100,100,50,0,50,61.1
2018,Eastern Africa,AFE,Madagascar,MDG,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Pollution,50,0,50,0,0,25,0,100,50,50,0,40,33.3
2018,Eastern Africa,AFE,Madagascar,MDG,Built environment,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Madagascar,MDG,Environment subscore,40,30,30,10,0,25,0,60,40,30,0,26,25.5
2018,Eastern Africa,AFE,Madagascar,MDG,All Categories,36.1,30.9,23.8,3.9,0,21.5,0,51.2,19.4,23.8,0,18.9,20.1
2018,Eastern Africa,AFE,Malawi,MWI,Population & vital statistics,50,50,50,50,0,40,100,0,50,50,50,50,45
2018,Eastern Africa,AFE,Malawi,MWI,Education facilities,50,50,50,0,0,30,0,100,50,50,50,50,40
2018,Eastern Africa,AFE,Malawi,MWI,Education outcomes,50,50,50,0,0,30,50,100,50,50,50,60,45
2018,Eastern Africa,AFE,Malawi,MWI,Health facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Malawi,MWI,Health outcomes,50,50,50,50,50,50,50,50,50,50,50,50,50
2018,Eastern Africa,AFE,Malawi,MWI,Reproductive health,100,50,50,50,0,50,50,100,50,50,50,60,55
2018,Eastern Africa,AFE,Malawi,MWI,Gender statistics ,50,50,50,0,0,30,0,100,0,50,50,40,35
2018,Eastern Africa,AFE,Malawi,MWI,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Malawi,MWI,Poverty & income,50,0,0,50,50,30,0,100,50,50,50,50,40
2018,Eastern Africa,AFE,Malawi,MWI,Social statistics subscore,44.4,33.3,33.3,22.2,11.1,28.9,27.8,61.1,33.3,38.9,38.9,40,34.4
2018,Eastern Africa,AFE,Malawi,MWI,National accounts,50,50,50,0,0,37.5,0,100,0,50,50,40,38.9
2018,Eastern Africa,AFE,Malawi,MWI,Labor ,100,50,50,50,50,60,50,50,0,50,50,40,50
2018,Eastern Africa,AFE,Malawi,MWI,Price indexes,50,50,50,0,0,37.5,50,100,50,50,50,60,50
2018,Eastern Africa,AFE,Malawi,MWI,Government finance,100,100,100,0,0,75,0,100,50,50,50,50,61.1
2018,Eastern Africa,AFE,Malawi,MWI,Money & banking,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Malawi,MWI,International trade,50,50,50,0,0,50,0,100,0,50,50,40,43.8
2018,Eastern Africa,AFE,Malawi,MWI,Balance of payments,100,100,100,0,0,100,0,100,0,0,50,30,56.3
2018,Eastern Africa,AFE,Malawi,MWI,Economic & financial statistics subscore,64.3,57.1,57.1,12.5,50,51.9,14.3,78.6,14.3,35.7,42.9,37.1,43.4
2018,Eastern Africa,AFE,Malawi,MWI,Land use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Malawi,MWI,Resource use,50,50,50,0,0,37.5,50,100,50,50,50,60,50
2018,Eastern Africa,AFE,Malawi,MWI,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Malawi,MWI,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Malawi,MWI,Built environment,100,50,50,50,50,60,50,100,50,50,50,60,60
2018,Eastern Africa,AFE,Malawi,MWI,Environment subscore,30,20,20,10,25,20.5,20,40,20,20,20,24,22.3
2018,Eastern Africa,AFE,Malawi,MWI,All Categories,46.2,36.8,36.8,15.3,18.3,32.6,20.7,59.9,22.5,31.5,33.9,33.7,33.2
2018,Eastern Africa,AFE,Mauritius,MUS,Population & vital statistics,100,100,50,0,0,50,50,100,50,50,50,60,55
2018,Eastern Africa,AFE,Mauritius,MUS,Education facilities,50,50,50,50,0,40,50,50,0,50,50,40,40
2018,Eastern Africa,AFE,Mauritius,MUS,Education outcomes,50,50,50,50,0,40,50,50,50,50,50,50,45
2018,Eastern Africa,AFE,Mauritius,MUS,Health facilities,100,100,100,0,0,60,0,100,0,50,50,40,50
2018,Eastern Africa,AFE,Mauritius,MUS,Health outcomes,50,50,50,0,0,30,0,100,0,50,50,40,35
2018,Eastern Africa,AFE,Mauritius,MUS,Reproductive health,50,50,50,0,0,30,50,100,50,50,50,60,45
2018,Eastern Africa,AFE,Mauritius,MUS,Gender statistics ,100,100,50,0,0,50,50,50,50,50,50,50,50
2018,Eastern Africa,AFE,Mauritius,MUS,Crime & justice,50,50,50,0,0,30,100,0,50,50,50,50,40
2018,Eastern Africa,AFE,Mauritius,MUS,Poverty & income,100,50,0,0,0,30,0,100,0,50,50,40,35
2018,Eastern Africa,AFE,Mauritius,MUS,Social statistics subscore,72.2,66.7,50,11.1,0,40,38.9,72.2,27.8,50,50,47.8,43.9
2018,Eastern Africa,AFE,Mauritius,MUS,National accounts,100,100,100,0,0,75,100,0,50,100,50,60,66.7
2018,Eastern Africa,AFE,Mauritius,MUS,Labor ,100,100,100,0,0,60,100,100,0,50,50,60,60
2018,Eastern Africa,AFE,Mauritius,MUS,Price indexes,100,100,100,0,0,75,100,100,50,100,50,80,77.8
2018,Eastern Africa,AFE,Mauritius,MUS,Government finance,100,100,100,0,0,75,100,0,50,50,50,50,61.1
2018,Eastern Africa,AFE,Mauritius,MUS,Money & banking,100,100,100,0,0,100,100,50,50,50,50,60,75
2018,Eastern Africa,AFE,Mauritius,MUS,International trade,100,100,100,0,0,100,100,0,50,100,50,60,75
2018,Eastern Africa,AFE,Mauritius,MUS,Balance of payments,100,100,100,0,0,100,100,0,50,50,50,50,68.8
2018,Eastern Africa,AFE,Mauritius,MUS,Economic & financial statistics subscore,100,100,100,0,0,80.8,100,35.7,42.9,71.4,50,60,68.9
2018,Eastern Africa,AFE,Mauritius,MUS,Land use,50,50,50,0,0,30,100,100,50,50,50,70,50
2018,Eastern Africa,AFE,Mauritius,MUS,Resource use,100,100,100,0,0,75,100,100,50,50,50,70,72.2
2018,Eastern Africa,AFE,Mauritius,MUS,Energy use,100,100,100,0,0,75,100,100,0,50,50,60,66.7
2018,Eastern Africa,AFE,Mauritius,MUS,Pollution,100,100,100,0,0,75,100,100,50,50,50,70,72.2
2018,Eastern Africa,AFE,Mauritius,MUS,Built environment,100,0,0,100,0,40,100,100,50,50,50,70,55
2018,Eastern Africa,AFE,Mauritius,MUS,Environment subscore,90,70,70,20,0,56.8,100,100,40,50,50,68,62.8
2018,Eastern Africa,AFE,Mauritius,MUS,All Categories,87.4,78.9,73.3,12.1,0,57.2,79.6,69.3,36.9,57.1,50,58.6,57.9
2018,Eastern Africa,AFE,Mozambique,MOZ,Population & vital statistics,50,50,50,0,0,30,100,0,50,50,0,40,35
2018,Eastern Africa,AFE,Mozambique,MOZ,Education facilities,50,50,50,50,0,40,0,100,0,50,0,30,35
2018,Eastern Africa,AFE,Mozambique,MOZ,Education outcomes,50,50,50,50,0,40,0,100,0,50,0,30,35
2018,Eastern Africa,AFE,Mozambique,MOZ,Health facilities,100,100,100,100,0,80,0,100,0,50,0,30,55
2018,Eastern Africa,AFE,Mozambique,MOZ,Health outcomes,50,50,50,0,0,30,0,100,0,50,0,30,30
2018,Eastern Africa,AFE,Mozambique,MOZ,Reproductive health,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Mozambique,MOZ,Gender statistics ,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Mozambique,MOZ,Crime & justice,50,50,50,50,0,40,0,100,0,50,0,30,35
2018,Eastern Africa,AFE,Mozambique,MOZ,Poverty & income,100,0,0,100,0,40,0,100,50,100,0,50,45
2018,Eastern Africa,AFE,Mozambique,MOZ,Social statistics subscore,50,38.9,38.9,38.9,0,33.3,11.1,66.7,11.1,44.4,0,26.7,30
2018,Eastern Africa,AFE,Mozambique,MOZ,National accounts,50,50,50,0,0,37.5,100,50,50,0,0,40,38.9
2018,Eastern Africa,AFE,Mozambique,MOZ,Labor ,50,50,50,50,0,40,0,100,0,50,0,30,35
2018,Eastern Africa,AFE,Mozambique,MOZ,Price indexes,50,50,50,0,0,37.5,100,0,0,0,0,20,27.8
2018,Eastern Africa,AFE,Mozambique,MOZ,Government finance,100,100,100,0,0,75,0,100,0,50,0,30,50
2018,Eastern Africa,AFE,Mozambique,MOZ,Money & banking,100,100,100,0,0,100,0,100,0,50,0,30,56.3
2018,Eastern Africa,AFE,Mozambique,MOZ,International trade,50,50,50,0,0,50,0,100,0,50,0,30,37.5
2018,Eastern Africa,AFE,Mozambique,MOZ,Balance of payments,100,100,100,0,0,100,0,100,0,50,0,30,56.3
2018,Eastern Africa,AFE,Mozambique,MOZ,Economic & financial statistics subscore,71.4,71.4,71.4,12.5,0,59.6,28.6,78.6,7.1,35.7,0,30,42.6
2018,Eastern Africa,AFE,Mozambique,MOZ,Land use,50,50,50,0,0,30,0,100,0,50,0,30,30
2018,Eastern Africa,AFE,Mozambique,MOZ,Resource use,100,100,100,0,0,75,0,100,0,50,0,30,50
2018,Eastern Africa,AFE,Mozambique,MOZ,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Mozambique,MOZ,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Mozambique,MOZ,Built environment,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Mozambique,MOZ,Environment subscore,30,30,30,0,0,20.5,0,40,0,20,0,12,16
2018,Eastern Africa,AFE,Mozambique,MOZ,All Categories,50.5,46.8,46.8,17.9,0,36.5,13.2,61.7,6.1,33.4,0,22.9,29.2
2018,Eastern Africa,AFE,Rwanda,RWA,Population & vital statistics,100,0,0,50,50,40,100,100,50,100,100,90,65
2018,Eastern Africa,AFE,Rwanda,RWA,Education facilities,50,50,50,0,0,30,50,50,50,50,100,60,45
2018,Eastern Africa,AFE,Rwanda,RWA,Education outcomes,50,50,50,0,0,30,50,100,0,50,100,60,45
2018,Eastern Africa,AFE,Rwanda,RWA,Health facilities,100,50,50,0,0,40,50,50,0,50,100,50,45
2018,Eastern Africa,AFE,Rwanda,RWA,Health outcomes,50,50,50,50,0,40,50,100,0,50,100,60,50
2018,Eastern Africa,AFE,Rwanda,RWA,Reproductive health,100,50,50,0,0,40,50,100,50,50,100,70,55
2018,Eastern Africa,AFE,Rwanda,RWA,Gender statistics ,100,50,50,0,0,40,50,100,50,50,100,70,55
2018,Eastern Africa,AFE,Rwanda,RWA,Crime & justice,50,50,50,50,0,40,50,100,50,50,100,70,55
2018,Eastern Africa,AFE,Rwanda,RWA,Poverty & income,100,50,0,0,0,30,100,100,50,50,100,80,55
2018,Eastern Africa,AFE,Rwanda,RWA,Social statistics subscore,77.8,44.4,38.9,16.7,5.6,36.7,61.1,88.9,33.3,55.6,100,67.8,52.2
2018,Eastern Africa,AFE,Rwanda,RWA,National accounts,50,50,50,0,0,37.5,50,100,0,50,100,60,50
2018,Eastern Africa,AFE,Rwanda,RWA,Labor ,100,50,0,0,0,30,100,100,50,50,50,70,50
2018,Eastern Africa,AFE,Rwanda,RWA,Price indexes,100,100,100,0,0,75,50,100,0,100,100,70,72.2
2018,Eastern Africa,AFE,Rwanda,RWA,Government finance,100,100,100,0,0,75,0,100,50,50,100,60,66.7
2018,Eastern Africa,AFE,Rwanda,RWA,Money & banking,100,100,100,0,0,100,50,100,0,50,100,60,75
2018,Eastern Africa,AFE,Rwanda,RWA,International trade,50,50,50,0,0,50,0,100,0,50,100,50,50
2018,Eastern Africa,AFE,Rwanda,RWA,Balance of payments,100,100,100,0,0,100,0,100,0,50,100,50,68.8
2018,Eastern Africa,AFE,Rwanda,RWA,Economic & financial statistics subscore,85.7,78.6,71.4,0,0,63.5,35.7,100,14.3,57.1,92.9,60,61.5
2018,Eastern Africa,AFE,Rwanda,RWA,Land use,50,50,50,0,0,30,50,100,50,50,50,60,45
2018,Eastern Africa,AFE,Rwanda,RWA,Resource use,100,100,100,50,0,87.5,50,100,50,50,100,70,77.8
2018,Eastern Africa,AFE,Rwanda,RWA,Energy use,50,50,0,0,0,25,100,100,50,50,100,80,55.6
2018,Eastern Africa,AFE,Rwanda,RWA,Pollution,50,50,50,0,0,37.5,100,100,50,50,100,80,61.1
2018,Eastern Africa,AFE,Rwanda,RWA,Built environment,100,50,50,50,50,60,100,100,50,50,100,80,70
2018,Eastern Africa,AFE,Rwanda,RWA,Environment subscore,70,60,50,20,25,47.7,80,100,50,50,90,74,61.7
2018,Eastern Africa,AFE,Rwanda,RWA,All Categories,77.8,61,53.4,14.3,10.1,48,58.9,96.3,32.5,54.2,94.3,67.3,58.3
2018,Eastern Africa,AFE,Seychelles,SYC,Population & vital statistics,100,100,100,50,0,87.5,0,100,0,100,0,40,61.1
2018,Eastern Africa,AFE,Seychelles,SYC,Education facilities,50,50,50,0,0,37.5,0,100,0,50,0,30,33.3
