Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Nonproprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2023,Eastern Africa,AFE,Burundi,BDI,Energy,50,50,50,,,50,0,100,50,50,0,40,43.8
2023,Eastern Africa,AFE,Burundi,BDI,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Burundi,BDI,Built environment,100,50,50,50,0,50,50,100,50,50,50,60,55
2023,Eastern Africa,AFE,Burundi,BDI,Environment subscore,70,60,60,25,0,50,20,80,40,40,10,38,43.5
2023,Eastern Africa,AFE,Burundi,BDI,All Categories,63.1,54.8,53.1,19.9,0,43.7,19,85.2,38.6,44.3,5.7,38.6,40.9
2023,Eastern Africa,AFE,Djibouti,DJI,Population & vital statistics,50,50,50,0,0,30,0,100,50,50,0,40,35
2023,Eastern Africa,AFE,Djibouti,DJI,Education facilities,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Eastern Africa,AFE,Djibouti,DJI,Education outcomes,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Eastern Africa,AFE,Djibouti,DJI,Health facilities,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Djibouti,DJI,Health outcomes,50,50,50,50,0,40,0,100,50,50,0,40,40
2023,Eastern Africa,AFE,Djibouti,DJI,Reproductive health,50,0,0,50,0,20,50,100,50,50,0,50,35
2023,Eastern Africa,AFE,Djibouti,DJI,Food security & nutrition,50,0,0,0,,12.5,0,100,50,50,0,40,27.8
2023,Eastern Africa,AFE,Djibouti,DJI,Gender statistics,0,0,0,0,0,0,100,100,100,50,0,70,35
2023,Eastern Africa,AFE,Djibouti,DJI,Crime & justice,0,0,0,0,0,0,0,100,0,50,0,30,15
2023,Eastern Africa,AFE,Djibouti,DJI,Poverty & income,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Djibouti,DJI,Social statistics subscore,35,25,25,15,0,20.4,15,90,30,45,0,36,28.3
2023,Eastern Africa,AFE,Djibouti,DJI,National accounts,50,50,50,0,,37.5,0,100,50,50,0,40,38.9
2023,Eastern Africa,AFE,Djibouti,DJI,Labor,100,50,0,0,0,30,0,100,50,50,0,40,35
2023,Eastern Africa,AFE,Djibouti,DJI,Price indexes,50,50,50,0,,37.5,100,100,50,50,0,60,50
2023,Eastern Africa,AFE,Djibouti,DJI,Government finance,100,100,100,0,,75,0,100,0,50,0,30,50
2023,Eastern Africa,AFE,Djibouti,DJI,Money & banking,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Eastern Africa,AFE,Djibouti,DJI,International trade,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Eastern Africa,AFE,Djibouti,DJI,Balance of payments,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Eastern Africa,AFE,Djibouti,DJI,Economic & financial statistics subscore,71.4,64.3,57.1,0,0,51.9,14.3,100,21.4,50,0,37.1,43.4
2023,Eastern Africa,AFE,Djibouti,DJI,Agriculture and land use,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Djibouti,DJI,Resource use,50,50,50,50,,50,0,100,0,50,0,30,38.9
2023,Eastern Africa,AFE,Djibouti,DJI,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Djibouti,DJI,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Djibouti,DJI,Built environment,100,50,50,50,0,50,0,100,0,50,0,30,40
2023,Eastern Africa,AFE,Djibouti,DJI,Environment subscore,30,20,20,25,0,21.4,0,40,0,20,0,12,16.3
2023,Eastern Africa,AFE,Djibouti,DJI,All Categories,45.5,36.4,34,14.8,0,29.9,9.8,76.7,17.1,38.3,0,28.4,29.1
2023,Eastern Africa,AFE,Ethiopia,ETH,Population & vital statistics,50,50,50,50,50,50,0,100,0,50,0,30,40
2023,Eastern Africa,AFE,Ethiopia,ETH,Education facilities,50,50,50,0,0,30,100,100,100,0,0,60,45
2023,Eastern Africa,AFE,Ethiopia,ETH,Education outcomes,50,50,50,0,0,30,100,100,50,0,0,50,40
2023,Eastern Africa,AFE,Ethiopia,ETH,Health facilities,50,50,50,50,0,40,100,100,100,0,0,60,50
2023,Eastern Africa,AFE,Ethiopia,ETH,Health outcomes,50,0,0,50,0,20,0,100,50,50,0,40,30
2023,Eastern Africa,AFE,Ethiopia,ETH,Reproductive health,50,0,0,50,0,20,50,100,50,50,0,50,35
2023,Eastern Africa,AFE,Ethiopia,ETH,Food security & nutrition,100,0,0,0,,25,0,100,50,50,0,40,33.3
2023,Eastern Africa,AFE,Ethiopia,ETH,Gender statistics,50,50,50,0,0,30,50,100,50,50,0,50,40
2023,Eastern Africa,AFE,Ethiopia,ETH,Crime & justice,100,50,50,50,0,50,100,100,100,0,0,60,55
2023,Eastern Africa,AFE,Ethiopia,ETH,Poverty & income,100,0,0,100,0,40,50,100,50,50,0,50,45
2023,Eastern Africa,AFE,Ethiopia,ETH,Social statistics subscore,65,30,30,35,5.6,33.7,55,100,60,30,0,49,41.4
2023,Eastern Africa,AFE,Ethiopia,ETH,National accounts,50,50,50,0,,37.5,100,100,100,100,0,80,61.1
2023,Eastern Africa,AFE,Ethiopia,ETH,Labor,100,50,50,100,100,80,0,100,0,50,0,30,55
2023,Eastern Africa,AFE,Ethiopia,ETH,Price indexes,50,50,50,50,,50,50,100,0,50,0,40,44.4
2023,Eastern Africa,AFE,Ethiopia,ETH,Government finance,100,50,50,0,,50,100,100,50,0,0,50,50
2023,Eastern Africa,AFE,Ethiopia,ETH,Money & banking,50,50,50,,,50,100,100,50,0,0,50,50
2023,Eastern Africa,AFE,Ethiopia,ETH,International trade,100,50,50,,,66.7,100,100,100,100,0,80,75
2023,Eastern Africa,AFE,Ethiopia,ETH,Balance of payments,50,50,50,,,50,100,100,100,0,0,60,56.3
2023,Eastern Africa,AFE,Ethiopia,ETH,Economic & financial statistics subscore,71.4,50,50,37.5,100,55.8,78.6,100,57.1,42.9,0,55.7,55.7
2023,Eastern Africa,AFE,Ethiopia,ETH,Agriculture and land use,50,50,50,50,50,50,0,100,0,50,0,30,40
2023,Eastern Africa,AFE,Ethiopia,ETH,Resource use,50,50,50,0,,37.5,100,100,100,0,0,60,50
2023,Eastern Africa,AFE,Ethiopia,ETH,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Ethiopia,ETH,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Ethiopia,ETH,Built environment,100,0,0,0,0,20,0,100,50,50,0,40,30
2023,Eastern Africa,AFE,Ethiopia,ETH,Environment subscore,40,20,20,12.5,25,23.8,20,60,30,20,0,26,25
2023,Eastern Africa,AFE,Ethiopia,ETH,All Categories,58.8,33.3,33.3,28,20.3,36.8,51.2,86.7,49,31,0,43.6,40.5
2023,Eastern Africa,AFE,Kenya,KEN,Population & vital statistics,100,100,100,50,50,80,0,100,0,50,0,30,55
2023,Eastern Africa,AFE,Kenya,KEN,Education facilities,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Eastern Africa,AFE,Kenya,KEN,Education outcomes,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Eastern Africa,AFE,Kenya,KEN,Health facilities,100,100,100,50,0,70,0,100,0,50,0,30,50
2023,Eastern Africa,AFE,Kenya,KEN,Health outcomes,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Kenya,KEN,Reproductive health,100,0,0,0,0,20,0,100,50,100,0,50,35
2023,Eastern Africa,AFE,Kenya,KEN,Food security & nutrition,100,0,0,0,,25,0,100,50,50,0,40,33.3
2023,Eastern Africa,AFE,Kenya,KEN,Gender statistics,100,50,50,50,0,50,0,100,50,50,0,40,45
2023,Eastern Africa,AFE,Kenya,KEN,Crime & justice,100,100,100,50,50,80,0,100,0,50,0,30,55
2023,Eastern Africa,AFE,Kenya,KEN,Poverty & income,50,50,0,0,0,20,0,100,50,50,0,40,30
2023,Eastern Africa,AFE,Kenya,KEN,Social statistics subscore,80,55,50,25,11.1,44.9,0,100,20,55,0,35,39.9
2023,Eastern Africa,AFE,Kenya,KEN,National accounts,50,50,50,0,,37.5,0,100,0,50,0,30,33.3
2023,Eastern Africa,AFE,Kenya,KEN,Labor,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Eastern Africa,AFE,Kenya,KEN,Price indexes,100,100,100,0,,75,0,100,0,50,0,30,50
2023,Eastern Africa,AFE,Kenya,KEN,Government finance,100,100,100,50,,87.5,0,100,0,50,0,30,55.6
2023,Eastern Africa,AFE,Kenya,KEN,Money & banking,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Eastern Africa,AFE,Kenya,KEN,International trade,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Eastern Africa,AFE,Kenya,KEN,Balance of payments,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Eastern Africa,AFE,Kenya,KEN,Economic & financial statistics subscore,78.6,78.6,78.6,12.5,0,65.4,0,100,0,50,0,30,45.1
2023,Eastern Africa,AFE,Kenya,KEN,Agriculture and land use,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Kenya,KEN,Resource use,100,50,50,50,,62.5,0,100,0,50,0,30,44.4
2023,Eastern Africa,AFE,Kenya,KEN,Energy,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Eastern Africa,AFE,Kenya,KEN,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Kenya,KEN,Built environment,100,50,0,50,50,50,0,100,50,50,0,40,45
2023,Eastern Africa,AFE,Kenya,KEN,Environment subscore,70,50,40,37.5,25,47.6,0,80,10,40,0,26,35.9
2023,Eastern Africa,AFE,Kenya,KEN,All Categories,76.2,61.2,56.2,26.2,13.9,51.7,0,93.3,10,48.3,0,30.3,40.2
2023,Eastern Africa,AFE,Madagascar,MDG,Population & vital statistics,100,50,0,50,0,40,0,100,50,50,0,40,40
2023,Eastern Africa,AFE,Madagascar,MDG,Education facilities,50,0,50,50,50,40,100,100,0,50,0,50,45
2023,Eastern Africa,AFE,Madagascar,MDG,Education outcomes,100,50,50,50,50,60,50,100,0,50,0,40,50
2023,Eastern Africa,AFE,Madagascar,MDG,Health facilities,50,0,50,0,0,20,0,100,0,50,0,30,25
2023,Eastern Africa,AFE,Madagascar,MDG,Health outcomes,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Madagascar,MDG,Reproductive health,100,50,50,50,0,50,0,100,50,50,0,40,45
2023,Eastern Africa,AFE,Madagascar,MDG,Food security & nutrition,100,50,50,0,,50,0,100,0,50,0,30,38.9
2023,Eastern Africa,AFE,Madagascar,MDG,Gender statistics,50,50,0,50,0,30,0,100,50,100,0,50,40
2023,Eastern Africa,AFE,Madagascar,MDG,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Madagascar,MDG,Poverty & income,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Madagascar,MDG,Social statistics subscore,60,30,30,30,11.1,32.7,15,80,15,45,0,31,31.8
2023,Eastern Africa,AFE,Madagascar,MDG,National accounts,50,50,50,0,,37.5,50,100,50,50,0,50,44.4
2023,Eastern Africa,AFE,Madagascar,MDG,Labor,100,50,0,50,0,40,0,100,50,100,0,50,45
2023,Eastern Africa,AFE,Madagascar,MDG,Price indexes,50,50,50,0,,37.5,50,100,50,50,0,50,44.4
2023,Eastern Africa,AFE,Madagascar,MDG,Government finance,100,100,100,0,,75,0,100,0,100,0,40,55.6
2023,Eastern Africa,AFE,Madagascar,MDG,Money & banking,100,100,100,,,100,0,100,0,100,0,40,62.5
2023,Eastern Africa,AFE,Madagascar,MDG,International trade,100,100,100,,,100,0,100,50,100,0,50,68.8
2023,Eastern Africa,AFE,Madagascar,MDG,Balance of payments,0,0,0,,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Madagascar,MDG,Economic & financial statistics subscore,71.4,64.3,57.1,12.5,0,53.8,14.3,85.7,28.6,71.4,0,40,45.9
2023,Eastern Africa,AFE,Madagascar,MDG,Agriculture and land use,50,0,50,0,0,20,0,100,50,50,0,40,30
2023,Eastern Africa,AFE,Madagascar,MDG,Resource use,50,50,50,0,,37.5,0,100,50,50,0,40,38.9
2023,Eastern Africa,AFE,Madagascar,MDG,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Madagascar,MDG,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Madagascar,MDG,Built environment,50,50,0,50,0,30,0,100,50,50,0,40,35
2023,Eastern Africa,AFE,Madagascar,MDG,Environment subscore,30,20,20,12.5,0,19,0,60,30,30,0,24,21.7
2023,Eastern Africa,AFE,Madagascar,MDG,All Categories,53.8,38.1,35.7,19.9,6.9,34.3,9.8,75.2,24.5,48.8,0,31.7,32.9
2023,Eastern Africa,AFE,Malawi,MWI,Population & vital statistics,50,50,50,50,50,50,50,100,50,50,50,60,55
2023,Eastern Africa,AFE,Malawi,MWI,Education facilities,50,50,50,0,0,30,0,100,50,50,50,50,40
2023,Eastern Africa,AFE,Malawi,MWI,Education outcomes,50,50,50,0,0,30,0,100,0,50,50,40,35
2023,Eastern Africa,AFE,Malawi,MWI,Health facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Malawi,MWI,Health outcomes,50,50,50,50,50,50,0,100,0,50,50,40,45
2023,Eastern Africa,AFE,Malawi,MWI,Reproductive health,100,50,50,50,50,60,0,100,50,50,50,50,55
2023,Eastern Africa,AFE,Malawi,MWI,Food security & nutrition,100,100,0,0,,50,0,100,0,50,50,40,44.4
2023,Eastern Africa,AFE,Malawi,MWI,Gender statistics,50,50,0,50,50,40,50,100,50,50,50,60,50
2023,Eastern Africa,AFE,Malawi,MWI,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Malawi,MWI,Poverty & income,50,50,0,50,50,40,0,100,50,50,50,50,45
2023,Eastern Africa,AFE,Malawi,MWI,Social statistics subscore,50,45,25,25,27.8,34.7,10,80,25,40,40,39,36.9
2023,Eastern Africa,AFE,Malawi,MWI,National accounts,50,50,50,0,,37.5,0,100,0,50,50,40,38.9
2023,Eastern Africa,AFE,Malawi,MWI,Labor,100,100,0,50,50,60,0,100,0,50,50,40,50
2023,Eastern Africa,AFE,Malawi,MWI,Price indexes,100,100,100,50,,87.5,50,100,0,50,50,50,66.7
2023,Eastern Africa,AFE,Malawi,MWI,Government finance,100,50,50,0,,50,0,100,50,50,50,50,50
2023,Eastern Africa,AFE,Malawi,MWI,Money & banking,50,50,50,,,50,0,100,0,50,50,40,43.8
2023,Eastern Africa,AFE,Malawi,MWI,International trade,50,0,50,,,33.3,0,100,0,50,50,40,37.5
2023,Eastern Africa,AFE,Malawi,MWI,Balance of payments,100,100,100,,,100,0,100,0,50,50,40,62.5
2023,Eastern Africa,AFE,Malawi,MWI,Economic & financial statistics subscore,78.6,64.3,57.1,25,50,59.6,7.1,100,7.1,50,50,42.9,50
2023,Eastern Africa,AFE,Malawi,MWI,Agriculture and land use,50,50,50,0,0,30,0,100,0,50,50,40,35
2023,Eastern Africa,AFE,Malawi,MWI,Resource use,50,0,50,0,,25,0,100,50,50,50,50,38.9
2023,Eastern Africa,AFE,Malawi,MWI,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Malawi,MWI,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Malawi,MWI,Built environment,100,100,100,50,50,80,0,100,0,50,50,40,60
2023,Eastern Africa,AFE,Malawi,MWI,Environment subscore,40,30,40,12.5,25,31,0,60,10,30,30,26,28.3
2023,Eastern Africa,AFE,Malawi,MWI,All Categories,56.2,46.4,40.7,20.8,29.2,40.7,5.7,80,14,40,40,36,38.1
2023,Eastern Africa,AFE,Mauritius,MUS,Population & vital statistics,50,50,50,0,0,30,100,100,50,50,50,70,50
2023,Eastern Africa,AFE,Mauritius,MUS,Education facilities,50,50,50,50,0,40,100,100,0,50,50,60,50
2023,Eastern Africa,AFE,Mauritius,MUS,Education outcomes,100,100,100,0,0,60,100,100,50,50,50,70,65
2023,Eastern Africa,AFE,Mauritius,MUS,Health facilities,100,50,50,0,0,40,50,100,50,50,50,60,50
2023,Eastern Africa,AFE,Mauritius,MUS,Health outcomes,50,50,50,0,0,30,0,100,50,50,0,40,35
2023,Eastern Africa,AFE,Mauritius,MUS,Reproductive health,50,50,50,0,0,30,50,100,50,50,50,60,45
2023,Eastern Africa,AFE,Mauritius,MUS,Food security & nutrition,50,0,0,0,,12.5,0,100,50,50,0,40,27.8
2023,Eastern Africa,AFE,Mauritius,MUS,Gender statistics,100,100,100,0,0,60,100,50,50,50,50,60,60
2023,Eastern Africa,AFE,Mauritius,MUS,Crime & justice,50,50,50,0,0,30,100,50,50,50,50,60,45
2023,Eastern Africa,AFE,Mauritius,MUS,Poverty & income,100,50,0,0,0,30,0,100,50,50,50,50,40
2023,Eastern Africa,AFE,Mauritius,MUS,Social statistics subscore,70,55,50,5,0,36.7,60,90,45,50,40,57,47
2023,Eastern Africa,AFE,Mauritius,MUS,National accounts,50,50,50,0,,37.5,100,50,50,100,50,70,55.6
2023,Eastern Africa,AFE,Mauritius,MUS,Labor,100,100,100,0,0,60,100,100,50,100,50,80,70
2023,Eastern Africa,AFE,Mauritius,MUS,Price indexes,100,100,100,0,,75,100,50,0,50,50,50,61.1
2023,Eastern Africa,AFE,Mauritius,MUS,Government finance,100,100,100,0,,75,100,0,50,50,50,50,61.1
2023,Eastern Africa,AFE,Mauritius,MUS,Money & banking,100,50,50,,,66.7,50,50,50,50,50,50,56.3
2023,Eastern Africa,AFE,Mauritius,MUS,International trade,100,100,100,,,100,100,0,50,100,50,60,75
2023,Eastern Africa,AFE,Mauritius,MUS,Balance of payments,100,100,100,,,100,100,0,50,50,50,50,68.8
2023,Eastern Africa,AFE,Mauritius,MUS,Economic & financial statistics subscore,92.9,85.7,85.7,0,0,71.2,92.9,35.7,42.9,71.4,50,58.6,63.9
2023,Eastern Africa,AFE,Mauritius,MUS,Agriculture and land use,50,50,50,50,0,40,100,100,50,50,50,70,55
2023,Eastern Africa,AFE,Mauritius,MUS,Resource use,100,50,50,0,,50,100,50,50,100,50,70,61.1
2023,Eastern Africa,AFE,Mauritius,MUS,Energy,50,50,50,,,50,100,100,50,50,50,70,62.5
2023,Eastern Africa,AFE,Mauritius,MUS,Pollution,100,50,50,50,,62.5,100,50,50,50,50,60,61.1
2023,Eastern Africa,AFE,Mauritius,MUS,Built environment,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Mauritius,MUS,Environment subscore,60,40,40,25,0,38.1,80,60,40,50,40,54,46.7
2023,Eastern Africa,AFE,Mauritius,MUS,All Categories,74.3,60.2,58.6,10.5,0,47.2,77.6,61.9,42.6,57.1,43.3,56.5,52.2
2023,Eastern Africa,AFE,Mozambique,MOZ,Population & vital statistics,100,100,100,50,50,80,50,50,50,50,50,50,65
2023,Eastern Africa,AFE,Mozambique,MOZ,Education facilities,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Mozambique,MOZ,Education outcomes,50,50,50,50,0,40,0,100,50,50,0,40,40
2023,Eastern Africa,AFE,Mozambique,MOZ,Health facilities,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Mozambique,MOZ,Health outcomes,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Eastern Africa,AFE,Mozambique,MOZ,Reproductive health,100,50,50,50,0,50,0,100,50,50,0,40,45
2023,Eastern Africa,AFE,Mozambique,MOZ,Food security & nutrition,50,0,0,50,,25,0,100,50,50,0,40,33.3
2023,Eastern Africa,AFE,Mozambique,MOZ,Gender statistics,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Mozambique,MOZ,Crime & justice,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Mozambique,MOZ,Poverty & income,50,0,0,50,0,20,0,100,50,50,0,40,30
2023,Eastern Africa,AFE,Mozambique,MOZ,Social statistics subscore,60,45,45,45,5.6,40.8,5,95,25,50,5,36,38.4
2023,Eastern Africa,AFE,Mozambique,MOZ,National accounts,50,50,50,0,,37.5,0,100,50,50,0,40,38.9
2023,Eastern Africa,AFE,Mozambique,MOZ,Labor,100,50,50,100,0,60,0,100,0,50,0,30,45
2023,Eastern Africa,AFE,Mozambique,MOZ,Price indexes,50,50,50,50,,50,100,50,0,0,0,30,38.9
2023,Eastern Africa,AFE,Mozambique,MOZ,Government finance,100,50,100,0,,62.5,0,100,0,50,0,30,44.4
2023,Eastern Africa,AFE,Mozambique,MOZ,Money & banking,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Eastern Africa,AFE,Mozambique,MOZ,International trade,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Eastern Africa,AFE,Mozambique,MOZ,Balance of payments,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Eastern Africa,AFE,Mozambique,MOZ,Economic & financial statistics subscore,78.6,64.3,71.4,37.5,0,63.5,14.3,92.9,7.1,42.9,0,31.4,45.1
2023,Eastern Africa,AFE,Mozambique,MOZ,Agriculture and land use,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Eastern Africa,AFE,Mozambique,MOZ,Resource use,100,50,50,0,,50,0,100,0,50,0,30,38.9
2023,Eastern Africa,AFE,Mozambique,MOZ,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Mozambique,MOZ,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Mozambique,MOZ,Built environment,100,50,0,50,0,40,0,100,50,50,0,40,40
2023,Eastern Africa,AFE,Mozambique,MOZ,Environment subscore,50,30,20,12.5,0,26.2,0,60,10,30,0,20,22.8
2023,Eastern Africa,AFE,Mozambique,MOZ,All Categories,62.9,46.4,45.5,32.2,3.5,42.6,6.4,82.6,14,41,1.7,29.1,35.3
2023,Eastern Africa,AFE,Rwanda,RWA,Population & vital statistics,100,100,100,50,50,80,50,100,50,50,50,60,70
2023,Eastern Africa,AFE,Rwanda,RWA,Education facilities,100,100,100,50,50,80,50,50,50,50,50,50,65
2023,Eastern Africa,AFE,Rwanda,RWA,Education outcomes,50,50,50,50,50,50,100,100,50,50,50,70,60
2023,Eastern Africa,AFE,Rwanda,RWA,Health facilities,100,50,50,0,0,40,50,50,50,50,100,60,50
2023,Eastern Africa,AFE,Rwanda,RWA,Health outcomes,50,50,0,50,0,30,0,100,0,50,100,50,40
2023,Eastern Africa,AFE,Rwanda,RWA,Reproductive health,100,50,50,50,50,60,50,100,50,50,100,70,65
2023,Eastern Africa,AFE,Rwanda,RWA,Food security & nutrition,100,50,0,0,,37.5,0,100,0,100,100,60,50
2023,Eastern Africa,AFE,Rwanda,RWA,Gender statistics,50,50,50,0,0,30,50,100,0,50,100,60,45
2023,Eastern Africa,AFE,Rwanda,RWA,Crime & justice,50,0,50,50,0,30,0,100,50,50,100,60,45
2023,Eastern Africa,AFE,Rwanda,RWA,Poverty & income,100,0,0,100,100,60,100,100,0,50,100,70,65
2023,Eastern Africa,AFE,Rwanda,RWA,Social statistics subscore,80,50,45,40,33.3,50,45,90,30,55,85,61,55.6
2023,Eastern Africa,AFE,Rwanda,RWA,National accounts,100,100,100,0,,75,50,50,0,50,50,40,55.6
2023,Eastern Africa,AFE,Rwanda,RWA,Labor,100,100,100,0,0,60,50,100,0,50,100,60,60
2023,Eastern Africa,AFE,Rwanda,RWA,Price indexes,100,100,100,50,,87.5,100,100,50,50,100,80,83.3
2023,Eastern Africa,AFE,Rwanda,RWA,Government finance,100,50,100,0,,62.5,100,100,50,50,100,80,72.2
2023,Eastern Africa,AFE,Rwanda,RWA,Money & banking,100,100,100,,,100,50,100,0,50,50,50,68.8
2023,Eastern Africa,AFE,Rwanda,RWA,International trade,50,50,50,,,50,50,100,0,50,50,50,50
2023,Eastern Africa,AFE,Rwanda,RWA,Balance of payments,100,100,100,,,100,50,100,0,50,50,50,68.8
2023,Eastern Africa,AFE,Rwanda,RWA,Economic & financial statistics subscore,92.9,85.7,92.9,12.5,0,75,64.3,92.9,14.3,50,71.4,58.6,65.6
2023,Eastern Africa,AFE,Rwanda,RWA,Agriculture and land use,50,50,50,0,0,30,50,100,50,50,100,70,50
2023,Eastern Africa,AFE,Rwanda,RWA,Resource use,100,100,100,0,,75,50,100,0,50,100,60,66.7
2023,Eastern Africa,AFE,Rwanda,RWA,Energy,50,50,0,,,33.3,100,100,100,50,0,70,56.3
2023,Eastern Africa,AFE,Rwanda,RWA,Pollution,50,0,50,0,,25,100,100,0,50,100,70,50
