"country","source_id","value","descript","spi_indicator_description","spi_indicator_scoring","Pillar","color","max","Score"
"Japan","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Costa Rica","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Mexico","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Italy","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Portugal","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Finland","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Israel","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"United States","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Germany","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Chile","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Lithuania","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Austria","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Australia","SPI.DIM1.5.INDEX",0.8,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#FDE74C",1,80
"Estonia","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Switzerland","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"United Kingdom","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"France","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Singapore","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Ireland","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Latvia","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Hungary","SPI.DIM1.5.INDEX",0.9,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#FDE74C",1,90
"Georgia","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Belgium","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"North Macedonia","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Czechia","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Greece","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Luxembourg","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Moldova","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Netherlands","SPI.DIM1.5.INDEX",0.8,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#FDE74C",1,80
