"country","iso3c","date","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D3.13.CLMT","SPI.D3.NA","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI","income","region","weights","population"
"Costa Rica","CRI",2024,100,88.96666666666665,89.78125,72.84166666666667,95,89.31791666666666,1,1,0.669,1,0.8983333333333333,0.9375,0.7085,0.9665,0.6666666666666666,0.866,1,0.381,1,0.95,1,1,1,1,1,1,1,1,0.6859999999999999,0.586,0.624,0.4479999999999999,0.669,1,1,0.8,0.84,1,0.75,1,1,1,1,0.875,0.75,1,0.917,1,0.933,0.5,0,1,1,0,1,1,1,0.33,1,1,0.381,1,1,1,1,0.5,1,1,1,1,1,1,1,"High income","Latin America & Caribbean",1,5129910
"Mexico","MEX",2024,100,93.23333333333332,92.21875,80.96666666666667,80,89.28375000000001,1,1,0.797,1,0.9633333333333334,0.9375,0.7085,0.9665,0.6666666666666666,0.934,1,0.638,1,0.8,1,1,1,1,1,1,1,0.85,0.967,0.75,0.614,0.802,0.797,1,1,0.9,0.88,1,1,1,1,1,1,0.875,0.75,1,0.917,1,0.933,0.5,0,1,1,0,1,1,1,0.67,1,1,0.638,1,1,0.5,1,0,1,1,0.5,1,1,1,1,"Upper middle income","Latin America & Caribbean",1,130861007
"Italy","ITA",2024,100,92.69999999999999,88.80624999999999,79.81666666666666,85,89.26458333333332,1,1,0.7809999999999999,1,0.8683333333333333,0.893,0.9585,0.862,0.6666666666666666,1,1,0.526,1,0.85,1,1,1,1,1,1,1,0.967,0.919,0.7759999999999999,0.524,0.721,0.7809999999999999,1,1,0.7,0.76,1,0.75,1,0.833,1,0.9,0.875,0.75,1,0.917,0.857,0.867,1,0,1,1,0,1,1,1,1,1,1,0.526,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,58986023
"Portugal","PRT",2024,100,97.63333333333333,90.30624999999999,77.26666666666667,80,89.04124999999999,1,1,0.929,1,0.8678333333333333,0.9096666666666666,0.9585,0.9335,0.6666666666666666,1,1,0.424,1,0.8,1,1,1,1,1,1,1,1,0.905,0.852,0.936,0.952,0.929,1,1,0.8,0.8,1,0.75,0.857,0.833,1,1,0.875,0.75,1,0.917,1,0.867,1,0,1,1,0,1,1,1,1,1,1,0.424,1,1,1,1,0,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,10701636
"Finland","FIN",2024,100,98.2,81.55624999999999,78.76666666666668,85,88.70458333333335,1,1,0.946,1,0.8011666666666667,0.8263333333333334,0.7085,0.9335,0.6666666666666666,0.934,1,0.55,1,0.85,1,1,1,1,1,1,1,0.983,1,0.917,0.8690000000000001,0.96,0.946,1,0.8,0.6,0.8,1,0.75,0.857,0.833,1,1,0.625,0.5,1,0.917,1,0.867,0.5,0,1,1,0,1,1,1,0.67,1,1,0.55,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,5637214
"Israel","ISR",2024,100,94.19999999999999,78.14375,75.79166666666666,95,88.62708333333333,1,1,0.826,1,0.8078333333333333,0.818,0.5835,0.7905,0.6666666666666666,1,1,0.365,1,0.95,1,1,1,1,1,1,1,1,0.983,0.5710000000000001,0.574,1,0.826,1,0.8,0.7,0.8,0.833,1,0.714,0.833,1,0.7,0.875,0.5,1,0.667,0.714,0.867,0.5,0,1,1,0,1,1,1,1,1,1,0.365,1,1,1,1,0.5,1,1,1,1,1,1,1,"High income","Middle East, North Africa, Afghanistan & Pakistan",1,9974400
"United States","USA",2024,100,95,88.36875,78.59166666666665,80,88.39208333333333,1,1,0.85,1,0.8678333333333333,0.893,0.9585,0.8285,0.6666666666666666,1,1,0.477,1,0.8,1,1,1,1,1,1,1,0.917,1,0.7829999999999999,0.5479999999999999,1,0.85,1,1,0.8,0.8,1,0.75,0.857,0.833,1,0.9,0.875,0.75,1,0.917,0.857,0.8,1,0,1,1,0,1,1,1,1,1,1,0.477,1,1,1,1,0,1,1,1,1,0,1,1,"High income","North America",1,340110988
"Germany","DEU",2024,100,95.33333333333331,83.84375,77.76666666666667,85,88.38875,1,1,0.86,1,0.8345,0.868,0.6665,0.9335,0.6666666666666666,1,1,0.444,1,0.85,1,1,1,1,1,1,1,1,1,0.721,0.581,1,0.86,1,0.8,0.8,0.8,1,0.75,0.857,0.833,1,1,0.875,0.5,1,0.833,1,0.867,0.5,0,1,1,0,1,1,1,1,1,1,0.444,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,83510950
"Chile","CHL",2024,100,88.23333333333332,82.3875,72.94166666666666,95,87.71249999999999,1,1,0.647,1,0.7833333333333333,0.8458333333333333,0.875,0.8285,0.6666666666666666,0.6,1,0.6509999999999999,1,0.95,1,1,1,1,1,1,1,0.867,0.857,0.44,0.5,0.5710000000000001,0.647,1,0.8,0.7,0.76,0.833,0.75,0.857,1,0.875,0.7,0.75,0.75,1,0.75,0.857,0.8,1,0,1,1,0,1,0,1,0,1,1,0.6509999999999999,1,1,1,1,0.5,1,1,1,1,1,1,1,"High income","Latin America & Caribbean",1,19764771
"Lithuania","LTU",2024,100,92,89.30624999999999,72.16666666666667,85,87.69458333333333,1,1,0.76,1,0.9095,0.893,0.875,0.862,0.6666666666666666,0.934,1,0.28600000000000003,1,0.85,1,1,1,1,1,1,1,0.95,1,0.91,0.7290000000000001,0.214,0.76,1,1,0.8,0.8,1,1,0.857,0.833,1,0.9,0.875,0.75,1,0.75,0.857,0.867,1,0,1,1,0,1,1,1,0.67,1,1,0.28600000000000003,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,2888055
"Austria","AUT",2024,100,92.43333333333332,89.05624999999999,71.91666666666667,85,87.68125,1,1,0.773,1,0.8345,0.9096666666666666,0.9585,0.9335,0.6666666666666666,0.934,1,0.276,1,0.85,1,1,1,1,1,1,1,0.983,1,0.695,0.736,0.452,0.773,1,1,0.6,0.8,1,0.75,0.857,0.833,1,1,0.875,0.75,1,0.917,1,0.867,1,0,1,1,0,1,1,1,0.67,1,1,0.276,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,9178482
"Australia","AUS",2024,80,95.16666666666667,85.23749999999998,76.11666666666666,100,87.30416666666667,0.8,1,0.855,1,0.8106666666666666,0.8555,0.9585,0.862,0.6666666666666666,1,1,0.37799999999999995,1,1,1,1,1,1,0,1,1,0.983,0.9,0.588,0.802,1,0.855,1,0.8,0.8,0.8,1,0.75,0.714,0.833,1,0.8,0.75,0.75,1,0.917,0.857,0.867,1,0,1,1,0,1,1,1,1,1,1,0.37799999999999995,1,1,1,1,1,1,1,1,1,1,1,1,"High income","East Asia & Pacific",1,27204809
"Estonia","EST",2024,100,96.29999999999998,83.43750000000001,75.86666666666666,80,87.12083333333335,1,1,0.889,1,0.8583333333333334,0.8471666666666666,0.625,0.9335,0.6666666666666666,1,1,0.368,1,0.8,1,1,1,1,1,1,1,0.967,0.967,0.933,0.705,0.871,0.889,1,0.8,0.8,0.8,1,0.75,1,0.833,1,1,0.75,0.5,1,0.75,1,0.867,0.5,0,1,1,0,1,1,1,1,1,1,0.368,1,1,1,1,0,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,1371986
"Switzerland","CHE",2024,100,87.9,86.4625,75.86666666666666,85,87.04583333333335,1,1,0.637,1,0.8378333333333333,0.8721666666666666,0.9585,0.8285,0.6666666666666666,1,1,0.368,1,0.85,1,1,1,1,1,1,1,0.933,1,0.581,0.655,0.017,0.637,1,1,0.7,0.72,1,0.75,0.857,0.833,1,0.9,0.75,0.75,1,0.917,0.857,0.8,1,0,1,1,0,1,1,1,1,1,1,0.368,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,9034102
"United Kingdom","GBR",2024,100,92.6,86.6625,69.29166666666666,85,86.71083333333333,1,1,0.778,1,0.8516666666666667,0.8763333333333333,0.9585,0.7905,0.6666666666666666,0.934,1,0.171,1,0.85,1,1,1,1,1,1,1,0.933,0.8290000000000001,0.54,0.655,0.933,0.778,1,1,0.7,0.72,0.833,1,0.857,0.833,1,0.8,0.875,0.75,1,0.917,0.714,0.867,1,0,1,1,0,1,1,1,0.67,1,1,0.171,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,69226000
"France","FRA",2024,100,90.16666666666666,88.80624999999999,69.54166666666667,85,86.70291666666668,1,1,0.705,1,0.8278333333333333,0.9096666666666666,0.9585,0.9335,0.6666666666666666,1,1,0.115,1,0.85,1,1,1,1,1,1,1,0.6759999999999999,0.926,0.524,0.5,0.9,0.705,1,1,0.6,0.76,1,0.75,0.857,0.833,1,1,0.875,0.75,1,0.917,1,0.867,1,0,1,1,0,1,1,1,1,1,1,0.115,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,68516699
"Singapore","SGP",2024,100,98.4,67.31875000000001,87.54166666666666,80,86.65208333333334,1,1,0.952,1,0.5608333333333333,0.7888333333333333,0.5415,0.7949999999999999,0.6666666666666666,1,1,0.835,1,0.8,1,1,1,1,1,1,1,1,1,0.967,0.7929999999999999,1,0.952,1,0.4,0.3,0.677,0.667,0.75,0.571,0.833,0.75,0.9,0.5,0.75,1,0.583,0.857,0.733,0.5,0,1,1,0,1,1,1,1,1,1,0.835,1,1,1,1,0.5,1,1,0.5,1,0,1,1,"High income","East Asia & Pacific",1,6036860
"Ireland","IRL",2024,100,97.13333333333331,80.93125,70.19166666666666,85,86.65125,1,1,0.914,1,0.8011666666666667,0.8096666666666666,0.7085,0.9335,0.6666666666666666,0.934,1,0.207,1,0.85,1,1,1,1,1,1,1,0.983,1,0.867,0.736,0.983,0.914,1,0.8,0.6,0.8,1,0.75,0.857,0.833,1,0.9,0.625,0.5,1,0.917,1,0.867,0.5,0,1,1,0,1,1,1,0.67,1,1,0.207,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,5380257
"Latvia","LVA",2024,100,96.8,81.80625000000002,68.46666666666667,85,86.41458333333335,1,1,0.904,1,0.8345,0.8513333333333333,0.625,0.862,0.6666666666666666,0.934,1,0.138,1,0.85,1,1,1,1,1,1,1,0.983,1,0.95,0.621,0.967,0.904,1,0.8,0.8,0.8,1,0.75,0.857,0.833,1,0.9,0.875,0.5,1,0.75,0.857,0.867,0.5,0,1,1,0,1,1,1,0.67,1,1,0.138,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,1862441
"Hungary","HUN",2024,90,95.53333333333332,89.7,75.79166666666667,80,86.20500000000001,0.9,1,0.866,1,0.8516666666666667,0.9096666666666666,0.9585,0.9335,0.6666666666666666,0.934,1,0.431,1,0.8,1,0.5,1,1,1,1,1,1,0.976,0.7120000000000001,0.705,0.936,0.866,1,1,0.6,0.76,1,0.75,1,0.833,1,1,0.875,0.75,1,0.917,1,0.867,1,0,1,1,0,1,1,1,0.67,1,1,0.431,1,1,1,1,0,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,9562314
"Georgia","GEO",2024,100,93.76666666666667,83.71875,72.76666666666667,80,86.05041666666668,1,1,0.813,1,0.83,0.868,0.7085,0.895,0.6666666666666666,0.866,1,0.37799999999999995,1,0.8,1,1,1,1,1,1,1,0.95,1,0.557,0.64,0.919,0.813,1,1,0.6,0.797,0.833,0.75,1,0.833,0.875,1,0.75,0.75,1,0.917,0.857,0.933,0.5,0,1,1,0,1,1,1,0.33,1,1,0.37799999999999995,1,1,1,1,0,1,1,0.5,0.5,1,1,1,"Upper middle income","Europe & Central Asia",1,3673850
"Belgium","BEL",2024,100,84.99999999999999,91.11875,71.84166666666667,80,85.59208333333335,1,1,0.55,1,0.8895,0.9096666666666666,0.9585,0.9335,0.6666666666666666,0.934,1,0.273,1,0.8,1,1,1,1,1,1,1,0.767,0.75,0.545,0.41,0.27899999999999997,0.55,1,1,0.8,0.68,1,1,0.857,0.833,1,1,0.875,0.75,1,0.917,1,0.867,1,0,1,1,0,1,0.67,1,1,1,1,0.273,1,1,1,1,0,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,11876844
"North Macedonia","MKD",2024,100,88.23333333333332,72.23125,72.06666666666666,95,85.50625000000001,1,1,0.647,1,0.6445,0.8305,0.4585,0.895,0.6666666666666666,0.8,1,0.416,1,0.95,1,1,1,1,1,1,1,0.8,1,0.726,0.662,0.048,0.647,1,0.4,0.6,0.677,0.833,0.5,0.857,0.833,0.875,0.9,0.875,0.5,1,0.917,0.857,0.933,0,0,1,1,0,1,0.67,1,0.33,1,1,0.416,1,1,1,1,1,1,1,0.5,1,1,1,1,"Upper middle income","Europe & Central Asia",1,1792179
"Czechia","CZE",2024,100,88.99999999999999,82.60000000000001,70.11666666666667,85,85.34333333333333,1,1,0.67,1,0.8278333333333333,0.8513333333333333,0.7085,0.862,0.6666666666666666,0.934,1,0.204,1,0.85,1,1,1,1,1,1,1,0.917,0.967,0.486,0.5,0.483,0.67,1,0.8,0.8,0.76,1,0.75,0.857,0.833,1,0.9,0.875,0.5,1,0.917,0.857,0.867,0.5,0,1,1,0,1,1,1,0.67,1,1,0.204,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,10882164
"Thailand","THA",2024,100,87.93333333333334,84.73749999999998,67.525,85,85.03916666666666,1,1,0.638,1,0.865,0.849,0.7085,0.9285,0.5,0.734,1,0.467,1,0.85,1,1,1,1,1,1,1,0.743,0.9,0.5710000000000001,0.524,0.452,0.638,1,1,0.6,0.84,1,0.75,1,0.944,0.875,0.9,0.875,0.5,1,0.917,0.857,1,0.5,0,0.5,0.5,0.5,1,0,1,1,0.67,1,0.467,1,1,1,1,0.5,0,1,1,1,1,1,1,"Upper middle income","East Asia & Pacific",1,71668011
"Greece","GRC",2024,100,85.03333333333333,82.9625,71.59166666666667,85,84.91750000000002,1,1,0.551,1,0.8178333333333333,0.8471666666666666,0.7085,0.9335,0.6666666666666666,0.934,1,0.263,1,0.85,1,1,1,1,1,1,1,0.557,0.643,0.31,0.426,0.8190000000000001,0.551,1,0.8,0.7,0.8,1,0.75,0.857,0.833,1,1,0.75,0.5,1,0.917,1,0.867,0.5,0,1,1,0,1,1,1,0.67,1,1,0.263,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,10388805
"Luxembourg","LUX",2024,100,91.53333333333333,78.33125000000001,65.89166666666667,85,84.15125,1,1,0.746,1,0.7666666666666666,0.7888333333333333,0.6665,0.9335,0.6666666666666666,0.934,1,0.035,1,0.85,1,1,1,1,1,1,1,0.833,0.805,0.762,0.498,0.833,0.746,1,0.8,0.6,0.76,0.833,0.75,0.857,0.833,0.875,0.9,0.625,0.5,1,0.833,1,0.867,0.5,0,1,1,0,1,0.67,1,1,1,1,0.035,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,677717
"Moldova","MDA",2024,100,96,79.4625,59.575,85,84.00750000000001,1,1,0.88,1,0.7373333333333334,0.8471666666666666,0.7085,0.895,0.5,0.666,1,0.217,1,0.85,0,1,1,1,1,1,1,0.917,1,0.867,0.7020000000000001,0.912,0.88,1,1,0.6,0.8,0.667,0.5,0.857,0.833,0.875,1,0.875,0.5,1,0.917,0.857,0.933,0.5,0,1,0.5,0,1,0,1,0.33,1,1,0.217,1,1,1,1,0.5,1,1,0.5,0.5,1,1,0,"Upper middle income","Europe & Central Asia",1,2389275
"Philippines","PHL",2024,100,92.96666666666667,84.22500000000001,71.98333333333333,70,83.83500000000001,1,1,0.789,1,0.8345,0.8531666666666666,0.7085,0.9665,0.8333333333333334,1,0.5,0.546,1,0.7,0,1,1,1,1,1,1,0.893,0.976,0.564,0.5329999999999999,0.976,0.789,1,1,0.6,0.8,1,0.75,0.857,0.944,0.875,0.8,0.75,0.75,1,0.917,1,0.933,0.5,0,1,0.5,1,1,1,1,1,1,0.5,0.546,1,1,0.5,1,0.5,1,1,0,1,1,0,0,"Lower middle income","East Asia & Pacific",1,115843670
"Netherlands","NLD",2024,80,97.23333333333332,82.18125,72.91666666666666,85,83.46625,0.8,1,0.917,1,0.804,0.868,0.625,0.9335,0.6666666666666666,0.934,1,0.316,1,0.85,1,1,0,1,1,1,1,0.933,0.933,0.867,0.917,0.933,0.917,1,0.8,0.8,0.76,1,0.75,0.714,0.833,1,1,0.875,0.5,1,0.75,1,0.867,0.5,0,1,1,0,1,0.67,1,1,1,1,0.316,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,17994237
"Cyprus","CYP",2024,100,86.56666666666666,78.96875000000001,66.41666666666667,85,83.39041666666668,1,1,0.597,1,0.6739999999999999,0.8513333333333333,0.875,0.8665,0.6666666666666666,0.934,1,0.05599999999999999,1,0.85,1,1,1,1,1,1,1,0.85,0.49,0.588,0.588,0.467,0.597,1,1,0.5,0.64,0.833,0.5,0.571,0.833,0.875,0.9,0.75,0.75,1,0.75,1,0.733,1,0,1,1,0,1,1,1,0.67,1,1,0.05599999999999999,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,1358282
