country,region,income,fragile_conflict,iso3c,date,SPI.INDEX.PIL1,SPI.INDEX.PIL2,SPI.INDEX.PIL3,SPI.INDEX.PIL4,SPI.INDEX.PIL5,SPI.INDEX,SPI.INDEX.quintile,SPI.INDEX.PIL1.quintile,SPI.INDEX.PIL2.quintile,SPI.INDEX.PIL3.quintile,SPI.INDEX.PIL4.quintile,SPI.INDEX.PIL5.quintile,population,iso2c,NY.GDP.PCAP.PP.KD,unit,obs_status,footnote,last_updated
Georgia,Europe & Central Asia,Upper middle income,Other,GEO,2024,100,93.76666666666668,83.71875,81.10000000000001,80,87.71708333333335,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,3673850,GE,25000.6326416981,NA,NA,NA,2025-10-07
Belgium,Europe & Central Asia,High income,Other,BEL,2024,100,84.99999999999999,91.11875,80.17500000000001,80,87.25875,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,4th Quintile,11876844,BE,63083.1843669076,NA,NA,NA,2025-10-07
North Macedonia,Europe & Central Asia,Upper middle income,Other,MKD,2024,100,88.23333333333332,72.23125,80.39999999999999,95,87.17291666666667,Top Quintile,Top Quintile,4th Quintile,3rd Quintile,Top Quintile,Top Quintile,1792179,MK,24465.3919306751,NA,NA,NA,2025-10-07
Czechia,Europe & Central Asia,High income,Other,CZE,2024,100,88.99999999999999,82.60000000000001,78.45,85,87.01,Top Quintile,Top Quintile,4th Quintile,Top Quintile,4th Quintile,Top Quintile,10882164,CZ,47961.8095131483,NA,NA,NA,2025-10-07
Greece,Europe & Central Asia,High income,Other,GRC,2024,100,85.03333333333333,82.9625,79.925,85,86.58416666666669,Top Quintile,Top Quintile,4th Quintile,Top Quintile,4th Quintile,Top Quintile,10388805,GR,37752.6321172664,NA,NA,NA,2025-10-07
Luxembourg,Europe & Central Asia,High income,Other,LUX,2024,100,91.53333333333332,78.33125000000001,74.22500000000001,85,85.81791666666668,Top Quintile,Top Quintile,4th Quintile,4th Quintile,4th Quintile,Top Quintile,677717,LU,128181.703344823,NA,NA,NA,2025-10-07
Moldova,Europe & Central Asia,Upper middle income,Other,MDA,2024,100,96,79.4625,67.90833333333333,85,85.67416666666668,Top Quintile,Top Quintile,Top Quintile,4th Quintile,4th Quintile,Top Quintile,2389275,MD,16465.9286876097,NA,NA,NA,2025-10-07
Netherlands,Europe & Central Asia,High income,Other,NLD,2024,80,97.23333333333332,82.18125,81.25,85,85.13291666666667,4th Quintile,3rd Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,17994237,NL,70901.8384173158,NA,NA,NA,2025-10-07
Cyprus,Europe & Central Asia,High income,Other,CYP,2024,100,86.56666666666666,78.96875000000001,74.75,85,85.05708333333334,4th Quintile,Top Quintile,4th Quintile,4th Quintile,4th Quintile,Top Quintile,1358282,CY,53255.5234375,NA,NA,NA,2025-10-07
Croatia,Europe & Central Asia,High income,Other,HRV,2024,100,87.53333333333333,81.76875000000001,75.95,80,85.05041666666668,4th Quintile,Top Quintile,4th Quintile,4th Quintile,4th Quintile,4th Quintile,3866300,HR,42633.7666808329,NA,NA,NA,2025-10-07
Thailand,East Asia & Pacific,Upper middle income,Other,THA,2024,100,87.93333333333334,84.73749999999998,67.525,85,85.03916666666666,4th Quintile,Top Quintile,4th Quintile,Top Quintile,4th Quintile,Top Quintile,71668011,TH,21737.1779720129,NA,NA,NA,2025-10-07
Malaysia,East Asia & Pacific,Upper middle income,Other,MYS,2024,80,99.66666666666666,80.13125000000001,80.15833333333333,85,84.99125000000002,4th Quintile,3rd Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,35557673,MY,34071.9449554711,NA,NA,NA,2025-10-07
Kazakhstan,Europe & Central Asia,Upper middle income,Other,KAZ,2024,100,90.13333333333333,79.17500000000001,80.15833333333333,75,84.89333333333335,4th Quintile,Top Quintile,4th Quintile,4th Quintile,Top Quintile,4th Quintile,20592571,KZ,35905.4414938905,NA,NA,NA,2025-10-07
Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,Other,MLT,2024,100,89.3,68.4125,86.525,75,83.84750000000001,4th Quintile,Top Quintile,4th Quintile,3rd Quintile,Top Quintile,4th Quintile,574346,MT,60473.2580715114,NA,NA,NA,2025-10-07
Philippines,East Asia & Pacific,Lower middle income,Other,PHL,2024,100,92.96666666666668,84.22500000000001,71.98333333333333,70,83.83500000000001,4th Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,4th Quintile,115843670,PH,10375.9404179938,NA,NA,NA,2025-10-07
Mongolia,East Asia & Pacific,Upper middle income,Other,MNG,2024,90,96.33333333333331,81.375,80.95833333333333,70,83.73333333333333,4th Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,4th Quintile,3524788,MN,16801.3067931352,NA,NA,NA,2025-10-07
Albania,Europe & Central Asia,Upper middle income,Other,ALB,2024,100,69,79.66875,74.6,95,83.65374999999999,4th Quintile,Top Quintile,3rd Quintile,4th Quintile,4th Quintile,Top Quintile,2714617,AL,18920.8942644729,NA,NA,NA,2025-10-07
Bulgaria,Europe & Central Asia,High income,Other,BGR,2024,100,92.53333333333332,79.4875,80.75000000000001,65,83.55416666666667,4th Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,3rd Quintile,6444366,BG,34085.1952950467,NA,NA,NA,2025-10-07
Colombia,Latin America & Caribbean,Upper middle income,Other,COL,2024,80,88.36666666666666,86.325,82.5,80,83.43833333333333,4th Quintile,3rd Quintile,4th Quintile,Top Quintile,Top Quintile,4th Quintile,52886363,CO,18503.6706011465,NA,NA,NA,2025-10-07
Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,Other,SAU,2024,80,93.2,68.86250000000001,84.375,90,83.28750000000001,4th Quintile,3rd Quintile,Top Quintile,3rd Quintile,Top Quintile,Top Quintile,35300280,SA,62676.6979803733,NA,NA,NA,2025-10-07
Slovak Republic,Europe & Central Asia,High income,Other,SVK,2024,90,95.09999999999998,81.55624999999999,79.60000000000001,70,83.25125,4th Quintile,Top Quintile,Top Quintile,4th Quintile,4th Quintile,4th Quintile,5422069,SK,40346.5748138478,NA,NA,NA,2025-10-07
Indonesia,East Asia & Pacific,Upper middle income,Other,IDN,2024,100,91.86666666666665,86.13125000000001,58.72500000000001,75,82.34458333333335,4th Quintile,Top Quintile,4th Quintile,Top Quintile,3rd Quintile,4th Quintile,283487931,ID,14470.4372020578,NA,NA,NA,2025-10-07
Brazil,Latin America & Caribbean,Upper middle income,Other,BRA,2024,83.39999999999999,88.96666666666665,74.9,84.275,80,82.30833333333335,4th Quintile,3rd Quintile,4th Quintile,3rd Quintile,Top Quintile,4th Quintile,211998573,BR,19647.9096329925,NA,NA,NA,2025-10-07
Armenia,Europe & Central Asia,Upper middle income,Other,ARM,2024,90,86.19999999999999,82.76875,71.93333333333334,80,82.18041666666667,4th Quintile,Top Quintile,4th Quintile,Top Quintile,4th Quintile,4th Quintile,3033500,AM,20078.7848984844,NA,NA,NA,2025-10-07
Peru,Latin America & Caribbean,Upper middle income,Other,PER,2024,100,87.16666666666666,84.48125,63.258333333333326,75,81.98124999999999,4th Quintile,Top Quintile,4th Quintile,Top Quintile,3rd Quintile,4th Quintile,34217848,PE,15661.7497711956,NA,NA,NA,2025-10-07
Russian Federation,Europe & Central Asia,High income,Other,RUS,2024,76.6,87.96666666666665,77.86249999999998,65.07499999999999,100,81.50083333333333,4th Quintile,2nd Quintile,4th Quintile,4th Quintile,3rd Quintile,Top Quintile,143533851,RU,41704.7109375,NA,NA,NA,2025-10-07
Uzbekistan,Europe & Central Asia,Lower middle income,Other,UZB,2024,90,79.13333333333333,80.11250000000001,68.20833333333334,90,81.49083333333334,4th Quintile,Top Quintile,4th Quintile,4th Quintile,4th Quintile,Top Quintile,36361859,UZ,10450.2051402852,NA,NA,NA,2025-10-07
Iceland,Europe & Central Asia,High income,Other,ISL,2024,100,62.83333333333333,76.64374999999998,77.875,90,81.47041666666668,4th Quintile,Top Quintile,2nd Quintile,4th Quintile,4th Quintile,Top Quintile,404610,IS,65645.094856754,NA,NA,NA,2025-10-07
Senegal,Sub-Saharan Africa,Lower middle income,Other,SEN,2024,100,96.03333333333332,73.41250000000001,57.62499999999999,80,81.41416666666666,4th Quintile,Top Quintile,Top Quintile,3rd Quintile,3rd Quintile,4th Quintile,18501984,SN,4495.89489345838,NA,NA,NA,2025-10-07
South Africa,Sub-Saharan Africa,Upper middle income,Other,ZAF,2024,80,84.63333333333334,80.55624999999999,71.25,90,81.28791666666667,4th Quintile,3rd Quintile,4th Quintile,4th Quintile,4th Quintile,Top Quintile,64007187,ZA,13598.7888656984,NA,NA,NA,2025-10-07
Serbia,Europe & Central Asia,Upper middle income,Other,SRB,2024,100,76.56666666666668,80.99374999999999,69.88333333333333,75,80.48875000000001,4th Quintile,Top Quintile,4th Quintile,4th Quintile,4th Quintile,4th Quintile,6587202,RS,26886.0087460398,NA,NA,NA,2025-10-07
Mauritius,Sub-Saharan Africa,Upper middle income,Other,MUS,2024,90,87.3,77.58125,67.325,80,80.44125000000001,4th Quintile,Top Quintile,4th Quintile,4th Quintile,4th Quintile,4th Quintile,1259509,MU,27317.185283655,NA,NA,NA,2025-10-07
Argentina,Latin America & Caribbean,Upper middle income,Other,ARG,2024,90,85.66666666666667,83.3625,72.925,70,80.39083333333335,4th Quintile,Top Quintile,4th Quintile,Top Quintile,4th Quintile,4th Quintile,45696159,AR,26547.0503429365,NA,NA,NA,2025-10-07
Uruguay,Latin America & Caribbean,High income,Other,URY,2024,100,85.3,70.9,69.53333333333333,75,80.14666666666668,4th Quintile,Top Quintile,4th Quintile,3rd Quintile,4th Quintile,4th Quintile,3386588,UY,32038.7727288227,NA,NA,NA,2025-10-07
Ecuador,Latin America & Caribbean,Upper middle income,Other,ECU,2024,100,88.99999999999999,80.27499999999999,60.016666666666666,70,79.85833333333333,4th Quintile,Top Quintile,4th Quintile,4th Quintile,3rd Quintile,4th Quintile,18135478,EC,13935.5391125402,NA,NA,NA,2025-10-07
Guatemala,Latin America & Caribbean,Upper middle income,Other,GTM,2024,90,68.1,79.2125,69.46666666666667,90,79.35583333333335,4th Quintile,Top Quintile,3rd Quintile,4th Quintile,4th Quintile,Top Quintile,18406359,GT,12640.8871117101,NA,NA,NA,2025-10-07
Turkiye,Europe & Central Asia,Upper middle income,Other,TUR,2024,50,86.39999999999999,88.35000000000001,71.99166666666666,100,79.34833333333333,4th Quintile,Bottom 20%,4th Quintile,Top Quintile,4th Quintile,Top Quintile,85518661,TR,35294.3936777926,NA,NA,NA,2025-10-07
United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Other,ARE,2024,90,81.59999999999998,70.40624999999999,68.74166666666667,85,79.14958333333334,4th Quintile,Top Quintile,4th Quintile,3rd Quintile,4th Quintile,Top Quintile,10876981,AE,68584.65491599,NA,NA,NA,2025-10-07
Kyrgyz Republic,Europe & Central Asia,Lower middle income,Other,KGZ,2024,100,50.86666666666666,84.00625000000001,70.86666666666666,90,79.14791666666667,4th Quintile,Top Quintile,Bottom 20%,Top Quintile,4th Quintile,Top Quintile,7224614,KG,7046.31027413488,NA,NA,NA,2025-10-07
Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Other,JOR,2024,80,93.56666666666666,78.8,71.7,70,78.81333333333335,4th Quintile,3rd Quintile,Top Quintile,4th Quintile,4th Quintile,4th Quintile,11552876,JO,9520.25064497454,NA,NA,NA,2025-10-07
"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Other,EGY,2024,80,80.8,81.55625,73.33333333333334,75,78.13791666666667,4th Quintile,3rd Quintile,4th Quintile,4th Quintile,4th Quintile,4th Quintile,116538258,EG,16798.151577864,NA,NA,NA,2025-10-07
Panama,Latin America & Caribbean,High income,Other,PAN,2024,100,71.66666666666666,82.51250000000002,74.48333333333333,60,77.7325,4th Quintile,Top Quintile,3rd Quintile,Top Quintile,4th Quintile,3rd Quintile,4515577,PA,36426.007943645,NA,NA,NA,2025-10-07
Belarus,Europe & Central Asia,Upper middle income,Other,BLR,2024,86.6,53.8,78.48750000000001,77.10000000000001,90,77.19750000000002,4th Quintile,4th Quintile,Bottom 20%,4th Quintile,4th Quintile,Top Quintile,9133712,BY,29037.5291400434,NA,NA,NA,2025-10-07
Burkina Faso,Sub-Saharan Africa,Low income,Conflict,BFA,2024,90,78.4,79.20624999999998,49.233333333333334,85,76.36791666666667,4th Quintile,Top Quintile,4th Quintile,4th Quintile,2nd Quintile,Top Quintile,23548781,BF,2547.93264387899,NA,NA,NA,2025-10-07
Ukraine,Europe & Central Asia,Upper middle income,Conflict,UKR,2024,100,55.13333333333333,81.56875000000001,58.28333333333333,85,75.99708333333335,3rd Quintile,Top Quintile,Bottom 20%,4th Quintile,3rd Quintile,Top Quintile,37860221,UA,16319.8447265625,NA,NA,NA,2025-10-07
Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Other,TUN,2024,90,89.96666666666667,74.1125,63.208333333333336,60,75.45750000000001,3rd Quintile,Top Quintile,4th Quintile,3rd Quintile,3rd Quintile,3rd Quintile,12277109,TN,12713.5498473821,NA,NA,NA,2025-10-07
Dominican Republic,Latin America & Caribbean,Upper middle income,Other,DOM,2024,100,69.66666666666666,75.2375,46.175,85,75.21583333333334,3rd Quintile,Top Quintile,3rd Quintile,3rd Quintile,2nd Quintile,Top Quintile,11427557,DO,24229.4681222745,NA,NA,NA,2025-10-07
Sri Lanka,South Asia,Lower middle income,Other,LKA,2024,90,81.53333333333333,77.275,64.06666666666666,60,74.575,3rd Quintile,Top Quintile,4th Quintile,4th Quintile,3rd Quintile,3rd Quintile,21916000,LK,13752.836740386,NA,NA,NA,2025-10-07
West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Conflict,PSE,2024,70,92.33333333333331,71.46875000000001,73.2,65,74.40041666666667,3rd Quintile,2nd Quintile,Top Quintile,3rd Quintile,4th Quintile,3rd Quintile,5289152,PS,3845.50297375419,NA,NA,NA,2025-10-07
Paraguay,Latin America & Caribbean,Upper middle income,Other,PRY,2024,70,74.03333333333333,84.30624999999999,62.7,80,74.20791666666668,3rd Quintile,2nd Quintile,3rd Quintile,Top Quintile,3rd Quintile,4th Quintile,6929153,PY,16296.2836189267,NA,NA,NA,2025-10-07
Montenegro,Europe & Central Asia,Upper middle income,Other,MNE,2024,90,71.33333333333334,69.41875,68.70833333333334,70,73.89208333333333,3rd Quintile,Top Quintile,3rd Quintile,3rd Quintile,4th Quintile,4th Quintile,623831,ME,27853.6429505921,NA,NA,NA,2025-10-07
El Salvador,Latin America & Caribbean,Upper middle income,Other,SLV,2024,90,77.23333333333333,85.025,56.44166666666667,60,73.74000000000001,3rd Quintile,Top Quintile,4th Quintile,Top Quintile,3rd Quintile,3rd Quintile,6338193,SV,11669.0817135644,NA,NA,NA,2025-10-07
India,South Asia,Lower middle income,Other,IND,2024,80,85.13333333333333,79.27499999999999,74.18333333333334,50,73.71833333333333,3rd Quintile,3rd Quintile,4th Quintile,4th Quintile,4th Quintile,2nd Quintile,1450935791,IN,9817.07082097048,NA,NA,NA,2025-10-07
Jamaica,Latin America & Caribbean,Upper middle income,Other,JAM,2024,100,73.6,79.53125,59.20833333333333,55.00000000000001,73.46791666666667,3rd Quintile,Top Quintile,3rd Quintile,4th Quintile,3rd Quintile,2nd Quintile,2839175,JM,10259.9951095504,NA,NA,NA,2025-10-07
Kenya,Sub-Saharan Africa,Lower middle income,Other,KEN,2024,90,70.6,80.925,45.25,80,73.355,3rd Quintile,Top Quintile,3rd Quintile,4th Quintile,2nd Quintile,4th Quintile,56432944,KE,5823.40759464391,NA,NA,NA,2025-10-07
Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Other,MAR,2024,60,95.8,77.675,61.86666666666667,70,73.06833333333333,3rd Quintile,2nd Quintile,Top Quintile,4th Quintile,3rd Quintile,4th Quintile,38081173,MA,9065.9140625,NA,NA,NA,2025-10-07
Rwanda,Sub-Saharan Africa,Low income,Other,RWA,2024,90,72.13333333333334,74.55,56.325,70,72.60166666666667,3rd Quintile,Top Quintile,3rd Quintile,3rd Quintile,3rd Quintile,4th Quintile,14256567,RW,3264.64451474392,NA,NA,NA,2025-10-07
Bangladesh,South Asia,Lower middle income,Other,BGD,2024,80,63.46666666666667,83.05,66.675,65,71.63833333333334,3rd Quintile,3rd Quintile,2nd Quintile,Top Quintile,3rd Quintile,3rd Quintile,173562364,BD,8486.78495660517,NA,NA,NA,2025-10-07
Benin,Sub-Saharan Africa,Lower middle income,Other,BEN,2024,90,71.36666666666667,74.46249999999999,49.30833333333333,70,71.0275,3rd Quintile,Top Quintile,3rd Quintile,3rd Quintile,2nd Quintile,4th Quintile,14462724,BJ,3901.32588494392,NA,NA,NA,2025-10-07
Niger,Sub-Saharan Africa,Low income,Conflict,NER,2024,90,76.36666666666665,75.19375000000001,40.766666666666666,70,70.46541666666667,3rd Quintile,Top Quintile,4th Quintile,3rd Quintile,2nd Quintile,4th Quintile,27032412,NE,1772.72451186128,NA,NA,NA,2025-10-07
Bolivia,Latin America & Caribbean,Lower middle income,Other,BOL,2024,80,67.9,78.06875000000001,60.19166666666666,65,70.23208333333334,3rd Quintile,3rd Quintile,3rd Quintile,4th Quintile,3rd Quintile,3rd Quintile,12413315,BO,9844.27685167629,NA,NA,NA,2025-10-07
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Other,CIV,2024,80,76.29999999999998,81.33125,43.375,70,70.20125,3rd Quintile,3rd Quintile,3rd Quintile,4th Quintile,2nd Quintile,4th Quintile,31934230,CI,6733.15402382668,NA,NA,NA,2025-10-07
Azerbaijan,Europe & Central Asia,Upper middle income,Other,AZE,2024,80,36.9,74.21874999999999,66.325,90,69.48875000000001,3rd Quintile,3rd Quintile,Bottom 20%,3rd Quintile,3rd Quintile,Top Quintile,10202850,AZ,22072.1058327346,NA,NA,NA,2025-10-07
Nigeria,Sub-Saharan Africa,Lower middle income,Conflict,NGA,2024,100,70.96666666666667,74.8625,39.75833333333333,60,69.11749999999999,3rd Quintile,Top Quintile,3rd Quintile,3rd Quintile,Bottom 20%,3rd Quintile,232679478,NG,5665.45157716197,NA,NA,NA,2025-10-07
Uganda,Sub-Saharan Africa,Low income,Other,UGA,2024,70,71.23333333333332,72.15625,45.108333333333334,85,68.69958333333334,3rd Quintile,2nd Quintile,3rd Quintile,3rd Quintile,2nd Quintile,Top Quintile,50015092,UG,2881.8659466843,NA,NA,NA,2025-10-07
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Other,BIH,2024,70,65.6,73.76875,53.425,80,68.55875,3rd Quintile,2nd Quintile,2nd Quintile,3rd Quintile,3rd Quintile,4th Quintile,3164253,BA,20429.7007276332,NA,NA,NA,2025-10-07
Tanzania,Sub-Saharan Africa,Lower middle income,Other,TZA,2024,80,71.23333333333332,81.91875,52.95000000000001,55.00000000000001,68.22041666666667,3rd Quintile,3rd Quintile,3rd Quintile,4th Quintile,3rd Quintile,2nd Quintile,68560157,TZ,3713.26293945313,NA,NA,NA,2025-10-07
