Indicator,Country,Year,Data Value
Statistical plan fully funded,Ireland,2018,1
Statistical plan fully funded,Isle of Man,2018,no data
Statistical plan fully funded,Israel,2018,1
Statistical plan fully funded,Italy,2018,1
Statistical plan fully funded,Jamaica,2018,0
Statistical plan fully funded,Japan,2018,no data
Statistical plan fully funded,Jersey,2018,no data
Statistical plan fully funded,Jordan,2018,1
Statistical plan fully funded,Kazakhstan,2018,1
Statistical plan fully funded,Kenya,2018,no data
Statistical plan fully funded,Kiribati,2018,no data
Statistical plan fully funded,Kosovo,2018,no data
Statistical plan fully funded,Kuwait,2018,no data
Statistical plan fully funded,Kyrgyzstan,2018,1
Statistical plan fully funded,LANDLOCKED,2018,no data
Statistical plan fully funded,LDC,2018,no data
Statistical plan fully funded,Lao People's Democratic Republic,2018,no data
Statistical plan fully funded,Latin America and the Caribbean,2018,0.52380952
Statistical plan fully funded,Latvia,2018,1
Statistical plan fully funded,Lebanon,2018,no data
Statistical plan fully funded,Lesotho,2018,no data
Statistical plan fully funded,Liberia,2018,0
Statistical plan fully funded,Libya,2018,0
Statistical plan fully funded,Liechtenstein,2018,1
Statistical plan fully funded,Lithuania,2018,1
Statistical plan fully funded,Low Income,2018,no data
Statistical plan fully funded,Lower Middle Income,2018,no data
Statistical plan fully funded,Luxembourg,2018,0
Statistical plan fully funded,Madagascar,2018,0
Statistical plan fully funded,Malawi,2018,no data
Statistical plan fully funded,Malaysia,2018,no data
Statistical plan fully funded,Maldives,2018,0
Statistical plan fully funded,Mali,2018,0
Statistical plan fully funded,Malta,2018,no data
Statistical plan fully funded,Marshall Islands,2018,no data
Statistical plan fully funded,Martinique,2018,1
Statistical plan fully funded,Mauritania,2018,0
Statistical plan fully funded,Mauritius,2018,1
Statistical plan fully funded,Mayotte,2018,1
Statistical plan fully funded,Melanesia,2018,no data
Statistical plan fully funded,Mexico,2018,1
Statistical plan fully funded,Micronesia,2018,no data
Statistical plan fully funded,Micronesia (Federated States of),2018,no data
Statistical plan fully funded,Monaco,2018,no data
Statistical plan fully funded,Mongolia,2018,1
Statistical plan fully funded,Montenegro,2018,no data
Statistical plan fully funded,Montserrat,2018,no data
Statistical plan fully funded,Morocco,2018,1
Statistical plan fully funded,Mozambique,2018,no data
Statistical plan fully funded,Myanmar,2018,no data
Statistical plan fully funded,Namibia,2018,no data
Statistical plan fully funded,Nauru,2018,no data
Statistical plan fully funded,Nepal,2018,0
Statistical plan fully funded,Netherlands,2018,1
Statistical plan fully funded,New Caledonia,2018,no data
Statistical plan fully funded,New Zealand,2018,1
Statistical plan fully funded,Nicaragua,2018,no data
Statistical plan fully funded,Niger,2018,0
Statistical plan fully funded,Nigeria,2018,no data
Statistical plan fully funded,Niue,2018,no data
Statistical plan fully funded,Norfolk Island,2018,no data
Statistical plan fully funded,Northern Africa,2018,no data
Statistical plan fully funded,Northern America,2018,no data
Statistical plan fully funded,Northern Europe,2018,0.9
Statistical plan fully funded,Northern Mariana Islands,2018,0
Statistical plan fully funded,Norway,2018,1
Statistical plan fully funded,Oceania,2018,no data
Statistical plan fully funded,Oman,2018,1
Statistical plan fully funded,Pakistan,2018,1
Statistical plan fully funded,Palau,2018,no data
Statistical plan fully funded,Panama,2018,no data
Statistical plan fully funded,Papua New Guinea,2018,no data
Statistical plan fully funded,Paraguay,2018,0
Statistical plan fully funded,Peru,2018,no data
Statistical plan fully funded,Philippines,2018,no data
Statistical plan fully funded,Pitcairn,2018,no data
Statistical plan fully funded,Poland,2018,1
Statistical plan fully funded,Polynesia,2018,no data
Statistical plan fully funded,Portugal,2018,1
Statistical plan fully funded,Puerto Rico,2018,1
Statistical plan fully funded,Qatar,2018,no data
Statistical plan fully funded,Republic of Korea,2018,0
Statistical plan fully funded,Republic of Moldova,2018,0
Statistical plan fully funded,Romania,2018,1
Statistical plan fully funded,Russian Federation,2018,1
Statistical plan fully funded,Rwanda,2018,no data
Statistical plan fully funded,Réunion,2018,1
Statistical plan fully funded,SIDS,2018,no data
Statistical plan fully funded,Saint Barthélemy,2018,no data
Statistical plan fully funded,Saint Helena,2018,no data
Statistical plan fully funded,Saint Kitts and Nevis,2018,0
Statistical plan fully funded,Saint Lucia,2018,no data
Statistical plan fully funded,Saint Martin (French Part),2018,no data
Statistical plan fully funded,Saint Pierre and Miquelon,2018,no data
Statistical plan fully funded,Saint Vincent and the Grenadines,2018,no data
Statistical plan fully funded,Samoa,2018,no data
Statistical plan fully funded,San Marino,2018,no data
Statistical plan fully funded,Sao Tome and Principe,2018,1
Statistical plan fully funded,Saudi Arabia,2018,no data
Statistical plan fully funded,Senegal,2018,0
Statistical plan fully funded,Serbia,2018,1
Statistical plan fully funded,Seychelles,2018,no data
Statistical plan fully funded,Sierra Leone,2018,0
Statistical plan fully funded,Singapore,2018,1
Statistical plan fully funded,Sint Maarten (Dutch part),2018,no data
Statistical plan fully funded,Slovakia,2018,1
Statistical plan fully funded,Slovenia,2018,1
Statistical plan fully funded,Solomon Islands,2018,no data
Statistical plan fully funded,Somalia,2018,no data
Statistical plan fully funded,South Africa,2018,0
Statistical plan fully funded,South Georgia and the South Sandwich Islands,2018,no data
Statistical plan fully funded,South Sudan,2018,no data
Statistical plan fully funded,South-eastern Asia,2018,no data
Statistical plan fully funded,Southern Asia,2018,no data
Statistical plan fully funded,Southern Europe,2018,no data
Statistical plan fully funded,Spain,2018,1
Statistical plan fully funded,Sri Lanka,2018,0
Statistical plan fully funded,State of Palestine,2018,0
Statistical plan fully funded,Sub-Saharan Africa,2018,0.27586207
Statistical plan fully funded,Sudan,2018,0
Statistical plan fully funded,Suriname,2018,no data
Statistical plan fully funded,Svalbard and Jan Mayen Islands,2018,no data
Statistical plan fully funded,Sweden,2018,1
Statistical plan fully funded,Switzerland,2018,1
Statistical plan fully funded,Syrian Arab Republic,2018,no data
Statistical plan fully funded,Tajikistan,2018,0
Statistical plan fully funded,Thailand,2018,1
Statistical plan fully funded,The former Yugoslav Republic of Macedonia,2018,no data
Statistical plan fully funded,Timor-Leste,2018,no data
Statistical plan fully funded,Togo,2018,0
Statistical plan fully funded,Tokelau,2018,0
Statistical plan fully funded,Tonga,2018,no data
Statistical plan fully funded,Trinidad and Tobago,2018,no data
Statistical plan fully funded,Tunisia,2018,1
Statistical plan fully funded,Turkey,2018,1
Statistical plan fully funded,Turkmenistan,2018,no data
Statistical plan fully funded,Turks and Caicos Islands,2018,no data
Statistical plan fully funded,Tuvalu,2018,no data
Statistical plan fully funded,Uganda,2018,0
Statistical plan fully funded,Ukraine,2018,1
Statistical plan fully funded,United Arab Emirates,2018,no data
Statistical plan fully funded,United Kingdom of Great Britain and Northern Ireland,2018,no data
Statistical plan fully funded,United Republic of Tanzania,2018,1
Statistical plan fully funded,United States Minor Outlying Islands,2018,no data
Statistical plan fully funded,United States Virgin Islands,2018,no data
Statistical plan fully funded,United States of America,2018,no data
Statistical plan fully funded,Upper Middle Income,2018,no data
Statistical plan fully funded,Uruguay,2018,1
Statistical plan fully funded,Uzbekistan,2018,1
Statistical plan fully funded,Vanuatu,2018,0
Statistical plan fully funded,Venezuela (Bolivarian Republic of),2018,no data
Statistical plan fully funded,Viet Nam,2018,no data
Statistical plan fully funded,Wallis and Futuna Islands,2018,no data
Statistical plan fully funded,Western Asia,2018,0.77777778
Statistical plan fully funded,Western Europe,2018,0.85714286
Statistical plan fully funded,Western Sahara,2018,no data
Statistical plan fully funded,World,2018,no data
Statistical plan fully funded,Yemen,2018,no data
Statistical plan fully funded,Zambia,2018,no data
Statistical plan fully funded,Zimbabwe,2018,0
Statistical plan fully funded,Åland Islands,2018,no data
,,,
,,,
,,,
,,,
