iso3c,date,source,reported_value
NA,1981,PC - Population Census,58.31
NA,1980,OE - Official Estimates,54.34
NA,1979,OE - Official Estimates,54.48
NA,1978,OE - Official Estimates,54.7
NA,1972,PC - Population Census,53.95
NA,1966,OE - Official Estimates,29.52
NA,1960,PC - Population Census,31.27
ARE,2024,LFS - Labour Force Survey,81.35
ARE,2023,LFS - Labour Force Survey,78.454
ARE,2022,LFS - Labour Force Survey,77.379
ARE,2021,LFS - Labour Force Survey,76.808
ARE,2020,LFS - Labour Force Survey,80.354
ARE,2019,LFS - Labour Force Survey,80.2
ARE,2018,LFS - Labour Force Survey,81.012
ARE,2017,LFS - Labour Force Survey,80.774
ARE,2016,LFS - Labour Force Survey,80.57
ARE,2009,LFS - Labour Force Survey,72.37
ARE,2008,LFS - Labour Force Survey,72.56
ARE,2005,PC - Population Census,77.5
ARE,1995,PC - Population Census,75.2
ARE,1980,PC - Population Census,75.25
ARE,1975,PC - Population Census,73.31
ARG,2024,"LFS - Permanent Household Survey, Urban",58.981
ARG,2023,"LFS - Permanent Household Survey, Urban",62.286
ARG,2022,"LFS - Permanent Household Survey, Urban",61.484
ARG,2021,"LFS - Permanent Household Survey, Urban",60.358
ARG,2020,"LFS - Permanent Household Survey, Urban",56.023
ARG,2019,"LFS - Permanent Household Survey, Urban",60.289
ARG,2018,"LFS - Permanent Household Survey, Urban",59.595
ARG,2017,"LFS - Permanent Household Survey, Urban",58.808
ARG,2014,"LFS - Permanent Household Survey, Urban",59.444
ARG,2013,"LFS - Permanent Household Survey, Urban",59.962
ARG,2012,"LFS - Permanent Household Survey, Urban",60.362
ARG,2011,"LFS - Permanent Household Survey, Urban",60.651
ARG,2010,"LFS - Permanent Household Survey, Urban",60.187
ARG,2009,"LFS - Permanent Household Survey, Urban",60.78
ARG,2008,"LFS - Permanent Household Survey, Urban",60.428
ARG,2007,"LFS - Permanent Household Survey, Urban",61
ARG,2006,"LFS - Permanent Household Survey, Urban",61.795
ARG,2005,"LFS - Permanent Household Survey, Urban",61.511
ARG,2004,"LFS - Permanent Household Survey, Urban",61.943
ARG,2003,"LFS - Permanent Household Survey, Urban",60.25
ARG,2002,"LFS - Permanent Household Survey, Urban",57.9
ARG,2001,"LFS - Permanent Household Survey, Urban",56.8
ARG,2000,"LFS - Permanent Household Survey, Urban",57.72
ARG,1999,"LFS - Permanent Household Survey, Urban",60.4
ARG,1998,"LFS - Permanent Household Survey, Urban",59.9
ARG,1997,"LFS - Permanent Household Survey, Urban",59.5
ARG,1996,"LFS - Permanent Household Survey, Urban",59.5
ARG,1995,"LFS - Permanent Household Survey, Urban",58.19
ARG,1994,"LFS - Permanent Household Survey, Urban",51.3
ARG,1993,"LFS - Permanent Household Survey, Urban",51.8
ARG,1992,"LFS - Permanent Household Survey, Urban",50.3
ARG,1991,PC - Population Census,56.69
ARG,1990,OE - Official Estimates,53.38
ARG,1989,OE - Official Estimates,53.42
ARG,1987,OE - Official Estimates,53.36
ARG,1985,OE - Official Estimates,53.38
ARG,1983,OE - Official Estimates,53.74
ARG,1980,PC - Population Census,51.2
ARG,1979,OE - Official Estimates,53.31
ARG,1978,OE - Official Estimates,53.37
ARG,1977,OE - Official Estimates,53.4
ARG,1970,PC - Population Census,53.36
ARG,1960,PC - Population Census,53.63
ARM,2023,HIES - Households Living Conditions Survey,65.294
ARM,2022,HIES - Households Living Conditions Survey,63.297
ARM,2021,HIES - Households Living Conditions Survey,67.472
ARM,2020,HIES - Households Living Conditions Survey,66.953
ARM,2019,HIES - Households Living Conditions Survey,63.704
ARM,2018,HIES - Households Living Conditions Survey,67.17
ARM,2017,LFS - Household Labour Force Survey,60.82
ARM,2016,LFS - Household Labour Force Survey,60.719
ARM,2015,LFS - Household Labour Force Survey,62.292
ARM,2014,LFS - Household Labour Force Survey,63.021
ARM,2013,HIES - Households Living Conditions Survey,62.785
ARM,2012,HIES - Households Living Conditions Survey,62.814
ARM,2011,HIES - Households Living Conditions Survey,61.959
ARM,2010,LFS - Household Labour Force Survey,61.2
ARM,2009,LFS - Household Labour Force Survey,59.2
ARM,2008,LFS - Household Labour Force Survey,55.895
ARM,2007,HIES - Households Living Conditions Survey,52.696
ARM,2001,PC - Population Census,64.861
ARM,2000,OE - Official Estimates,38.06
ARM,1997,LFS - Household Labour Force Survey,61.52
ASM,2010,PC - Population Census,52.64
ASM,2005,PC - Population Census,59.93
ASM,2000,PC - Population Census,53.03
ASM,1990,PC - Population Census,50.72
ASM,1980,PC - Population Census,43.63
ASM,1974,OE - Official Estimates,53.17
ASM,1970,PC - Population Census,19.93
ASM,1960,PC - Population Census,55.12
ATG,2023,LFS - Labour Force Survey,73.969
ATG,2018,LFS - Labour Force Survey,72.611
ATG,2001,PC - Population Census,71.75
ATG,1991,PC - Population Census,69.46
ATG,1970,PC - Population Census,63.49
ATG,1960,PC - Population Census,33.69
AUS,2024,LFS - Labour Force Survey,67.056
AUS,2023,LFS - Labour Force Survey,67.171
AUS,2022,LFS - Labour Force Survey,66.846
AUS,2021,LFS - Labour Force Survey,66.056
AUS,2020,LFS - Labour Force Survey,64.98
AUS,2019,LFS - Labour Force Survey,66.052
AUS,2018,LFS - Labour Force Survey,65.746
AUS,2017,LFS - Labour Force Survey,65.025
AUS,2016,LFS - Labour Force Survey,64.834
AUS,2015,LFS - Labour Force Survey,64.996
AUS,2014,LFS - Labour Force Survey,64.704
AUS,2013,LFS - Labour Force Survey,64.939
AUS,2012,LFS - Labour Force Survey,65.152
AUS,2011,LFS - Labour Force Survey,65.42
AUS,2010,LFS - Labour Force Survey,65.391
AUS,2009,LFS - Labour Force Survey,65.431
AUS,2008,LFS - Labour Force Survey,65.481
AUS,2007,LFS - Labour Force Survey,65.176
AUS,2006,LFS - Labour Force Survey,64.756
AUS,2005,LFS - Labour Force Survey,64.398
AUS,2004,LFS - Labour Force Survey,63.46
AUS,2003,LFS - Labour Force Survey,63.586
AUS,2002,LFS - Labour Force Survey,63.364
AUS,2001,LFS - Labour Force Survey,63.298
AUS,2000,LFS - Labour Force Survey,63.138
AUS,1999,LFS - Labour Force Survey,62.764
AUS,1998,LFS - Labour Force Survey,62.998
AUS,1997,LFS - Labour Force Survey,63.123
AUS,1996,LFS - Labour Force Survey,63.52
AUS,1995,LFS - Labour Force Survey,63.542
AUS,1994,LFS - Labour Force Survey,62.934
AUS,1993,LFS - Labour Force Survey,62.451
AUS,1992,LFS - Labour Force Survey,62.863
AUS,1991,LFS - Labour Force Survey,63.138
AUS,1990,LFS - Labour Force Survey,63.747
AUS,1989,LFS - Labour Force Survey,63.16
AUS,1988,LFS - Labour Force Survey,62.379
AUS,1987,LFS - Labour Force Survey,61.958
AUS,1986,LFS - Labour Force Survey,61.887
AUS,1985,LFS - Labour Force Survey,60.806
AUS,1984,LFS - Labour Force Survey,60.55
AUS,1983,LFS - Labour Force Survey,60.437
AUS,1982,LFS - Labour Force Survey,60.781
AUS,1981,LFS - Labour Force Survey,61.136
AUS,1980,LFS - Labour Force Survey,61.295
AUS,1979,LFS - Labour Force Survey,60.757
AUS,1976,PC - Population and Housing Census,61.42
AUS,1971,PC - Population and Housing Census,58.67
AUS,1966,PC - Population and Housing Census,59.53
AUS,1961,PC - Population and Housing Census,57.43
AUT,2024,LFS - Labour Force Survey,61.487
AUT,2023,LFS - Labour Force Survey,61.607
AUT,2022,LFS - Labour Force Survey,61.512
AUT,2021,LFS - Labour Force Survey,61.151
AUT,2020,LFS - Labour Force Survey,60.814
AUT,2019,LFS - Labour Force Survey,61.309
AUT,2018,LFS - Labour Force Survey,61.323
AUT,2017,LFS - Labour Force Survey,61.101
AUT,2016,LFS - Labour Force Survey,61.134
AUT,2015,LFS - Labour Force Survey,60.632
AUT,2014,LFS - Labour Force Survey,60.599
AUT,2013,LFS - Labour Force Survey,60.801
AUT,2012,LFS - Labour Force Survey,60.647
AUT,2011,LFS - Labour Force Survey,60.357
AUT,2010,LFS - Labour Force Survey,60.287
AUT,2009,LFS - Labour Force Survey,60.348
AUT,2008,LFS - Labour Force Survey,60.08
AUT,2007,LFS - Labour Force Survey,59.83
AUT,2006,LFS - Labour Force Survey,58.971
AUT,2005,LFS - Labour Force Survey,58.456
AUT,2004,LFS - Labour Force Survey,58.041
AUT,2003,LFS - Labour Force Survey,59.149
AUT,2002,LFS - Labour Force Survey,58.93
AUT,2001,LFS - Labour Force Survey,58.237
AUT,2000,LFS - Labour Force Survey,58.685
AUT,1999,LFS - Labour Force Survey,58.966
AUT,1998,LFS - Labour Force Survey,58.816
AUT,1997,LFS - Labour Force Survey,58.41
AUT,1996,LFS - Labour Force Survey,58.818
AUT,1995,LFS - Labour Force Survey,59.425
AUT,1994,LFS - Labour Force Survey,59.063
AUT,1993,LFS - Labour Force Survey,56.69
AUT,1992,LFS - Labour Force Survey,56.58
AUT,1991,LFS - Labour Force Survey,55.84
AUT,1990,LFS - Labour Force Survey,55.44
AUT,1989,LFS - Labour Force Survey,54.89
AUT,1988,LFS - Labour Force Survey,54.78
AUT,1987,LFS - Labour Force Survey,55
AUT,1986,LFS - Labour Force Survey,54.57
AUT,1985,LFS - Labour Force Survey,54.29
AUT,1984,LFS - Labour Force Survey,54.69
AUT,1983,LFS - Labour Force Survey,53.9
AUT,1982,LFS - Labour Force Survey,54.32
AUT,1981,PC - Population Census,56.44
AUT,1980,LFS - Labour Force Survey,52.06
AUT,1971,PC - Population Census,55.27
AUT,1961,PC - Population Census,60.73
AZE,2022,LFS - Labour Force Survey,65.7
AZE,2021,LFS - Labour Force Survey,67.1
AZE,2020,LFS - Labour Force Survey,66.8
AZE,2019,LFS - Labour Force Survey,66.5
AZE,2018,LFS - Labour Force Survey,66.3
AZE,2017,LFS - Labour Force Survey,66.2
AZE,2016,LFS - Labour Force Survey,66
AZE,2015,LFS - Labour Force Survey,65.4
AZE,2014,LFS - Labour Force Survey,65.1
AZE,2013,LFS - Labour Force Survey,64.7
AZE,2012,LFS - Labour Force Survey,64.5
AZE,2011,LFS - Labour Force Survey,64.4
AZE,2010,LFS - Labour Force Survey,64.81
AZE,2009,LFS - Labour Force Survey,65.05
AZE,2008,LFS - Labour Force Survey,65.43
AZE,2007,LFS - Labour Force Survey,66.35
AZE,2006,LFS - Labour Force Survey,67.15
AZE,2005,LFS - Labour Force Survey,68.4
AZE,2004,LFS - Labour Force Survey,69.9
AZE,2003,LFS - Labour Force Survey,71.7
AZE,2002,LFS - Labour Force Survey,73.6
AZE,2001,LFS - Labour Force Survey,75.5
AZE,2000,LFS - Labour Force Survey,77.6
AZE,1999,PC - Population Census,64.66
AZE,1998,OE - Official Estimates,47.1
AZE,1997,OE - Official Estimates,47.39
AZE,1996,OE - Official Estimates,47.68
AZE,1993,OE - Official Estimates,62.48
AZE,1989,PC - Population Census,49.72
BDI,2020,HIES - Living Standards Survey,78.557
BDI,2014,HIES - Living Standards Survey,78.941
BDI,2008,PC - Population Census,69.99
BDI,2006,HIES - Living Standards Survey,77.471
BDI,1998,HIES - Living Standards Survey,85.39
BDI,1990,PC - Population Census,90.32
BDI,1986,OE - Official Estimates,87.11
BDI,1984,OE - Official Estimates,60.88
BDI,1982,OE - Official Estimates,61.1
BDI,1980,OE - Official Estimates,46.12
BDI,1979,PC - Population Census,92.85
BDI,1978,OE - Official Estimates,46.77
BEL,2024,LFS - EU Labour Force Survey,55.114
BEL,2023,LFS - EU Labour Force Survey,54.997
BEL,2022,LFS - EU Labour Force Survey,55.095
BEL,2021,LFS - EU Labour Force Survey,54.484
BEL,2020,LFS - EU Labour Force Survey,53.814
BEL,2019,LFS - EU Labour Force Survey,54.393
BEL,2018,LFS - EU Labour Force Survey,54.184
BEL,2017,LFS - EU Labour Force Survey,53.838
BEL,2016,LFS - EU Labour Force Survey,53.11
BEL,2015,LFS - EU Labour Force Survey,53.31
BEL,2014,LFS - EU Labour Force Survey,53.506
BEL,2013,LFS - EU Labour Force Survey,53.559
BEL,2012,LFS - EU Labour Force Survey,53.249
BEL,2011,LFS - EU Labour Force Survey,53.199
BEL,2010,LFS - EU Labour Force Survey,54.07
BEL,2009,LFS - EU Labour Force Survey,53.473
BEL,2008,LFS - EU Labour Force Survey,53.678
BEL,2007,LFS - EU Labour Force Survey,53.586
BEL,2006,LFS - EU Labour Force Survey,53.114
BEL,2005,LFS - EU Labour Force Survey,53.299
BEL,2004,LFS - EU Labour Force Survey,52.03
BEL,2003,LFS - EU Labour Force Survey,51.348
BEL,2002,LFS - EU Labour Force Survey,51.188
BEL,2001,LFS - EU Labour Force Survey,50.891
BEL,2000,LFS - EU Labour Force Survey,52.293
BEL,1999,LFS - EU Labour Force Survey,51.911
BEL,1998,LFS - EU Labour Force Survey,50.852
BEL,1997,LFS - EU Labour Force Survey,50.52
BEL,1996,LFS - EU Labour Force Survey,50.406
BEL,1995,LFS - EU Labour Force Survey,50.531
BEL,1994,LFS - EU Labour Force Survey,50.33
BEL,1993,LFS - EU Labour Force Survey,49.73
BEL,1992,LFS - EU Labour Force Survey,49.632
BEL,1991,LFS - EU Labour Force Survey,49.272
BEL,1990,LFS - EU Labour Force Survey,48.339
BEL,1989,LFS - EU Labour Force Survey,48.398
BEL,1988,LFS - EU Labour Force Survey,48.643
BEL,1987,LFS - EU Labour Force Survey,49.108
BEL,1986,LFS - EU Labour Force Survey,49.871
BEL,1985,LFS - EU Labour Force Survey,49.954
BEL,1984,LFS - EU Labour Force Survey,49.737
BEL,1983,LFS - EU Labour Force Survey,50.679
BEL,1981,PC - Population Census,40.04
BEL,1980,OE - Official Estimates,42.11
BEL,1979,OE - Official Estimates,42.04
BEL,1977,OE - Official Estimates,41.23
BEL,1970,PC - Population Census,49.16
BEL,1961,PC - Population Census,49.88
BEL,1947,PC - Population Census,51.12
BEN,2022,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,76.28
BEN,2019,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,75.095
BEN,2013,PC - Population projections and Revised Studies on Social Demand 2002-2030,55.622
BEN,2011,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,71.88
BEN,2010,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,75.31
BEN,2003,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,77.36
BEN,2002,PC - Population projections and Revised Studies on Social Demand 2002-2030,71.75
BEN,2001,LFS - Labour Force Survey,67.68
BEN,1996,OE - Official Estimates,58.89
BEN,1992,PC - Population projections and Revised Studies on Social Demand 2002-2030,72.16
BEN,1986,OE - Official Estimates,59.82
BEN,1979,PC - Population projections and Revised Studies on Social Demand 2002-2030,59.63
BEN,1977,OE - Official Estimates,47.94
BEN,1975,OE - Official Estimates,80.5
BEN,1961,LFS - Labour Force Survey,53.3
BFA,2024,LFS - Labour Force Survey,70.062
BFA,2023,LFS - Regional Integrated Survey on Employment and the Informal Sector,47.453
BFA,2022,HIES - Harmonized Survey on Household Living Conditions,72.337
BFA,2019,HIES - Harmonized Survey on Household Living Conditions,77.618
BFA,2018,LFS - Regional Integrated Survey on Employment and the Informal Sector,44.893
BFA,2014,HIES - Continuous Multisectoral Survey,65.624
BFA,2007,HIES - Continuous Multisectoral Survey,87.3
BFA,2006,PC - Population Census,71.628
BFA,2005,HIES - Continuous Multisectoral Survey,89.1
BFA,1994,HIES - Continuous Multisectoral Survey,78.7
BFA,1991,LFS - Labour Force Survey,83.93
BFA,1985,PC - Population Census,82.82
BFA,1975,PC - Population Census,45.8
BGD,2023,LFS - Labour Force Survey,60.885
BGD,2022,LFS - Labour Force Survey,61.873
BGD,2017,LFS - Labour Force Survey,58.328
BGD,2016,LFS - Labour Force Survey,56.09
BGD,2013,LFS - Labour Force Survey,57.18
BGD,2011,PC - Population Census,45.001
BGD,2010,LFS - Labour Force Survey,58.576
BGD,2006,LFS - Labour Force Survey,58.071
BGD,2003,LFS - Labour Force Survey,57.3
BGD,2000,LFS - Labour Force Survey,72.06
BGD,1996,LFS - Labour Force Survey,72.56
BGD,1991,LFS - Labour Force Survey,75.9
BGD,1989,LFS - Labour Force Survey,78.62
BGD,1986,LFS - Labour Force Survey,50.28
BGD,1985,LFS - Labour Force Survey,49.26
BGD,1984,LFS - Labour Force Survey,49.06
BGD,1981,PC - Population Census,45.67
BGD,1974,PC - Population Census,48.97
BGD,1961,PC - Population Census,57.17
BGR,2024,LFS - EU Labour Force Survey,55.54
BGR,2023,LFS - EU Labour Force Survey,55.654
BGR,2022,LFS - EU Labour Force Survey,55.454
BGR,2021,LFS - EU Labour Force Survey,54.473
BGR,2020,LFS - EU Labour Force Survey,55.046
BGR,2019,LFS - EU Labour Force Survey,55.973
BGR,2018,LFS - EU Labour Force Survey,55.323
BGR,2017,LFS - EU Labour Force Survey,55.355
BGR,2016,LFS - EU Labour Force Survey,53.331
BGR,2015,LFS - EU Labour Force Survey,54.068
BGR,2014,LFS - EU Labour Force Survey,54.143
BGR,2013,LFS - EU Labour Force Survey,53.9
BGR,2012,LFS - EU Labour Force Survey,53.079
BGR,2011,LFS - EU Labour Force Survey,52.512
BGR,2010,LFS - EU Labour Force Survey,53.394
BGR,2009,LFS - EU Labour Force Survey,53.021
BGR,2008,LFS - EU Labour Force Survey,53.808
BGR,2007,LFS - EU Labour Force Survey,52.596
BGR,2006,LFS - EU Labour Force Survey,51.293
BGR,2005,LFS - EU Labour Force Survey,49.689
BGR,2004,LFS - EU Labour Force Survey,50.55
BGR,2003,LFS - EU Labour Force Survey,49.922
BGR,2002,LFS - EU Labour Force Survey,50.821
BGR,2001,LFS - EU Labour Force Survey,51.373
BGR,2000,LFS - EU Labour Force Survey,50.179
BGR,1997,LFS - EU Labour Force Survey,51.8
BGR,1992,PC - Population Census,57.17
BGR,1975,PC - Population Census,65.42
BGR,1965,PC - Population Census,68.08
BGR,1956,PC - Population Census,74.92
BHR,2015,OE - Estimates of Central informatics organization,71.57
BHR,2011,OE - Estimates of Central informatics organization,71.04
BHR,2010,PC - Population Census,72.06
BHR,2006,OE - Estimates of Central informatics organization,66.58
BHR,2005,OE - Estimates of Central informatics organization,48.3
BHR,2004,LFS - Labour Force Survey,63.7
BHR,2003,LFS - Labour Force Survey,66.2
BHR,2002,LFS - Labour Force Survey,66.1
BHR,2001,PC - Population Census,65.71
BHR,2000,LFS - Labour Force Survey,65.9
BHR,1999,LFS - Labour Force Survey,65.8
BHR,1998,LFS - Labour Force Survey,65.8
BHR,1997,LFS - Labour Force Survey,65.8
BHR,1996,LFS - Labour Force Survey,65.8
BHR,1995,LFS - Labour Force Survey,65.7
BHR,1994,LFS - Labour Force Survey,65.7
BHR,1993,LFS - Labour Force Survey,65.7
BHR,1992,LFS - Labour Force Survey,65.7
BHR,1991,PC - Population Census,65.22
BHR,1990,LFS - Labour Force Survey,65.2
BHR,1987,OE - Estimates of Central informatics organization,45.88
BHR,1985,OE - Estimates of Central informatics organization,45.5
BHR,1981,PC - Population Census,60.5
BHR,1979,OE - Estimates of Central informatics organization,36.96
BHR,1971,PC - Population Census,49.83
BHR,1965,PC - Population Census,29.24
BHS,2023,LFS - Labour Force & Household Survey,97.662
BHS,2019,LFS - Labour Force & Household Survey,77.437
BHS,2013,LFS - Labour Force & Household Survey,72.7
BHS,2012,LFS - Labour Force & Household Survey,74.5
BHS,2011,LFS - Labour Force & Household Survey,72.44
BHS,2009,LFS - Labour Force & Household Survey,73.4
BHS,2004,LFS - Labour Force & Household Survey,75.68
BHS,2002,LFS - Labour Force & Household Survey,76.4
BHS,2001,LFS - Labour Force & Household Survey,76.2
BHS,1999,LFS - Labour Force & Household Survey,76.8
BHS,1998,LFS - Labour Force & Household Survey,69.79
BHS,1997,LFS - Labour Force & Household Survey,74.9
BHS,1996,LFS - Labour Force & Household Survey,73.7
BHS,1995,LFS - Labour Force & Household Survey,73.9
BHS,1994,LFS - Labour Force & Household Survey,73.77
BHS,1993,LFS - Labour Force & Household Survey,75.7
BHS,1992,LFS - Labour Force & Household Survey,74.3
BHS,1991,LFS - Labour Force & Household Survey,73.6
BHS,1990,PC - Population Census,71.6
BHS,1989,LFS - Labour Force & Household Survey,51.18
BHS,1980,PC - Population Census,67.47
BHS,1979,LFS - Labour Force & Household Survey,36.78
BHS,1970,PC - Population Census,72.73
BHS,1963,PC - Population Census,71.51
BHS,1953,PC - Population Census,47.17
BIH,2023,LFS - Labour Force Survey,51.868
BIH,2022,LFS - Labour Force Survey,51.188
BIH,2021,LFS - Labour Force Survey,50.887
BIH,2020,LFS - Labour Force Survey,47.654
BIH,2019,LFS - Labour Force Survey,41.802
BIH,2018,LFS - Labour Force Survey,41.905
BIH,2017,LFS - Labour Force Survey,42.288
BIH,2016,LFS - Labour Force Survey,43.054
BIH,2015,LFS - Labour Force Survey,43.891
BIH,2014,LFS - Labour Force Survey,43.425
BIH,2013,LFS - Labour Force Survey,43.331
BIH,2012,LFS - Labour Force Survey,43.793
BIH,2011,LFS - Labour Force Survey,43.657
BIH,2010,LFS - Labour Force Survey,44.164
BIH,2009,LFS - Labour Force Survey,43.175
BIH,2008,LFS - Labour Force Survey,43.364
BIH,2007,LFS - Labour Force Survey,43.419
BIH,2006,LFS - Labour Force Survey,42.668
BIH,2001,HIES - Living Standards Survey,41.538
BLR,2023,LFS - Labour Force Survey,69.728
BLR,2022,LFS - Labour Force Survey,70.211
BLR,2021,LFS - Labour Force Survey,70.039
BLR,2020,LFS - Labour Force Survey,70.302
BLR,2019,LFS - Labour Force Survey,70.668
BLR,2018,LFS - Labour Force Survey,70.921
BLR,2017,LFS - Labour Force Survey,71.26
BLR,2016,LFS - Labour Force Survey,70.826
BLR,2015,OE - Labour Sources Estimates,82.1
BLR,2009,PC - Population Census,61.4
BLR,2008,OE - Labour Sources Estimates,56.37
BLR,2007,OE - Labour Sources Estimates,55.24
BLR,2006,OE - Labour Sources Estimates,54.83
BLR,1999,PC - Population Census,58.67
BLR,1997,OE - Labour Sources Estimates,45.9
BLR,1989,PC - Population Census,68.17
BLR,1970,PC - Population Census,48.69
BLR,1959,PC - Population Census,51.58
BLZ,2019,LFS - Labour Force Survey,69.726
BLZ,2018,LFS - Labour Force Survey,67.295
BLZ,2017,LFS - Labour Force Survey,64.034
BLZ,2016,LFS - Labour Force Survey,64.25
BLZ,2015,LFS - Labour Force Survey,63.489
BLZ,2014,LFS - Labour Force Survey,63.492
BLZ,2013,LFS - Labour Force Survey,62.631
BLZ,2012,LFS - Labour Force Survey,67.42
BLZ,2005,LFS - Labour Force Survey,38.2
BLZ,1999,LFS - Labour Force Survey,59.3
BLZ,1998,LFS - Labour Force Survey,58.7
BLZ,1997,LFS - Labour Force Survey,58.9
BLZ,1996,LFS - Labour Force Survey,34.1
BLZ,1994,LFS - Labour Force Survey,56.07
BLZ,1970,PC - Population Census,27.62
BLZ,1960,PC - Population Census,53.32
BMU,2010,LFS - Labour Force Survey,84
BMU,2009,LFS - Labour Force Survey,82
BMU,2000,PC - Census of Population & Housing,73.44
BMU,1991,PC - Census of Population & Housing,74.85
BMU,1980,PC - Census of Population & Housing,76.95
BMU,1976,LFS - Labour Force Survey,78.09
BMU,1970,PC - Census of Population & Housing,74.21
BOL,2024,LFS - Continuous Employment Survey,79.553
BOL,2023,LFS - Continuous Employment Survey,78.318
BOL,2022,LFS - Continuous Employment Survey,78.186
BOL,2021,LFS - Continuous Employment Survey,77.665
BOL,2020,HIES - Household Survey,69.684
BOL,2019,LFS - Continuous Employment Survey,74.158
BOL,2018,LFS - Continuous Employment Survey,71.798
BOL,2017,LFS - Continuous Employment Survey,68.634
BOL,2016,LFS - Continuous Employment Survey,67.359
BOL,2015,HIES - Household Survey,67.075
BOL,2014,HIES - Household Survey,71.374
BOL,2013,HIES - Household Survey,69.303
