ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Bahrain,Labour force participation rate by sex and age (%),PC - Population Census,Sex: Total,Age (5-year bands): Total,2010,72.06,,,,Data reference period: April
Bahrain,Labour force participation rate by sex and age (%),OE - Estimates of Central informatics organization,Sex: Total,Age (5-year bands): Total,2011,71.04,,,,
Bahrain,Labour force participation rate by sex and age (%),OE - Estimates of Central informatics organization,Sex: Total,Age (5-year bands): Total,2015,71.57,,,,
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,44.16,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,43.66,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2012,43.79,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,43.33,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,43.43,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,43.89,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,43.05,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,42.29,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,41.91,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,41.8,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2020,47.65,,,,Repository: ILO-STATISTICS - Micro data processing
Belarus,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,70.8,,,,Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
Belarus,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,71.3,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
Belarus,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,70.9,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Age coverage - maximum age: 74 years old
Belarus,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,70.7,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Age coverage - maximum age: 74 years old
Belize,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2012,65.43,,,,Data reference period: April | Age coverage - minimum age: 14 years old
Belize,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,62.63,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Belize,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,63.49,,,,Repository: ILO-STATISTICS - Micro data processing
Belize,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,63.49,,,,Repository: ILO-STATISTICS - Micro data processing
Belize,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,64.25,,,,Repository: ILO-STATISTICS - Micro data processing
Belize,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,64.03,,,,Repository: ILO-STATISTICS - Micro data processing
Belize,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,69.73,,,,Repository: ILO-STATISTICS - Micro data processing
Bermuda,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,84,,,,Age coverage - minimum age: 16 years old | Age coverage - maximum age: 64 years old
Bolivia,Labour force participation rate by sex and age (%),LFS - Encuesta Continua de Empleo,Sex: Total,Age (5-year bands): Total,2016,67.36,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),LFS - Encuesta Continua de Empleo,Sex: Total,Age (5-year bands): Total,2017,68.63,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),LFS - Encuesta Continua de Empleo,Sex: Total,Age (5-year bands): Total,2018,71.8,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Total,Age (5-year bands): Total,2011,71.98,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Total,Age (5-year bands): Total,2012,68.62,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Total,Age (5-year bands): Total,2013,69.3,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Total,Age (5-year bands): Total,2014,71.37,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Total,Age (5-year bands): Total,2015,67.08,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Total,Age (5-year bands): Total,2019,70.68,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Labour force participation rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Total,Age (5-year bands): Total,2020,69.68,,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,Labour force participation rate by sex and age (%),HS - Pesquisa Nacional por Amostra de Domicílios Contínua,Sex: Total,Age (5-year bands): Total,2012,62.49,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Brazil,Labour force participation rate by sex and age (%),HS - Pesquisa Nacional por Amostra de Domicílios Contínua,Sex: Total,Age (5-year bands): Total,2013,62.35,,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,Labour force participation rate by sex and age (%),HS - Pesquisa Nacional por Amostra de Domicílios Contínua,Sex: Total,Age (5-year bands): Total,2014,62.14,,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,Labour force participation rate by sex and age (%),HS - Pesquisa Nacional por Amostra de Domicílios Contínua,Sex: Total,Age (5-year bands): Total,2015,62.24,,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,Labour force participation rate by sex and age (%),HS - Pesquisa Nacional por Amostra de Domicílios Contínua,Sex: Total,Age (5-year bands): Total,2016,62.07,,,,Repository: ILO-STATISTICS - Micro data processing
