,Unnamed: 0.1,Unnamed: 0,#,Code,Country,2020,2021,2022,2023,2024
26,26,26,27,BFA,Burkina Faso,rev4,rev4,rev4,rev4,rev4
27,27,27,28,BDI,Burundi,rev3,rev3,rev3,rev3,rev3
28,28,28,29,CPV,Cabo Verde,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
29,29,29,30,KHM,Cambodia,rev3,rev3,rev3,rev3,rev3
30,30,30,31,CMR,Cameroon,rev4,rev4,rev4,rev4,rev4
31,31,31,32,CAN,Canada,rev4,rev4,rev4,rev4,rev4
32,32,32,33,CAF,Central African Republic,rev3,rev3,rev3,rev3,rev3
33,33,33,34,TCD,Chad,,,,,Not Found
34,34,34,35,CHL,Chile,rev4,rev4,rev4,rev4,rev4
35,35,35,36,CHN,China,rev4,rev4,rev4,rev4,rev4
36,36,36,37,COL,Colombia,rev4,rev4,rev4,rev4,rev4
37,37,37,38,COM,Comoros,,,,,Not Found
38,38,38,39,COD,"Congo, Dem. Rep.",rev3,rev3,rev3,rev3,rev3
39,39,39,40,COG,"Congo, Rep.",ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev3,ISIC rev3
40,40,40,41,CRI,Costa Rica,rev4,rev4,rev4,rev4,rev4
41,41,41,42,CIV,Côte d'Ivoire,rev3,rev3,rev3,rev3,rev3
42,42,42,43,HRV,Croatia,rev4,rev4,rev4,rev4,rev4
43,43,43,44,CYP,Cyprus,rev4,rev4,rev4,rev4,rev4
44,44,44,45,CZE,Czech Republic,rev4,rev4,rev4,rev4,rev4
45,45,45,46,DNK,Denmark,rev4,rev4,rev4,rev4,rev4
46,46,46,47,DJI,Djibouti,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
47,47,47,48,DMA,Dominica,rev3,rev3,rev3,rev3,rev3
48,48,48,49,DOM,Dominican Republic,rev4,rev4,rev4,rev4,rev4
49,49,49,50,ECU,Ecuador,rev4,rev4,rev4,rev4,rev4
50,50,50,51,EGY,"Egypt, Arab Rep.",rev4,rev4,rev4,rev4,rev4
51,51,51,52,SLV,El Salvador,rev4,rev4,rev4,rev4,rev4
52,52,52,53,GNQ,Equatorial Guinea,,,,,0
53,53,53,54,ERI,Eritrea,,,,,0
54,54,54,55,EST,Estonia,rev4,rev4,rev4,rev4,rev4
55,55,55,56,SWZ,Eswatini,rev4,rev4,rev4,rev4,rev4
56,56,56,57,ETH,Ethiopia,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
57,57,57,58,FJI,Fiji,rev4,rev4,rev4,rev4,rev4
58,58,58,59,FIN,Finland,rev4,rev4,rev4,rev4,rev4
59,59,59,60,FRA,France,rev4,rev4,rev4,rev4,rev4
60,60,60,61,GAB,Gabon,rev3,rev3,rev3,rev3,rev3
61,61,61,62,GMB,"Gambia, The",rev3,rev3,rev3,rev3,rev3
62,62,62,63,GEO,Georgia,nace rev2,nace rev2,nace rev2,nace rev2,nace rev2
63,63,63,64,DEU,Germany,rev4,rev4,rev4,rev4,rev4
64,64,64,65,GHA,Ghana,rev4,rev4,rev4,rev4,rev4
65,65,65,66,GRC,Greece,rev4,rev4,rev4,rev4,rev4
66,66,66,67,GRD,Grenada,rev3,rev3,rev3,rev3,rev3
67,67,67,68,GTM,Guatemala,rev4,rev4,rev4,rev4,rev4
68,68,68,69,GIN,Guinea,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
69,69,69,70,GNB,Guinea-Bissau,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
70,70,70,71,GUY,Guyana,rev4,rev4,rev4,rev4,rev4
71,71,71,72,HTI,Haiti,rev3,rev3,rev3,rev3,rev3
72,72,72,73,HND,Honduras,rev3,rev3,rev3,rev3,rev3
73,73,73,74,HUN,Hungary,rev4,rev4,rev4,rev4,rev4
74,74,74,75,ISL,Iceland,nace rev1,nace rev1,nace rev1,nace rev2,nace rev2
75,75,75,76,IND,India,rev3,rev3,rev3,rev3,rev3
76,76,76,77,IDN,Indonesia,rev4,rev4,rev4,rev4,rev4
77,77,77,78,IRN,"Iran, Islamic Rep.",rev3,rev3,rev3,rev3,rev3
78,78,78,79,IRQ,Iraq,rev3,rev3,rev3,rev3,rev3
79,79,79,80,IRL,Ireland,rev4,rev4,rev4,rev4,rev4
80,80,80,81,ISR,Israel,rev4,rev4,rev4,rev4,rev4
81,81,81,82,ITA,Italy,rev4,rev4,rev4,rev4,rev4
82,82,82,83,JAM,Jamaica,rev3,rev3,rev3,rev3,rev3
83,83,83,84,JPN,Japan,rev4,rev4,rev4,rev4,rev4
84,84,84,85,JOR,Jordan,rev4,rev4,rev4,rev4,rev4
85,85,85,86,KAZ,Kazakhstan,nace rev2,nace rev2,nace rev2,nace rev2,nace rev2
86,86,86,87,KEN,Kenya,rev3,rev3,rev3,rev3,rev3
87,87,87,88,KIR,Kiribati,rev3,rev3,rev3,rev3,rev3
88,88,88,89,KOR,"Korea, Rep.",rev4,rev4,rev4,rev4,rev4
89,89,89,90,XKX,Kosovo,NACE REV2,NACE REV2,NACE REV2,NACE REV2,NACE REV2
90,90,90,91,KWT,Kuwait,rev3,rev3,rev3,rev3,rev3
91,91,91,92,KGZ,Kyrgyz Republic,rev4,rev4,rev4,rev4,rev4
92,92,92,93,LAO,Lao PDR,,,,,0
93,93,93,94,LVA,Latvia,rev4,rev4,rev4,rev4,rev4
94,94,94,95,LBN,Lebanon,na,na,na,na,na
95,95,95,96,LSO,Lesotho,rev3,rev3,rev3,rev3,rev3
96,96,96,97,LBR,Liberia,rev3,rev3,rev3,rev3,rev3
97,97,97,98,LBY,Libya,rev3,rev3,rev3,rev3,rev3
98,98,98,99,LTU,Lithuania,rev4,rev4,rev4,rev4,rev4
99,99,99,100,LUX,Luxembourg,rev4,rev4,rev4,rev4,rev4
100,100,100,101,MKD,"Macedonia, FYR",rev4,rev4,rev4,rev4,rev4
101,101,101,102,MDG,Madagascar,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
102,102,102,103,MWI,Malawi,rev3,rev3,rev3,rev3,rev3
103,103,103,104,MYS,Malaysia,rev4,rev4,rev4,rev4,rev4
104,104,104,105,MDV,Maldives,rev4,rev4,rev4,rev4,rev4
105,105,105,106,MLI,Mali,rev3,rev3,rev3,rev3,rev3
106,106,106,107,MLT,Malta,rev4,rev4,rev4,rev4,rev4
107,107,107,108,MHL,Marshall Islands,,,,,0
108,108,108,109,MRT,Mauritania,rev4,rev4,rev4,rev4,rev4
109,109,109,110,MUS,Mauritius,rev4,rev4,rev4,rev4,rev4
110,110,110,111,MEX,Mexico,rev4,rev4,rev4,rev4,rev4
111,111,111,112,FSM,"Micronesia, Fed. Sts.",,,,,0
112,112,112,113,MDA,Moldova,rev4,rev4,rev4,rev4,rev4
113,113,113,114,MNG,Mongolia,rev3,rev3,rev3,rev3,rev3
114,114,114,115,MNE,Montenegro,rev4,rev4,rev4,rev4,rev4
115,115,115,116,MAR,Morocco,rev3,rev3,rev3,rev3,rev3
116,116,116,117,MOZ,Mozambique,rev3,rev3,rev3,rev3,rev3
117,117,117,118,MMR,Myanmar,na,na,na,na,na
118,118,118,119,NAM,Namibia,rev3,rev3,rev3,rev3,rev3
119,119,119,120,NRU,Nauru,,,,,0
120,120,120,121,NPL,Nepal,rev3,rev3,rev3,rev3,rev3
121,121,121,122,NLD,Netherlands,rev4,rev4,rev4,rev4,rev4
122,122,122,123,NZL,New Zealand,rev4,rev4,rev4,rev4,rev4
123,123,123,124,NIC,Nicaragua,rev3,rev3,rev3,rev3,rev3
124,124,124,125,NER,Niger,rev3,rev3,rev3,rev4,rev4
125,125,125,126,NGA,Nigeria,rev4,rev4,rev4,rev4,rev4
126,126,126,127,NOR,Norway,rev4,rev4,rev4,rev4,rev4
127,127,127,128,OMN,Oman,rev3,rev3,rev3,rev3,rev3
128,128,128,129,PAK,Pakistan,rev4,rev4,rev4,rev4,rev4
129,129,129,130,PLW,Palau,rev4,rev4,rev4,rev4,rev4
130,130,130,131,PAN,Panama,rev3,rev3,rev3,rev3,rev3
131,131,131,132,PNG,Papua New Guinea,,,,,0
132,132,132,133,PRY,Paraguay,rev4,rev4,rev4,rev4,rev4
133,133,133,134,PER,Peru,rev4,rev4,rev4,rev4,rev4
134,134,134,135,PHL,Philippines,rev3,rev3,rev3,rev3,rev4
135,135,135,136,POL,Poland,rev4,rev4,rev4,rev4,rev4
136,136,136,137,PRT,Portugal,rev4,rev4,rev4,rev4,rev4
137,137,137,138,QAT,Qatar,rev3,rev3,rev3,rev3,rev3
138,138,138,139,ROU,Romania,rev4,rev4,rev4,rev4,rev4
139,139,139,140,RUS,Russian Federation,NACE REV2,NACE REV2,NACE REV2,NACE REV2,NACE REV2
140,140,140,141,RWA,Rwanda,rev4,rev4,rev4,rev4,rev4
141,141,141,142,WSM,Samoa,rev3,rev3,rev3,rev3,rev3
142,142,142,143,STP,São Tomé and Principe,rev3,rev3,rev3,rev3,rev3
143,143,143,144,SAU,Saudi Arabia,rev4,rev4,rev4,rev4,rev4
144,144,144,145,SEN,Senegal,rev3,rev3,rev3,rev3,rev3
145,145,145,146,SRB,Serbia,rev4,rev4,rev4,rev4,rev4
146,146,146,147,SYC,Seychelles,rev4,rev4,rev4,rev4,rev4
147,147,147,148,SLE,Sierra Leone,rev3,rev3,rev3,rev3,rev3
148,148,148,149,SGP,Singapore,rev4,rev4,rev4,rev4,rev4
149,149,149,150,SVK,Slovak Republic,rev4,rev4,rev4,rev4,rev4
150,150,150,151,SVN,Slovenia,rev4,rev4,rev4,rev4,rev4
151,151,151,152,SLB,Solomon Islands,rev3,rev3,rev3,rev3,rev3
152,152,152,153,SOM,Somalia,na,na,na,na,na
153,153,153,154,ZAF,South Africa,rev3,rev3,rev3,rev3,rev3
154,154,154,155,SSD,South Sudan,,,,,0
155,155,155,156,ESP,Spain,rev4,rev4,rev4,rev4,rev4
156,156,156,157,LKA,Sri Lanka,rev4,rev4,rev4,rev4,rev4
157,157,157,158,KNA,St. Kitts and Nevis,rev3,rev3,rev3,rev3,rev3
158,158,158,159,LCA,St. Lucia,rev3,rev3,rev3,rev3,rev3
159,159,159,160,VCT,St. Vincent and the Grenadines,rev3,rev3,rev3,rev3,rev3
160,160,160,161,SDN,Sudan,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
161,161,161,162,SUR,Suriname,rev3,rev3,rev3,rev3,rev3
162,162,162,163,SWE,Sweden,rev4,rev4,rev4,rev4,rev4
163,163,163,164,CHE,Switzerland,rev4,rev4,rev4,rev4,rev4
164,164,164,165,SYR,Syrian Arab Republic,rev3,rev3,rev3,rev3,rev3
165,165,165,166,TJK,Tajikistan,na,na,na,na,na
166,166,166,167,TZA,Tanzania,rev3,rev3,rev3,rev3,rev3
167,167,167,168,THA,Thailand,rev4,rev4,rev4,rev4,rev4
168,168,168,169,TLS,Timor-Leste,rev4,rev4,rev4,rev4,rev4
169,169,169,170,TGO,Togo,rev4,rev4,rev4,rev4,rev4
170,170,170,171,TON,Tonga,rev1,rev1,rev1,rev1,rev1
171,171,171,172,TTO,Trinidad and Tobago,rev3,rev3,rev3,rev3,rev3
172,172,172,173,TUN,Tunisia,rev4,rev4,rev4,rev4,rev4
173,173,173,174,TUR,Turkey,rev4,rev4,rev4,rev4,rev4
174,174,174,175,TKM,Turkmenistan,na,na,na,na,na
175,175,175,176,TUV,Tuvalu,na,na,na,na,na
176,176,176,177,UGA,Uganda,na,rev3,rev3,rev4,rev4
177,177,177,178,UKR,Ukraine,rev4,rev4,rev4,rev4,rev4
178,178,178,179,ARE,United Arab Emirates,rev4,rev4,rev4,rev4,rev4
179,179,179,180,GBR,United Kingdom,rev4,rev4,rev4,rev4,rev4
180,180,180,181,USA,United States,rev4,rev4,rev4,rev4,rev4
181,181,181,182,URY,Uruguay,rev3,rev3,rev3,rev4,rev4
182,182,182,183,UZB,Uzbekistan,nace rev2,nace rev2,nace rev2,nace rev2,nace rev2
183,183,183,184,VUT,Vanuatu,na,na,na,na,na
184,184,184,185,VEN,"Venezuela, RB",ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
185,185,185,186,VNM,Vietnam,rev4,rev4,rev4,rev4,rev4
186,186,186,187,PSE,West Bank and Gaza,rev4,rev4,rev4,rev4,rev4
187,187,187,188,YEM,"Yemen, Rep.",rev3,rev3,rev3,rev3,rev3
188,188,188,189,ZMB,Zambia,rev3,rev3,rev3,rev3,rev3
189,189,189,190,ZWE,Zimbabwe,rev3,rev3,rev3,rev3,rev3
