"iso3c","date","National.accounts.base.year","NABY","NABY_dates"
"BWA",2022,"2016","2016","2016"
"CAF",2016,"1985","1985","1985"
"CAF",2017,"1985","1985","1985"
"CAF",2018,"2005","2005","2005"
"CAF",2019,"2005","2005","2005"
"CAF",2020,"2005","2005","2005"
"CAF",2021,"2005","2005","2005"
"CAF",2022,"2005","2005","2005"
"CAN",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CAN",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CAN",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CAN",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CAN",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CAN",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CAN",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHE",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHE",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHE",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHE",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHE",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHE",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHE",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHI",2016,"2003","2003","2003"
"CHI",2017,"2003","2003","2003"
"CHI",2018,"2007","2007","2007"
"CHI",2019,"2007","2007","2007"
"CHI",2020,"2007","2007","2007"
"CHI",2021,"2007","2007","2007"
"CHI",2022,NA,NA,NA
"CHL",2016,"2008","2008","2008"
"CHL",2017,"2013","2013","2013"
"CHL",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHL",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHL",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHL",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHL",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CHN",2016,"2000","2000","2000"
"CHN",2017,"2010","2010","2010"
"CHN",2018,"2015","2015","2015"
"CHN",2019,"2015","2015","2015"
"CHN",2020,"2015","2015","2015"
"CHN",2021,"2015","2015","2015"
"CHN",2022,"2015","2015","2015"
"CIV",2016,"2009","2009","2009"
"CIV",2017,"2009","2009","2009"
"CIV",2018,"2009","2009","2009"
"CIV",2019,"2009","2009","2009"
"CIV",2020,"2015","2015","2015"
"CIV",2021,"2015","2015","2015"
"CIV",2022,"2015","2015","2015"
"CMR",2016,"2000","2000","2000"
"CMR",2017,"2000","2000","2000"
"CMR",2018,"2005","2005","2005"
"CMR",2019,"2005","2005","2005"
"CMR",2020,"2005","2005","2005"
"CMR",2021,"2005","2005","2005"
"CMR",2022,"2016","2016","2016"
"COD",2017,"2005","2005","2005"
"COD",2018,"2005","2005","2005"
"COD",2019,"2005","2005","2005"
"COD",2020,"2005","2005","2005"
"COD",2021,"2005","2005","2005"
"COD",2022,"2005","2005","2005"
"COG",2016,"1990","1990","1990"
"COG",2017,"1990","1990","1990"
"COG",2018,"1990","1990","1990"
"COG",2019,"1990","1990","1990"
"COG",2020,"2005","2005","2005"
"COG",2021,"2005","2005","2005"
"COG",2022,"2005","2005","2005"
"COL",2016,"2005","2005","2005"
"COL",2017,"2005","2005","2005"
"COL",2018,"2005","2005","2005"
"COL",2019,"2015","2015","2015"
"COL",2020,"2015","2015","2015"
"COL",2021,"2015","2015","2015"
"COL",2022,"2015","2015","2015"
"COM",2016,"1990","1990","1990"
"COM",2017,"1990","1990","1990"
"COM",2018,"1990","1990","1990"
"COM",2019,"2007","2007","2007"
"COM",2020,"2007","2007","2007"
"COM",2021,"2007","2007","2007"
"COM",2022,"2007","2007","2007"
"CPV",2016,"2007","2007","2007"
"CPV",2017,"2007","2007","2007"
"CPV",2018,"2007","2007","2007"
"CPV",2019,"2007","2007","2007"
"CPV",2020,"2007","2007","2007"
"CPV",2021,"2007","2007","2007"
"CPV",2022,"2007","2007","2007"
"CRI",2016,"1991","1991","1991"
"CRI",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CRI",2018,"1991","1991","1991"
"CRI",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CRI",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CRI",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CRI",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CUB",2016,"1997","1997","1997"
"CUB",2017,"1997","1997","1997"
"CUB",2018,"1997","1997","1997"
"CUB",2019,"1997","1997","1997"
"CUB",2020,"1997","1997","1997"
"CUB",2021,"1997","1997","1997"
"CUB",2022,"1997","1997","1997"
"CUW",2016,NA,NA,NA
"CUW",2017,NA,NA,NA
"CUW",2018,NA,NA,NA
"CUW",2019,"2000","2000","2000"
"CUW",2020,"2000","2000","2000"
"CUW",2021,"2000","2000","2000"
"CUW",2022,"2011","2011","2011"
"CYM",2016,"2007","2007","2007"
"CYM",2017,"2007","2007","2007"
"CYM",2018,"2007","2007","2007"
"CYM",2019,"2015","2015","2015"
"CYM",2020,"2015","2015","2015"
"CYM",2021,"2015","2015","2015"
"CYM",2022,"2015","2015","2015"
"CYP",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CYP",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CYP",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CYP",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CYP",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CYP",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CYP",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CZE",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CZE",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CZE",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CZE",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CZE",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CZE",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"CZE",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DEU",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DEU",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DEU",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DEU",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DEU",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DEU",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DEU",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DJI",2016,"1990","1990","1990"
"DJI",2017,"1990","1990","1990"
"DJI",2018,"1990","1990","1990"
"DJI",2019,"2013","2013","2013"
"DJI",2020,"2013","2013","2013"
"DJI",2021,"2013","2013","2013"
"DJI",2022,"2013","2013","2013"
"DMA",2016,"2006","2006","2006"
"DMA",2017,"2006","2006","2006"
"DMA",2018,"2006","2006","2006"
"DMA",2019,"2006","2006","2006"
"DMA",2020,"2006","2006","2006"
"DMA",2021,"2006","2006","2006"
"DMA",2022,"2006","2006","2006"
"DNK",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DNK",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DNK",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DNK",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DNK",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DNK",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DNK",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DOM",2016,"2007","2007","2007"
"DOM",2017,"2007","2007","2007"
"DOM",2018,"2007","2007","2007"
"DOM",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DOM",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DOM",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DOM",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DZA",2016,"1980","1980","1980"
"DZA",2017,"1999","1999","1999"
"DZA",2018,"1999","1999","1999"
"DZA",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DZA",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DZA",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"DZA",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ECU",2016,"2007","2007","2007"
"ECU",2017,"2007","2007","2007"
"ECU",2018,"2007","2007","2007"
"ECU",2019,"2007","2007","2007"
"ECU",2020,"2007","2007","2007"
"ECU",2021,"2007","2007","2007"
"ECU",2022,"2007","2007","2007"
"EGY",2016,"2011/12","2011/12","2012"
"EGY",2017,"2011/12","2011/12","2012"
"EGY",2018,"2011/12","2011/12","2012"
"EGY",2019,"2016/17","2016/17","2017"
"EGY",2020,"2016/17","2016/17","2017"
"EGY",2021,"2016/17","2016/17","2017"
"EGY",2022,"2016/17","2016/17","2017"
"ERI",2016,"2000","2000","2000"
"ERI",2017,"2000","2000","2000"
"ERI",2018,"2000","2000","2000"
"ERI",2019,"2000","2000","2000"
"ERI",2020,"2011","2011","2011"
"ERI",2021,"2011","2011","2011"
"ERI",2022,"2011","2011","2011"
"ESP",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ESP",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ESP",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ESP",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ESP",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ESP",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ESP",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"EST",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"EST",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"EST",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"EST",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"EST",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"EST",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"EST",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ETH",2016,"2010/11","2010/11","2011"
"ETH",2017,"2010/11","2010/11","2011"
"ETH",2018,"20015/2016","20015/2016","2016"
"ETH",2019,"20015/2016","20015/2016","2016"
"ETH",2020,"2015/2016","2015/2016","2020"
"ETH",2021,"2015/2016","2015/2016","2020"
"ETH",2022,"2015/2016","2015/2016","2020"
"FIN",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FIN",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FIN",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FIN",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FIN",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FIN",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FIN",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FJI",2016,"2005","2005","2005"
"FJI",2017,"2011","2011","2011"
"FJI",2018,"2011","2011","2011"
"FJI",2019,"2014","2014","2014"
"FJI",2020,"2014","2014","2014"
"FJI",2021,"2014","2014","2014"
"FJI",2022,"2014","2014","2014"
"FRA",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FRA",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FRA",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FRA",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FRA",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FRA",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FRA",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"FRO",2016,NA,NA,NA
"FRO",2017,NA,NA,NA
"FRO",2018,NA,NA,NA
"FRO",2019,NA,NA,NA
"FRO",2020,NA,NA,NA
"FRO",2021,NA,NA,NA
"FRO",2022,NA,NA,NA
"FSM",2016,"2003/04","2003/04","2004"
"FSM",2017,"2003/04","2003/04","2004"
"FSM",2018,"2004","2004","2004"
"FSM",2019,"2004","2004","2004"
"FSM",2020,"2004","2004","2004"
"FSM",2021,"2004","2004","2004"
"FSM",2022,"2003/04","2003/04","2004"
"GAB",2016,"2001","2001","2001"
"GAB",2017,"2001","2001","2001"
"GAB",2018,"2001","2001","2001"
"GAB",2019,"2001","2001","2001"
"GAB",2020,"2001","2001","2001"
"GAB",2021,"2001","2001","2001"
"GAB",2022,"2001","2001","2001"
"GBR",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GBR",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2018,"1996","1996","1996"
"GEO",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GEO",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GHA",2016,"2006","2006","2006"
"GHA",2017,"2006","2006","2006"
"GHA",2018,"2006","2006","2006"
"GHA",2019,"2013","2013","2013"
"GHA",2020,"2013","2013","2013"
"GHA",2021,"2013","2013","2013"
"GHA",2022,"2013","2013","2013"
"GIB",2016,NA,NA,NA
"GIB",2017,NA,NA,NA
"GIB",2018,NA,NA,NA
"GIB",2019,NA,NA,NA
"GIB",2020,NA,NA,NA
"GIB",2021,NA,NA,NA
"GIB",2022,NA,NA,NA
"GIN",2016,"2003","2003","2003"
"GIN",2017,"2003","2003","2003"
"GIN",2018,"2003","2003","2003"
"GIN",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GIN",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GIN",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GIN",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"GMB",2016,"2004","2004","2004"
"GMB",2017,"2004","2004","2004"
"GMB",2018,"2004","2004","2004"
"GMB",2019,"2013","2013","2013"
"GMB",2020,"2013","2013","2013"
"GMB",2021,"2013","2013","2013"
"GMB",2022,"2013","2013","2013"
"GNB",2016,"2005","2005","2005"
"GNB",2017,"2005","2005","2005"
"GNB",2018,"2005","2005","2005"
"GNB",2019,"2005","2005","2005"
"GNB",2020,"2005","2005","2005"
"GNB",2021,"2005","2005","2005"
